outcome_id,event_id,league_slug,home_team_id,away_team_id,home_team_name,away_team_name,match_date,home_score,away_score,status,actual_outcome,home_xg,away_xg,fetched_at,recorded_at
37629,kor1_xYND6L05,kor.1,,,FC Anyang,Jeju SK,2026-07-01,1,2,,A,,,,
37630,kor1_z9RdA31t,kor.1,,,Gwangju FC,Incheon United,2026-07-01,4,0,,H,,,,
37631,kor1_Kdimj0GO,kor.1,,,Daejeon Hana Citizen,FC Seoul,2026-07-01,1,2,,A,,,,
37632,kor1_j3pXgrHa,kor.1,,,FC Anyang,Gimcheon Sangmu,2026-07-01,2,2,,D,,,,
37633,kor1_OUcvhMoC,kor.1,,,Bucheon FC 1995,Jeonbuk Hyundai Motors,2026-07-01,0,0,,D,,,,
37634,kor1_UmdOe4nm,kor.1,,,Jeju SK,Ulsan HD,2026-07-01,2,1,,H,,,,
37635,kor1_AqPcuq26,kor.1,,,Daejeon Hana Citizen,Gangwon FC,2026-07-01,2,0,,H,,,,
37636,kor1_rcN5wNWI,kor.1,,,Gwangju FC,FC Seoul,2026-07-01,0,1,,A,,,,
37637,kor1_b55h1QOP,kor.1,,,Incheon United,Pohang Steelers,2026-07-01,0,1,,A,,,,
37638,kor1_GpWls5Xg,kor.1,,,FC Anyang,Jeonbuk Hyundai Motors,2026-07-01,1,1,,D,,,,
37639,kor1_8KStqR2s,kor.1,,,Bucheon FC 1995,Ulsan HD,2026-07-01,1,0,,H,,,,
37640,kor1_lWF81ZI8,kor.1,,,Daejeon Hana Citizen,Pohang Steelers,2026-07-01,0,2,,A,,,,
37641,kor1_2N7Luhdk,kor.1,,,Gimcheon Sangmu,Incheon United,2026-07-01,0,3,,A,,,,
37642,kor1_MPNMwWQ1,kor.1,,,Gangwon FC,Gwangju FC,2026-07-01,0,0,,D,,,,
37643,kor1_6iMkoEYR,kor.1,,,Jeju SK,FC Seoul,2026-07-01,2,1,,H,,,,
37644,kor1_APStmz4F,kor.1,,,FC Anyang,FC Seoul,2026-07-01,0,0,,D,,,,
37645,kor1_Kz0lspGd,kor.1,,,Daejeon Hana Citizen,Incheon United,2026-07-01,0,0,,D,,,,
37646,kor1_2aPYldZ2,kor.1,,,Gangwon FC,Pohang Steelers,2026-07-01,1,1,,D,,,,
37647,kor1_SSssq6op,kor.1,,,Gimcheon Sangmu,Ulsan HD,2026-07-01,1,2,,A,,,,
37648,kor1_8r1AlSNM,kor.1,,,Bucheon FC 1995,Jeju SK,2026-07-01,0,1,,A,,,,
37649,kor1_zV22jlgA,kor.1,,,Gwangju FC,Jeonbuk Hyundai Motors,2026-07-01,4,0,,H,,,,
37650,kor1_Y5M7U6Wj,kor.1,,,FC Anyang,Bucheon FC 1995,2026-07-01,0,1,,A,,,,
37651,kor1_v39ghAOc,kor.1,,,Daejeon Hana Citizen,Gwangju FC,2026-07-01,0,5,,A,,,,
37652,kor1_t8sTykvH,kor.1,,,Gangwon FC,Incheon United,2026-07-01,0,1,,A,,,,
37653,kor1_lYpyzT8T,kor.1,,,Jeju SK,Jeonbuk Hyundai Motors,2026-07-01,0,2,,A,,,,
37654,kor1_CSkCuXvh,kor.1,,,Gimcheon Sangmu,FC Seoul,2026-07-01,2,3,,A,,,,
37655,kor1_ptlKwB94,kor.1,,,Pohang Steelers,Ulsan HD,2026-07-01,0,1,,A,,,,
37656,kor1_S4HgNkPN,kor.1,,,FC Anyang,Gwangju FC,2026-07-01,2,5,,A,,,,
37657,kor1_bm8PHTno,kor.1,,,Daejeon Hana Citizen,Ulsan HD,2026-07-01,1,4,,A,,,,
37658,kor1_6kTpPBfB,kor.1,,,Jeonbuk Hyundai Motors,Pohang Steelers,2026-07-01,3,2,,H,,,,
37659,kor1_bPPxRXPb,kor.1,,,Bucheon FC 1995,Gimcheon Sangmu,2026-07-01,0,2,,A,,,,
37660,kor1_hCfxTgen,kor.1,,,Incheon United,Jeju SK,2026-07-01,1,0,,H,,,,
37661,kor1_2qqRLxlJ,kor.1,,,Gangwon FC,FC Seoul,2026-07-01,1,2,,A,,,,
37662,kor1_binAPKlf,kor.1,,,FC Anyang,Ulsan HD,2026-07-01,1,1,,D,,,,
37663,kor1_xxb1RtKs,kor.1,,,Daejeon Hana Citizen,Jeju SK,2026-07-01,0,1,,A,,,,
37664,kor1_6HkINbJ6,kor.1,,,Gwangju FC,Pohang Steelers,2026-07-01,1,0,,H,,,,
37665,kor1_K0RzBLZ0,kor.1,,,Gangwon FC,Gimcheon Sangmu,2026-07-01,0,3,,A,,,,
37666,kor1_8M7VW2dK,kor.1,,,Incheon United,Jeonbuk Hyundai Motors,2026-07-01,1,2,,A,,,,
37667,kor1_hEPr9a4D,kor.1,,,Bucheon FC 1995,FC Seoul,2026-07-01,3,0,,H,,,,
37668,kor1_OYXRCs5l,kor.1,,,FC Anyang,Pohang Steelers,2026-07-01,0,1,,A,,,,
37669,kor1_EandI3sR,kor.1,,,Gwangju FC,Ulsan HD,2026-07-01,5,1,,H,,,,
37670,kor1_hpbmKPCE,kor.1,,,Bucheon FC 1995,Incheon United,2026-07-01,2,2,,D,,,,
37671,kor1_Qw61dMK7,kor.1,,,Gimcheon Sangmu,Jeju SK,2026-07-01,1,1,,D,,,,
37672,kor1_dbEp04Lr,kor.1,,,Gangwon FC,Jeonbuk Hyundai Motors,2026-07-01,1,1,,D,,,,
37673,kor1_UBChbrje,kor.1,,,Daejeon Hana Citizen,FC Seoul,2026-07-01,0,1,,A,,,,
37674,kor1_6caIM3GM,kor.1,,,FC Seoul,Ulsan HD,2026-07-01,1,4,,A,,,,
37675,kor1_hWIE5QcL,kor.1,,,FC Anyang,Gimcheon Sangmu,2026-07-01,1,1,,D,,,,
37676,kor1_p6F67nT8,kor.1,,,Daejeon Hana Citizen,Gangwon FC,2026-07-01,0,2,,A,,,,
37677,kor1_dpZBo56k,kor.1,,,Bucheon FC 1995,Gwangju FC,2026-07-01,0,1,,A,,,,
37678,kor1_4AxKqqy2,kor.1,,,Incheon United,Ulsan HD,2026-07-01,1,2,,A,,,,
37679,kor1_tCXvgmEF,kor.1,,,Jeju SK,Pohang Steelers,2026-07-01,0,2,,A,,,,
37680,kor1_EPVniRrS,kor.1,,,Jeonbuk Hyundai Motors,FC Seoul,2026-07-01,1,0,,H,,,,
37681,kor1_ppvWf9q3,kor.1,,,Gimcheon Sangmu,Incheon United,2026-07-01,2,1,,H,,,,
37682,kor1_IwnpX5id,kor.1,,,FC Anyang,FC Seoul,2026-07-01,1,1,,D,,,,
37683,kor1_dOcyZRMq,kor.1,,,Gangwon FC,Gwangju FC,2026-07-01,3,0,,H,,,,
37684,kor1_hhW3izwB,kor.1,,,Daejeon Hana Citizen,Pohang Steelers,2026-07-01,1,0,,H,,,,
37685,kor1_OCvmeIwn,kor.1,,,Bucheon FC 1995,Jeju SK,2026-07-01,1,0,,H,,,,
37686,kor1_dQxegd8b,kor.1,,,Jeonbuk Hyundai Motors,Ulsan HD,2026-07-01,2,0,,H,,,,
37687,kor1_Yq1AOPoA,kor.1,,,Gangwon FC,Pohang Steelers,2026-07-01,1,0,,H,,,,
37688,kor1_j57Mvcg5,kor.1,,,FC Anyang,Incheon United,2026-07-01,0,1,,A,,,,
37689,kor1_CKeVxyOH,kor.1,,,Gangwon FC,Jeju SK,2026-07-01,1,1,,D,,,,
37690,kor1_pn9xyFhU,kor.1,,,Bucheon FC 1995,Pohang Steelers,2026-07-01,0,0,,D,,,,
37691,kor1_nDA5ruft,kor.1,,,Gwangju FC,FC Seoul,2026-07-01,5,0,,H,,,,
37692,kor1_ru4EtJOh,kor.1,,,Gimcheon Sangmu,Ulsan HD,2026-07-01,0,0,,D,,,,
37693,kor1_W0zdOy9O,kor.1,,,Daejeon Hana Citizen,Jeonbuk Hyundai Motors,2026-07-01,0,1,,A,,,,
37694,kor1_dS7NRkbJ,kor.1,,,Bucheon FC 1995,Gangwon FC,2026-07-01,0,0,,D,,,,
37695,kor1_xva0Z1HP,kor.1,,,Daejeon Hana Citizen,Incheon United,2026-07-01,1,3,,A,,,,
37696,kor1_8MkWTuum,kor.1,,,Jeju SK,Ulsan HD,2026-07-01,0,2,,A,,,,
37697,kor1_UyvuSJ9a,kor.1,,,FC Anyang,Jeonbuk Hyundai Motors,2026-07-01,2,1,,H,,,,
37698,kor1_x2smQcvC,kor.1,,,Pohang Steelers,FC Seoul,2026-07-01,0,1,,A,,,,
37699,kor1_OE9FTBT6,kor.1,,,Gimcheon Sangmu,Gwangju FC,2026-07-01,1,1,,D,,,,
37700,kor1_KMCbXgUs,kor.1,,,FC Anyang,Gangwon FC,2026-07-01,1,1,,D,,,,
37701,kor1_SnG6VXbf,kor.1,,,Incheon United,Pohang Steelers,2026-07-01,1,1,,D,,,,
37702,kor1_O0UtFCED,kor.1,,,Bucheon FC 1995,Ulsan HD,2026-07-01,1,2,,A,,,,
37703,kor1_zkySxG6K,kor.1,,,Jeju SK,FC Seoul,2026-07-01,1,2,,A,,,,
37704,kor1_SYzYGYq1,kor.1,,,Daejeon Hana Citizen,Gimcheon Sangmu,2026-07-01,1,1,,D,,,,
37705,kor1_fLxQIfFl,kor.1,,,Gwangju FC,Jeonbuk Hyundai Motors,2026-07-01,0,0,,D,,,,
37706,kor1_0KKiy3VF,kor.1,,,FC Anyang,Jeju SK,2026-07-01,2,1,,H,,,,
37707,kor1_E3MqwP03,kor.1,,,Gimcheon Sangmu,Jeonbuk Hyundai Motors,2026-07-01,1,1,,D,,,,
37708,swe1_27czzXaM,swe.1,,,Kalmar FF,Malmö FF,2026-07-01,2,2,,D,,,,
37709,swe1_KnOWFB8j,swe.1,,,Djurgården,Djurgarden,2026-07-01,0,0,,D,,,,
37710,swe1_6u4RygV9,swe.1,,,IF Elfsborg,IK Sirius,2026-07-01,1,3,,A,,,,
37711,swe1_Ykl6UANq,swe.1,,,BK Häcken,Halmstads BK,2026-07-01,0,2,,A,,,,
37712,swe1_SlqhNgGG,swe.1,,,Degerfors IF,Hammarby IF,2026-07-01,4,0,,H,,,,
37713,swe1_KOupPFo4,swe.1,,,AIK,GAIS,2026-07-01,2,0,,H,,,,
37714,swe1_l4X0LXpT,swe.1,,,IF Brommapojkarna,IFK Göteborg,2026-07-01,2,1,,H,,,,
37715,swe1_YR5JwF0c,swe.1,,,Mjällby AIF,Västerås SK,2026-07-01,0,0,,D,,,,
37716,swe1_EmWoC8jI,swe.1,,,Djurgården,Halmstads BK,2026-07-01,3,0,,H,,,,
37717,swe1_MHNc3YOp,swe.1,,,IF Brommapojkarna,IK Sirius,2026-07-01,1,2,,A,,,,
37718,swe1_Sfn2EbXo,swe.1,,,IF Elfsborg,GAIS,2026-07-01,1,0,,H,,,,
37719,swe1_n1UgAnLU,swe.1,,,Hammarby IF,Kalmar FF,2026-07-01,2,0,,H,,,,
37720,swe1_2XtR8f1N,swe.1,,,IFK Göteborg,Malmö FF,2026-07-01,4,0,,H,,,,
37721,swe1_EBAqRyHi,swe.1,,,Degerfors IF,Västerås SK,2026-07-01,2,0,,H,,,,
37722,swe1_YikACx2b,swe.1,,,BK Häcken,Hacken,2026-07-01,4,3,,H,,,,
37723,swe1_f7wJAGWA,swe.1,,,AIK,Mjällby AIF,2026-07-01,1,2,,A,,,,
37724,swe1_lrt2CHp1,swe.1,,,IF Brommapojkarna,GAIS,2026-07-01,1,1,,D,,,,
37725,swe1_C2nOJahR,swe.1,,,Djurgården,BK Häcken,2026-07-01,2,4,,A,,,,
37726,swe1_GUsfEwGl,swe.1,,,IF Elfsborg,Hammarby IF,2026-07-01,1,2,,A,,,,
37727,swe1_4xqGLLNE,swe.1,,,AIK,IFK Göteborg,2026-07-01,1,2,,A,,,,
37728,swe1_W4vVFjig,swe.1,,,Kalmar FF,Orgryte,2026-07-01,3,0,,H,,,,
37729,swe1_pAZAAeFD,swe.1,,,Degerfors IF,Malmö FF,2026-07-01,0,1,,A,,,,
37730,swe1_ILxwEUL5,swe.1,,,Halmstads BK,Västerås SK,2026-07-01,1,3,,A,,,,
37731,swe1_AkjMHCMt,swe.1,,,Mjällby AIF,IK Sirius,2026-07-01,4,4,,D,,,,
37732,swe1_GG2Lav1e,swe.1,,,IF Brommapojkarna,Degerfors IF,2026-07-01,2,2,,D,,,,
37733,swe1_4G7u9rv9,swe.1,,,BK Häcken,Hammarby IF,2026-07-01,3,2,,H,,,,
37734,swe1_Ot6TcIV7,swe.1,,,IFK Göteborg,Västerås SK,2026-07-01,4,5,,A,,,,
37735,swe1_nuyFhNgS,swe.1,,,AIK,IK Sirius,2026-07-01,0,3,,A,,,,
37736,swe1_GfRpm1Hk,swe.1,,,GAIS,Kalmar FF,2026-07-01,3,0,,H,,,,
37737,swe1_dEnK10Wr,swe.1,,,Halmstads BK,Malmö FF,2026-07-01,5,2,,H,,,,
37738,swe1_xAFgoun2,swe.1,,,IF Elfsborg,Elfsborg,2026-07-01,2,2,,D,,,,
37739,swe1_UPm4zOXq,swe.1,,,IF Elfsborg,BK Häcken,2026-07-01,1,1,,D,,,,
37740,swe1_xS8Ps6uA,swe.1,,,IFK Göteborg,Mjällby AIF,2026-07-01,1,1,,D,,,,
37741,swe1_phCXupAM,swe.1,,,Malmö FF,Västerås SK,2026-07-01,2,3,,A,,,,
37742,swe1_t0FGqSAc,swe.1,,,AIK,Hammarby IF,2026-07-01,1,2,,A,,,,
37743,swe1_2i1BY12d,swe.1,,,GAIS,IK Sirius,2026-07-01,2,1,,H,,,,
37744,swe1_jDs6fqPF,swe.1,,,Halmstads BK,Orgryte,2026-07-01,2,0,,H,,,,
37745,swe1_Iaqbd5f3,swe.1,,,Degerfors IF,Kalmar FF,2026-07-01,2,1,,H,,,,
37746,swe1_l6SULOIj,swe.1,,,IF Brommapojkarna,Djurgården,2026-07-01,1,2,,A,,,,
37747,swe1_zHabevSa,swe.1,,,IF Elfsborg,Mjällby AIF,2026-07-01,1,1,,D,,,,
37748,swe1_rJKJ2MZP,swe.1,,,GAIS,Hammarby IF,2026-07-01,2,0,,H,,,,
37749,swe1_IRNUPXJO,swe.1,,,IFK Göteborg,Goteborg,2026-07-01,2,3,,A,,,,
37750,swe1_tMS5Vyjm,swe.1,,,Djurgården,IK Sirius,2026-07-01,2,3,,A,,,,
37751,swe1_KSFXqy5t,swe.1,,,BK Häcken,Mjällby AIF,2026-07-01,0,1,,A,,,,
37752,swe1_l87ltg45,swe.1,,,AIK,Västerås SK,2026-07-01,1,1,,D,,,,
37753,swe1_ShJurFZh,swe.1,,,IF Brommapojkarna,Kalmar FF,2026-07-01,1,0,,H,,,,
37754,swe1_lnWDTFKa,swe.1,,,Hammarby IF,Malmö FF,2026-07-01,4,1,,H,,,,
37755,swe1_pEPMRgkC,swe.1,,,Degerfors IF,GAIS,2026-07-01,1,1,,D,,,,
37756,swe1_dYAdvXYH,swe.1,,,IF Elfsborg,Halmstads BK,2026-07-01,1,1,,D,,,,
37757,swe1_lYjuFG56,swe.1,,,Sirius,IK Sirius,2026-07-01,2,0,,H,,,,
37758,swe1_AJDhOKrK,swe.1,,,BK Häcken,Malmö FF,2026-07-01,3,2,,H,,,,
37759,swe1_McXc2wM0,swe.1,,,AIK,Djurgården,2026-07-01,2,4,,A,,,,
37760,swe1_dliZzbSP,swe.1,,,Halmstads BK,Kalmar FF,2026-07-01,2,0,,H,,,,
37761,swe1_GKhXGxyf,swe.1,,,Degerfors IF,Mjällby AIF,2026-07-01,1,4,,A,,,,
37762,swe1_UNz60HjD,swe.1,,,Hammarby IF,IFK Göteborg,2026-07-01,0,1,,A,,,,
37763,swe1_p0plDfzJ,swe.1,,,GAIS,Västerås SK,2026-07-01,0,1,,A,,,,
37764,swe1_KhaOIb6s,swe.1,,,IF Brommapojkarna,IF Elfsborg,2026-07-01,2,0,,H,,,,
37765,swe1_2FNZBjgc,swe.1,,,Djurgården,IFK Göteborg,2026-07-01,6,0,,H,,,,
37766,swe1_QVwk4ail,swe.1,,,IF Brommapojkarna,Halmstads BK,2026-07-01,1,3,,A,,,,
37767,swe1_8f7Omv77,swe.1,,,AIK,IF Elfsborg,2026-07-01,1,1,,D,,,,
37768,swe1_vFF7iM7r,swe.1,,,GAIS,Orgryte,2026-07-01,4,0,,H,,,,
37769,swe1_zTLsAUN9,swe.1,,,Hammarby IF,Västerås SK,2026-07-01,3,0,,H,,,,
37770,swe1_nuJFk0xe,swe.1,,,Malmö FF,Mjällby AIF,2026-07-01,2,3,,A,,,,
37771,swe1_z1aABsaE,swe.1,,,Degerfors IF,BK Häcken,2026-07-01,1,1,,D,,,,
37772,swe1_UahJ9LTQ,swe.1,,,Kalmar FF,IK Sirius,2026-07-01,3,2,,H,,,,
37773,swe1_hMkTbqbB,swe.1,,,AIK,Malmö FF,2026-07-01,0,1,,A,,,,
37774,swe1_nqB2DrD4,swe.1,,,BK Häcken,IK Sirius,2026-07-01,2,2,,D,,,,
37775,swe1_pvgk4vzi,swe.1,,,IF Elfsborg,Kalmar FF,2026-07-01,2,1,,H,,,,
37776,swe1_htEABMsH,swe.1,,,Halmstads BK,Mjällby AIF,2026-07-01,2,0,,H,,,,
37777,swe1_jHHgF4rh,swe.1,,,Degerfors IF,Degerfors,2026-07-01,1,1,,D,,,,
37778,swe1_Ee2J90CT,swe.1,,,IF Brommapojkarna,Västerås SK,2026-07-01,1,2,,A,,,,
37779,swe1_bNU7i1jo,swe.1,,,GAIS,IFK Göteborg,2026-07-01,2,2,,D,,,,
37780,swe1_vwlycNSN,swe.1,,,Djurgården,Hammarby IF,2026-07-01,1,1,,D,,,,
37781,swe1_pGS1rODU,swe.1,,,AIK,Degerfors IF,2026-07-01,2,1,,H,,,,
37782,swe1_2DUUklFt,swe.1,,,GAIS,Mjällby AIF,2026-07-01,0,0,,D,,,,
37783,swe1_W61K05Tb,swe.1,,,IFK Göteborg,Kalmar FF,2026-07-01,1,1,,D,,,,
37784,swe1_WhMon6E5,swe.1,,,Malmö FF,IK Sirius,2026-07-01,2,3,,A,,,,
37785,swe1_C2UgppqI,swe.1,,,Djurgården,IF Elfsborg,2026-07-01,2,1,,H,,,,
37786,swe1_ClkLVpUO,swe.1,,,Halmstads BK,Hammarby IF,2026-07-01,1,1,,D,,,,
37787,swe1_OSIwlSqg,swe.1,,,IF Brommapojkarna,Brommapojkarna,2026-07-01,1,2,,A,,,,
37788,swe1_OtbC2Rbn,swe.1,,,BK Häcken,Västerås SK,2026-07-01,3,3,,D,,,,
37789,swe1_xCxqWgO7,swe.1,,,GAIS,BK Häcken,2026-07-01,2,1,,H,,,,
37790,swe1_vHfdub1L,swe.1,,,AIK,Kalmar FF,2026-07-01,1,0,,H,,,,
37791,swe1_hnZJX6aC,swe.1,,,Halmstads BK,IFK Göteborg,2026-07-01,1,1,,D,,,,
37792,swe1_WEZzYFge,swe.1,,,Hammarby IF,Orgryte,2026-07-01,8,1,,H,,,,
37793,swe1_I7FVgcGE,swe.1,,,IF Brommapojkarna,Mjällby AIF,2026-07-01,3,0,,H,,,,
37794,swe1_KYzCZSUa,swe.1,,,IK Sirius,Västerås SK,2026-07-01,4,1,,H,,,,
37795,swe1_O6s3yk0m,swe.1,,,Degerfors IF,IF Elfsborg,2026-07-01,0,1,,A,,,,
37796,swe1_zmtSZyPr,swe.1,,,Djurgården,Malmö FF,2026-07-01,0,1,,A,,,,
37797,swe1_bqKNQbnS,swe.1,,,AIK,IF Brommapojkarna,2026-07-01,2,2,,D,,,,
37798,swe1_URAgLxAk,swe.1,,,Hammarby IF,IK Sirius,2026-07-01,2,0,,H,,,,
37799,swe1_2HQESKHF,swe.1,,,GAIS,Malmö FF,2026-07-01,3,1,,H,,,,
37800,swe1_8bsC8aQq,swe.1,,,Djurgården,Kalmar FF,2026-07-01,3,2,,H,,,,
37801,swe1_rk1msKW8,swe.1,,,Degerfors IF,Halmstads BK,2026-07-01,0,3,,A,,,,
37802,swe1_GOpK6wed,swe.1,,,BK Häcken,IFK Göteborg,2026-07-01,0,2,,A,,,,
37803,swe1_U3S6Utm3,swe.1,,,Mjällby AIF,Orgryte,2026-07-01,0,2,,A,,,,
37804,swe1_jsa2JGv2,swe.1,,,IF Elfsborg,Västerås SK,2026-07-01,2,2,,D,,,,
37805,swe1_xfF51rJG,swe.1,,,Djurgården,GAIS,2026-07-01,0,1,,A,,,,
37806,swe1_dbnWH33c,swe.1,,,IF Elfsborg,IFK Göteborg,2026-07-01,2,0,,H,,,,
37807,swe1_44apf0Bj,swe.1,,,IF Brommapojkarna,BK Häcken,2026-07-01,2,2,,D,,,,
37808,swe1_pKIDaMmT,swe.1,,,Malmö FF,Malmo FF,2026-07-01,1,1,,D,,,,
37809,swe1_OW8k5QJi,swe.1,,,AIK,Halmstads BK,2026-07-01,2,1,,H,,,,
37810,swe1_OQ5uEL2M,swe.1,,,Kalmar FF,Västerås SK,2026-07-01,0,1,,A,,,,
37811,swe1_G02XFsY9,swe.1,,,Degerfors IF,IK Sirius,2026-07-01,0,3,,A,,,,
37812,swe1_GvRd34l4,swe.1,,,Hammarby IF,Mjällby AIF,2026-07-01,3,0,,H,,,,
38344,espn:2026-europa-q2-1763,uefa.europa.q2,,,Hammarby IF,Anderlecht,2026-07-23,1,1,FT,D,,,2026-07-24 01:55:06,2026-07-24 01:55:06
38345,espn:2026-europa-q2-1764,uefa.europa.q2,,,Qarabağ,CSKA Sofia,2026-07-23,0,0,FT,D,,,2026-07-24 01:55:06,2026-07-24 01:55:06
38346,espn:2026-europa-q2-1765,uefa.europa.q2,,,Tromsø,Hradec Králové,2026-07-23,0,1,FT,A,,,2026-07-24 01:55:06,2026-07-24 01:55:06
38347,espn:2026-europa-q2-1766,uefa.europa.q2,,,Twente,Ferencváros,2026-07-23,1,2,FT,A,1.1,1.59,2026-07-24 01:55:06,2026-07-24 01:55:06
38348,espn:2026-europa-q2-1767,uefa.europa.q2,,,Beşiktaş,Midtjylland,2026-07-23,1,0,FT,H,3.04,0.67,2026-07-24 01:55:06,2026-07-24 01:55:06
38349,espn:2026-europa-q2-1768,uefa.europa.q2,,,Hajduk Split,Pafos,2026-07-23,2,0,FT,H,,,2026-07-24 01:55:06,2026-07-24 01:55:06
38350,espn:2026-europa-q2-1769,uefa.europa.q2,,,Sheriff Tiraspol,Maccabi Tel Aviv,2026-07-23,0,5,FT,A,,,2026-07-24 01:55:06,2026-07-24 01:55:06
38351,espn:2026-europa-q2-1770,uefa.europa.q2,,,St. Gallen,Benfica,2026-07-23,2,1,FT,H,1.74,1.32,2026-07-24 01:55:06,2026-07-24 01:55:06
38352,espn:2026-europa-q2-1771,uefa.europa.q2,,,Dynamo Kyiv,PAOK,2026-07-23,2,3,FT,A,1.18,1.9,2026-07-24 01:55:06,2026-07-24 01:55:06
38353,kl1_2024_000,kor.1,,,Daegu FC,Daejeon Hana Citizen,2024-12-31,0,0,completed,,,,,
38354,kl1_2024_001,kor.1,,,Daegu FC,Gangwon FC,2024-12-31,1,2,completed,,,,,
38355,kl1_2024_002,kor.1,,,Daegu FC,Gimcheon Sangmu,2024-12-31,0,1,completed,,,,,
38356,kl1_2024_003,kor.1,,,Daegu FC,Gwangju FC,2024-12-31,3,2,completed,,,,,
38357,kl1_2024_004,kor.1,,,Daegu FC,Incheon United,2024-12-31,0,0,completed,,,,,
38358,kl1_2024_005,kor.1,,,Daegu FC,Jeju SK,2024-12-31,1,0,completed,,,,,
38359,kl1_2024_006,kor.1,,,Daegu FC,Jeonbuk Hyundai Motors,2024-12-31,3,0,completed,,,,,
38360,kl1_2024_007,kor.1,,,Daegu FC,Pohang Steelers,2024-12-31,3,3,completed,,,,,
38361,kl1_2024_008,kor.1,,,Daegu FC,FC Seoul,2024-12-31,0,0,completed,,,,,
38362,kl1_2024_009,kor.1,,,Daegu FC,Suwon FC,2024-12-31,1,1,completed,,,,,
38363,kl1_2024_010,kor.1,,,Daejeon Hana Citizen,Daegu FC,2024-12-31,1,0,completed,,,,,
38364,kl1_2024_011,kor.1,,,Daejeon Hana Citizen,Gangwon FC,2024-12-31,1,1,completed,,,,,
38365,kl1_2024_012,kor.1,,,Daejeon Hana Citizen,Gimcheon Sangmu,2024-12-31,0,0,completed,,,,,
38366,kl1_2024_013,kor.1,,,Daejeon Hana Citizen,Gwangju FC,2024-12-31,2,1,completed,,,,,
38367,kl1_2024_014,kor.1,,,Daejeon Hana Citizen,Incheon United,2024-12-31,0,1,completed,,,,,
38368,kl1_2024_015,kor.1,,,Daejeon Hana Citizen,Jeju SK,2024-12-31,0,1,completed,,,,,
38369,kl1_2024_016,kor.1,,,Daejeon Hana Citizen,Jeonbuk Hyundai Motors,2024-12-31,2,2,completed,,,,,
38370,kl1_2024_017,kor.1,,,Daejeon Hana Citizen,Pohang Steelers,2024-12-31,1,2,completed,,,,,
