player_id,short_name,long_name,overall,potential,age,club_name,nationality_name,league_name,value_eur,wage_eur,pace,shooting,passing,dribbling,defending,physic,skill_moves,weak_foot,player_positions,player_face_url,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,gk_speed,is_gk
70120,S. Molde,Stian Stray Molde,67,67,28,Fredrikstad FK,Norway,Eliteserien,925000,,66,47,58,62,63,68,2,3,LB,https://cdn.sofifa.net/players/070/120/26_120.png,,,,,,,
70121,L. Begby,Ludvig Begby,59,59,28,Fredrikstad FK,Norway,Eliteserien,230000,,65,51,55,60,26,43,2,3,"LM, LW",https://cdn.sofifa.net/players/070/121/26_120.png,,,,,,,
70123,I. Hermansen,Imre Bech Hermansen,56,70,19,Fredrikstad FK,Norway,Eliteserien,325000,,65,30,42,55,54,60,2,3,"RB, RM",https://cdn.sofifa.net/players/070/123/26_120.png,,,,,,,
70124,J. Magnússon,Júlíus Magnússon,65,68,27,IF Elfsborg,Iceland,Allsvenskan,825000,,66,49,59,61,63,67,2,3,"CDM, CM",https://cdn.sofifa.net/players/070/124/26_120.png,,,,,,,
70125,Y. Bojang,Yahya Bojang,56,70,20,Odense Boldklub,Gambia,Superliga,325000,,63,26,43,51,54,62,2,2,"CB, CDM",https://cdn.sofifa.net/players/070/125/26_120.png,,,,,,,
70126,J. Bjartalíð,Jóannes Bjartalíð,64,64,28,Fredrikstad FK,Faroe Islands,Eliteserien,600000,,70,63,50,62,24,67,2,3,ST,https://cdn.sofifa.net/players/070/126/26_120.png,,,,,,,
70129,G. Lundgren,Gustav Lundgren,69,69,30,GAIS,Sweden,Allsvenskan,1300000,,76,67,70,67,33,75,3,3,"RW, CM, RM",https://cdn.sofifa.net/players/070/129/26_120.png,,,,,,,
70136,A. Bravo,Agustín Antonio Bravo,62,71,24,Instituto Atlético Central Córdoba,Argentina,Liga Profesional de Fútbol,825000,,70,38,38,45,65,66,2,2,"CB, LB",https://cdn.sofifa.net/players/070/136/26_120.png,,,,,,,
70137,J. Kadijevic,Julián Kadijevic,63,73,21,Gimnasia y Esgrima La Plata,Argentina,Liga Profesional de Fútbol,925000,,,,,,,,1,2,GK,https://cdn.sofifa.net/players/070/137/26_120.png,62,59,60,64,64,25,1
70138,F. Rieper,Frederik Thykær Rieper,64,69,26,Fredericia,Denmark,Superliga,775000,,62,26,43,51,64,64,2,2,CB,https://cdn.sofifa.net/players/070/138/26_120.png,,,,,,,
70141,N. Pariano,Nick Pariano,55,65,22,Philadelphia Union,United States,Major League Soccer,275000,,59,41,60,58,35,46,2,3,"CAM, CM",https://cdn.sofifa.net/players/070/141/26_120.png,,,,,,,
70143,L. Tahwildaran,Liam Jonatan Tahwildaran,56,68,21,IF Brommapojkarna,Sweden,Allsvenskan,325000,,78,38,49,57,49,59,3,3,"LB, LM",https://cdn.sofifa.net/players/070/143/26_120.png,,,,,,,
70149,S. Fukuda,Shio Fukuda福田 師王,64,76,21,Karlsruher SC,Japan,2. Bundesliga,1400000,,69,65,49,68,23,44,3,3,ST,https://cdn.sofifa.net/players/070/149/26_120.png,,,,,,,
70155,T. Habroune,Taha Habroune,57,77,19,Columbus Crew,United States,Major League Soccer,450000,,66,49,53,60,50,48,2,3,"CAM, CM",https://cdn.sofifa.net/players/070/155/26_120.png,,,,,,,
70160,T. Yegbe,Terry Yegbe,69,77,24,FC Metz,Ghana,Ligue 1,2900000,,79,36,49,56,66,80,2,3,CB,https://cdn.sofifa.net/players/070/160/26_120.png,,,,,,,
70162,M. Golding,Michael Heinz Golding,62,79,19,Leicester City,England,Championship,1000000,,66,57,63,64,57,60,3,3,"CAM, LM, CM",https://cdn.sofifa.net/players/070/162/26_120.png,,,,,,,
70163,L. Hasa,Luis Hasa,65,74,21,Carrarese,Italy,Serie B,1600000,,69,59,60,69,50,51,2,3,CM,https://cdn.sofifa.net/players/070/163/26_120.png,,,,,,,
70164,T. Bach,Tobias Bach,63,70,22,Vejle Boldklub,Denmark,Superliga,975000,,75,60,57,60,56,73,3,3,"LM, LB, LW",https://cdn.sofifa.net/players/070/164/26_120.png,,,,,,,
70166,V. Halvorsen,Victor Emanuel Halvorsen,64,78,20,Sarpsborg 08 FF,Norway,Eliteserien,1400000,,59,61,62,64,56,66,3,3,"CAM, CM",https://cdn.sofifa.net/players/070/166/26_120.png,,,,,,,
70168,M. Valenti,Matías Valenti,66,73,22,Independiente Rivadavia,Argentina,Liga Profesional de Fútbol,1600000,,63,40,41,60,69,70,2,3,"LB, CB, LM",https://cdn.sofifa.net/players/070/168/26_120.png,,,,,,,
70170,João Pedro,João Pedro Reginaldo,64,70,22,Radomiak Radom,Brazil,Ekstraklasa,875000,,66,27,55,55,63,64,2,2,"LB, CB, LM",https://cdn.sofifa.net/players/070/170/26_120.png,,,,,,,
70176,Ó. Quiñónez,Óscar Esteban Quiñónez Mendoza,66,70,24,Independiente del Valle,Ecuador,Serie A,1100000,,72,28,47,65,66,69,2,3,CB,https://cdn.sofifa.net/players/070/176/26_120.png,,,,,,,
70177,A. Hammond,Aydan Johnathan Hammond,59,72,21,Western Sydney Wanderers,Australia,A-League Men,550000,,84,54,52,58,22,47,2,2,"RW, LW, CAM, RM",https://cdn.sofifa.net/players/070/177/26_120.png,,,,,,,
70185,D. Hickson,David Hickson Gyedu,64,64,27,KFUM-Kameratene Oslo,Norway,Eliteserien,575000,,82,50,57,65,54,69,2,2,"LB, RB, RW, LM",https://cdn.sofifa.net/players/070/185/26_120.png,,,,,,,
70186,A. Ersungur,Ali-Eren Ersungur,61,77,19,Karlsruher SC,Türkiye,2. Bundesliga,850000,,67,56,60,63,36,56,3,3,"CAM, CM",https://cdn.sofifa.net/players/070/186/26_120.png,,,,,,,
70187,C. Ibayi,Christopher Ibayi,64,64,29,FC Thun,Congo,Super League,575000,,60,65,48,60,26,66,3,2,ST,https://cdn.sofifa.net/players/070/187/26_120.png,,,,,,,
70191,T. De Vlieger,Tibe De Vlieger,61,75,19,KAA Gent,Belgium,Pro League,775000,,66,65,62,63,35,48,2,3,"CAM, RM, CM",https://cdn.sofifa.net/players/070/191/26_120.png,,,,,,,
70192,H. Matthews,Hayden John Matthews,64,77,21,Portsmouth,Australia,Championship,1400000,,70,26,47,52,63,72,2,3,CB,https://cdn.sofifa.net/players/070/192/26_120.png,,,,,,,
70195,A. Mekvabishvili,Anzor Mekvabishviliანზორ მექვაბიშვილი,68,74,24,Universitatea Craiova,Georgia,Liga I,1800000,,71,39,58,65,65,65,2,2,"CDM, CM",https://cdn.sofifa.net/players/070/195/26_120.png,,,,,,,
70198,L. Herrera,Luciano Ramón Herrera,68,68,29,Newell's Old Boys,Argentina,Liga Profesional de Fútbol,1200000,,70,68,61,66,25,65,3,3,"LM, RM, CAM, LW",https://cdn.sofifa.net/players/070/198/26_120.png,,,,,,,
70203,K. Vázquez,Kevin Alejandro Vázquez,66,72,24,Vélez Sarsfield,Argentina,Liga Profesional de Fútbol,1300000,,69,45,68,68,58,70,2,3,"CM, CDM",https://cdn.sofifa.net/players/070/203/26_120.png,,,,,,,
70214,Y. Murillo,Yeison Mena Murillo,65,65,31,Deportivo Riestra,Colombia,Liga Profesional de Fútbol,500000,,50,29,34,32,66,74,2,2,"CB, RB, RM",https://cdn.sofifa.net/players/070/214/26_120.png,,,,,,,
70220,D. Kelly,Daniel Kelly,60,76,19,Millwall FC,Scotland,Championship,625000,,69,58,55,63,50,63,2,3,"CM, CAM",https://cdn.sofifa.net/players/070/220/26_120.png,,,,,,,
70222,W. Frederick,Wayne Alix Frederick II,51,62,21,Colorado Rapids,Trinidad and Tobago,Major League Soccer,130000,,65,47,44,56,32,43,2,3,"CAM, CM",https://cdn.sofifa.net/players/070/222/26_120.png,,,,,,,
70228,J. Gardner,Joseph Charles Gardner,61,72,20,Mansfield Town,Republic of Ireland,League One,725000,,66,59,59,62,31,53,3,2,"CAM, LM, ST, CM",https://cdn.sofifa.net/players/070/228/26_120.png,,,,,,,
70229,J. McDonnell,Jamie Carson McDonnell,66,76,21,Mansfield Town,Northern Ireland,League One,1800000,,61,50,55,58,66,76,2,2,"CDM, CM",https://cdn.sofifa.net/players/070/229/26_120.png,,,,,,,
70230,L. Orford,Lewis Orford,61,78,19,Stevenage,England,League One,800000,,61,46,59,59,57,62,2,3,"CDM, CM",https://cdn.sofifa.net/players/070/230/26_120.png,,,,,,,
70237,N. Castelle,Niklas Horst Castelle,62,71,22,Alemannia Aachen,Germany,3. Liga,900000,,72,61,48,65,23,55,2,3,"ST, RM, LM, RW",https://cdn.sofifa.net/players/070/237/26_120.png,,,,,,,
70240,B. Ersoy,Burhan Ersoy,51,59,22,Fatih Karagümrük,Türkiye,Süper Lig,120000,,59,31,39,41,52,54,2,2,CB,https://cdn.sofifa.net/players/070/240/26_120.png,,,,,,,
70241,E. Bulut,Emrecan Bulut,61,73,22,Çaykur Rizespor,Türkiye,Süper Lig,800000,,69,55,57,60,32,60,3,2,"LM, LW",https://cdn.sofifa.net/players/070/241/26_120.png,,,,,,,
70249,B. Burmaz,Borisav BurmazБорисав Бурмаз,65,69,24,Rapid Bucuresti,Serbia,Liga I,1000000,,73,64,58,63,35,68,2,3,"ST, LW, CAM, LM",https://cdn.sofifa.net/players/070/249/26_120.png,,,,,,,
70251,A. Mazza,Andrea Sergio Mazza,56,68,21,Monza,Italy,Serie B,300000,,,,,,,,1,3,GK,https://cdn.sofifa.net/players/070/251/26_120.png,51,59,56,51,58,20,1
70252,S. Goglichidze,Saba Goglichidzeსაბა გოგლიჩიძე,69,79,21,Udinese,Georgia,Serie A,2900000,,54,25,44,48,72,66,2,3,CB,https://cdn.sofifa.net/players/070/252/26_120.png,,,,,,,
70253,A. Ünyay,Arda Ünyay,64,81,18,Galatasaray SK,Türkiye,Süper Lig,1400000,,70,29,54,60,62,70,2,3,"CB, RB",https://cdn.sofifa.net/players/070/253/26_120.png,,,,,,,
70264,Rupérez,Iñaki Rupérez Urtasun,64,74,22,Real Sociedad de Fútbol B,Spain,La Liga 2,1300000,,64,58,60,63,61,60,3,3,"RB, RM",https://cdn.sofifa.net/players/070/264/26_120.png,,,,,,,
70265,Aldaír Ferreira,Aldaír Caputa Ferreira,67,68,27,FC Botoşani,Angola,Liga I,1000000,,73,63,64,66,63,66,2,4,"CDM, CM",https://cdn.sofifa.net/players/070/265/26_120.png,,,,,,,
70268,Ș. Bană,Ștefan Daniel Bană,63,76,20,Oțelul Galați,Romania,Liga I,1200000,,74,56,57,65,27,52,4,3,"RM, LM, RW",https://cdn.sofifa.net/players/070/268/26_120.png,,,,,,,
70273,A. Ouattara,Abdoul Kader Ouattara,62,78,20,Cercle Brugge KSV,Burkina Faso,Pro League,1100000,,73,62,46,59,17,54,2,2,"ST, CAM",https://cdn.sofifa.net/players/070/273/26_120.png,,,,,,,
70275,J. Stokes,Joshua Dale Stokes,64,75,21,Bristol City,England,Championship,1300000,,74,62,60,65,41,56,3,3,"CAM, LM, ST",https://cdn.sofifa.net/players/070/275/26_120.png,,,,,,,
70277,A. Lapage,Amando Lapage,62,74,20,KVC Westerlo,Belgium,Pro League,900000,,64,38,41,48,62,70,2,2,CB,https://cdn.sofifa.net/players/070/277/26_120.png,,,,,,,
70279,M. Seiler,Mats Seiler,53,70,19,BSC Young Boys,Switzerland,Super League,230000,,64,26,29,33,53,62,2,3,"CB, LB",https://cdn.sofifa.net/players/070/279/26_120.png,,,,,,,
70281,D. Mina,Diego Emerson Mina,56,68,19,FC Lugano,Switzerland,Super League,300000,,,,,,,,1,1,GK,https://cdn.sofifa.net/players/070/281/26_120.png,53,56,54,54,57,29,1
70283,Diogo Prioste,Diogo Ferreira Prioste,66,79,21,SL Benfica,Portugal,Primeira Liga,2100000,,64,60,62,67,57,62,2,3,CM,https://cdn.sofifa.net/players/070/283/26_120.png,,,,,,,
70284,Daniel Azevedo,Daniel Grilo Azevedo,60,64,27,Casa Pia,Portugal,Primeira Liga,250000,,,,,,,,1,1,GK,https://cdn.sofifa.net/players/070/284/26_120.png,61,56,54,63,62,20,1
70289,Sidny Cabral,Sidny Lopes Cabral,66,75,22,Estrela da Amadora,Cabo Verde,Primeira Liga,1800000,,82,53,63,68,60,62,2,4,"RB, LB, RM",https://cdn.sofifa.net/players/070/289/26_120.png,,,,,,,
70291,S. Rivero,Simón Gonzalo Rivero,66,77,22,Tigre,Argentina,Liga Profesional de Fútbol,1900000,,79,58,66,71,53,62,3,3,"CM, LM, RM",https://cdn.sofifa.net/players/070/291/26_120.png,,,,,,,
70295,H. Karlsson,Hlynur Freyr Karlsson,64,74,21,IF Brommapojkarna,Iceland,Allsvenskan,1200000,,65,35,50,59,64,65,2,3,CB,https://cdn.sofifa.net/players/070/295/26_120.png,,,,,,,
70297,N. Mikić,Noa Mikić,62,79,18,Dinamo Zagreb,Croatia,Hrvatska nogometna liga,975000,,81,50,56,68,54,60,2,2,"RB, RM",https://cdn.sofifa.net/players/070/297/26_120.png,,,,,,,
70298,João Lameira,João Pedro Santos Lameira,68,70,26,Oțelul Galați,Portugal,Liga I,1500000,,64,51,62,68,62,73,2,3,"CM, CDM",https://cdn.sofifa.net/players/070/298/26_120.png,,,,,,,
70301,Pablo Sáenz,Pablo Sáenz Ezquerra,66,72,24,Granada CF,Spain,La Liga 2,1400000,,69,63,58,68,31,54,3,3,"RM, LM, CAM, RW",https://cdn.sofifa.net/players/070/301/26_120.png,,,,,,,
70319,J. Bland,Jonathan Patrick Richard Bland,58,71,19,Barnsley,Wales,League One,475000,,60,48,55,59,58,64,2,3,"CM, RB, RM",https://cdn.sofifa.net/players/070/319/26_120.png,,,,,,,
70322,V. Cespedes,Victor Imanol Céspedes Barreto,58,67,22,Guaraní,Paraguay,División Profesional,450000,,73,59,48,62,23,49,3,3,"LM, RM, LW",https://cdn.sofifa.net/players/070/322/26_120.png,,,,,,,
70327,O. Diawara,Ousmane Diawara,63,66,25,SC Rheindorf Altach,Mali,Bundesliga,650000,,81,60,55,61,28,69,2,2,ST,https://cdn.sofifa.net/players/070/327/26_120.png,,,,,,,
70328,S. Granaas,Sondre Milian Granaas,62,77,18,Molde FK,Norway,Eliteserien,925000,,64,56,59,63,51,54,3,2,"LW, CM, LM",https://cdn.sofifa.net/players/070/328/26_120.png,,,,,,,
