season,league_slug,div,match_date,home_team,away_team,fthg,ftag,ftr,referee,b365h,b365d,b365a,avg_h,avg_d,avg_a,fetched_at,home_shots,away_shots,home_sot,away_sot,home_fouls,away_fouls,home_corners,away_corners,home_yellows,away_yellows,home_reds,away_reds
2020/2021,eng.1,E0,24/10/2020,West Ham,Man City,1,1,D,A Taylor,8.0,5.25,1.36,7.2,5.16,1.41,2026-07-20T17:14:54.281576,,,,,,,,,,,,
2020/2021,eng.1,E0,24/10/2020,Fulham,Crystal Palace,1,2,A,G Scott,2.75,3.1,2.7,2.74,3.14,2.77,2026-07-20T17:14:54.281594,,,,,,,,,,,,
2020/2021,eng.1,E0,24/10/2020,Man United,Chelsea,0,0,D,M Atkinson,2.37,3.6,2.8,2.38,3.59,2.9,2026-07-20T17:14:54.281611,,,,,,,,,,,,
2020/2021,eng.1,E0,24/10/2020,Liverpool,Sheffield United,2,1,H,M Dean,1.22,6.5,12.0,1.25,6.36,11.55,2026-07-20T17:14:54.281628,,,,,,,,,,,,
2020/2021,eng.1,E0,25/10/2020,Southampton,Everton,2,0,H,K Friend,2.75,3.4,2.55,2.78,3.47,2.54,2026-07-20T17:14:54.281645,,,,,,,,,,,,
2020/2021,eng.1,E0,25/10/2020,Wolves,Newcastle,1,1,D,L Mason,1.75,3.5,5.25,1.78,3.49,5.16,2026-07-20T17:14:54.281661,,,,,,,,,,,,
2020/2021,eng.1,E0,25/10/2020,Arsenal,Leicester,0,1,A,C Pawson,1.9,3.75,3.8,1.93,3.74,3.92,2026-07-20T17:14:54.281680,,,,,,,,,,,,
2020/2021,eng.1,E0,26/10/2020,Brighton,West Brom,1,1,D,J Moss,1.7,4.0,4.75,1.75,3.93,4.61,2026-07-20T17:14:54.281696,,,,,,,,,,,,
2020/2021,eng.1,E0,26/10/2020,Burnley,Tottenham,0,1,A,M Oliver,5.75,4.0,1.6,5.49,4.02,1.63,2026-07-20T17:14:54.281733,,,,,,,,,,,,
2020/2021,eng.1,E0,30/10/2020,Wolves,Crystal Palace,2,0,H,M Atkinson,2.0,3.2,4.33,2.05,3.13,4.27,2026-07-20T17:14:54.281758,,,,,,,,,,,,
2020/2021,eng.1,E0,31/10/2020,Sheffield United,Man City,0,1,A,M Oliver,9.5,6.0,1.28,9.43,5.76,1.31,2026-07-20T17:14:54.281776,,,,,,,,,,,,
2020/2021,eng.1,E0,31/10/2020,Burnley,Chelsea,0,3,A,D Coote,6.0,4.5,1.5,6.05,4.37,1.54,2026-07-20T17:14:54.281793,,,,,,,,,,,,
2020/2021,eng.1,E0,31/10/2020,Liverpool,West Ham,2,1,H,K Friend,1.36,5.25,7.5,1.39,5.26,7.43,2026-07-20T17:14:54.281810,,,,,,,,,,,,
2020/2021,eng.1,E0,01/11/2020,Aston Villa,Southampton,3,4,A,D England,2.45,3.5,2.8,2.46,3.6,2.78,2026-07-20T17:14:54.281827,,,,,,,,,,,,
2020/2021,eng.1,E0,01/11/2020,Newcastle,Everton,2,1,H,S Attwell,3.7,3.4,2.05,3.71,3.47,2.06,2026-07-20T17:14:54.281843,,,,,,,,,,,,
2020/2021,eng.1,E0,01/11/2020,Man United,Arsenal,0,1,A,M Dean,2.0,3.6,3.6,2.04,3.66,3.58,2026-07-20T17:14:54.281860,,,,,,,,,,,,
2020/2021,eng.1,E0,01/11/2020,Tottenham,Brighton,2,1,H,G Scott,1.61,4.0,5.5,1.63,4.17,5.29,2026-07-20T17:14:54.281876,,,,,,,,,,,,
2020/2021,eng.1,E0,02/11/2020,Fulham,West Brom,2,0,H,S Hooper,2.4,3.3,3.0,2.44,3.32,3.01,2026-07-20T17:14:54.281893,,,,,,,,,,,,
2020/2021,eng.1,E0,02/11/2020,Leeds,Leicester,1,4,A,A Marriner,2.5,3.6,2.62,2.56,3.56,2.68,2026-07-20T17:14:54.281909,,,,,,,,,,,,
2020/2021,eng.1,E0,06/11/2020,Brighton,Burnley,0,0,D,M Dean,1.85,3.5,4.33,1.9,3.48,4.42,2026-07-20T17:14:54.281926,,,,,,,,,,,,
2020/2021,eng.1,E0,06/11/2020,Southampton,Newcastle,2,0,H,P Bankes,2.0,3.6,3.7,2.04,3.58,3.7,2026-07-20T17:14:54.281942,,,,,,,,,,,,
2020/2021,eng.1,E0,07/11/2020,Everton,Man United,1,3,A,P Tierney,2.9,3.5,2.37,2.91,3.52,2.42,2026-07-20T17:14:54.281963,,,,,,,,,,,,
2020/2021,eng.1,E0,07/11/2020,Crystal Palace,Leeds,4,1,H,C Kavanagh,2.87,3.4,2.45,2.92,3.37,2.47,2026-07-20T17:14:54.281979,,,,,,,,,,,,
2020/2021,eng.1,E0,07/11/2020,Chelsea,Sheffield United,4,1,H,J Moss,1.36,5.0,8.5,1.39,4.93,8.23,2026-07-20T17:14:54.281996,,,,,,,,,,,,
2020/2021,eng.1,E0,07/11/2020,West Ham,Fulham,1,0,H,R Jones,1.83,3.75,4.2,1.83,3.82,4.23,2026-07-20T17:14:54.282012,,,,,,,,,,,,
2020/2021,eng.1,E0,08/11/2020,West Brom,Tottenham,0,1,A,A Madley,7.0,4.33,1.45,6.38,4.38,1.52,2026-07-20T17:14:54.282029,,,,,,,,,,,,
2020/2021,eng.1,E0,08/11/2020,Leicester,Wolves,1,0,H,A Taylor,2.3,3.2,3.25,2.38,3.14,3.28,2026-07-20T17:14:54.282045,,,,,,,,,,,,
2020/2021,eng.1,E0,08/11/2020,Man City,Liverpool,1,1,D,C Pawson,1.95,4.2,3.4,1.99,4.03,3.42,2026-07-20T17:14:54.282061,,,,,,,,,,,,
2020/2021,eng.1,E0,08/11/2020,Arsenal,Aston Villa,0,3,A,M Atkinson,1.65,4.1,5.0,1.7,3.97,4.92,2026-07-20T17:14:54.282077,,,,,,,,,,,,
2020/2021,eng.1,E0,21/11/2020,Newcastle,Chelsea,0,2,A,C Pawson,6.5,4.75,1.45,6.39,4.54,1.5,2026-07-20T17:14:54.282103,,,,,,,,,,,,
2020/2021,eng.1,E0,21/11/2020,Aston Villa,Brighton,1,2,A,M Oliver,2.15,3.6,3.2,2.19,3.61,3.21,2026-07-20T17:14:54.282119,,,,,,,,,,,,
2020/2021,eng.1,E0,21/11/2020,Tottenham,Man City,2,0,H,M Dean,4.0,4.0,1.8,4.1,4.03,1.81,2026-07-20T17:14:54.282138,,,,,,,,,,,,
2020/2021,eng.1,E0,21/11/2020,Man United,West Brom,1,0,H,D Coote,1.3,5.5,9.5,1.34,5.34,9.21,2026-07-20T17:14:54.282201,,,,,,,,,,,,
2020/2021,eng.1,E0,22/11/2020,Fulham,Everton,2,3,A,A Madley,3.9,3.9,1.85,3.93,3.79,1.9,2026-07-20T17:14:54.282222,,,,,,,,,,,,
2020/2021,eng.1,E0,22/11/2020,Sheffield United,West Ham,0,1,A,M Atkinson,3.0,3.25,2.4,3.06,3.26,2.43,2026-07-20T17:14:54.282240,,,,,,,,,,,,
2020/2021,eng.1,E0,22/11/2020,Leeds,Arsenal,0,0,D,A Taylor,3.0,3.75,2.2,3.13,3.7,2.21,2026-07-20T17:14:54.282256,,,,,,,,,,,,
2020/2021,eng.1,E0,22/11/2020,Liverpool,Leicester,3,0,H,C Kavanagh,1.85,4.0,3.8,1.9,3.92,3.82,2026-07-20T17:14:54.282273,,,,,,,,,,,,
2020/2021,eng.1,E0,23/11/2020,Burnley,Crystal Palace,1,0,H,K Friend,2.75,3.1,2.75,2.79,3.06,2.8,2026-07-20T17:14:54.282290,,,,,,,,,,,,
2020/2021,eng.1,E0,23/11/2020,Wolves,Southampton,1,1,D,A Marriner,2.3,3.25,3.25,2.32,3.25,3.27,2026-07-20T17:14:54.282307,,,,,,,,,,,,
2020/2021,eng.1,E0,27/11/2020,Crystal Palace,Newcastle,0,2,A,G Scott,2.05,3.25,3.75,2.15,3.21,3.74,2026-07-20T17:14:54.282323,,,,,,,,,,,,
2020/2021,eng.1,E0,28/11/2020,Brighton,Liverpool,1,1,D,S Attwell,5.5,4.2,1.57,5.32,4.19,1.62,2026-07-20T17:14:54.282340,,,,,,,,,,,,
2020/2021,eng.1,E0,28/11/2020,Man City,Burnley,5,0,H,L Mason,1.16,7.5,16.0,1.17,7.84,16.81,2026-07-20T17:14:54.282356,,,,,,,,,,,,
2020/2021,eng.1,E0,28/11/2020,Everton,Leeds,0,1,A,C Kavanagh,1.95,3.8,3.6,2.02,3.72,3.57,2026-07-20T17:14:54.282372,,,,,,,,,,,,
2020/2021,eng.1,E0,28/11/2020,West Brom,Sheffield United,1,0,H,M Dean,2.6,3.2,2.8,2.6,3.17,2.9,2026-07-20T17:14:54.282389,,,,,,,,,,,,
2020/2021,eng.1,E0,29/11/2020,Southampton,Man United,2,3,A,J Moss,4.0,3.5,1.95,3.8,3.57,2.0,2026-07-20T17:14:54.282406,,,,,,,,,,,,
2020/2021,eng.1,E0,29/11/2020,Chelsea,Tottenham,0,0,D,P Tierney,2.05,3.5,3.6,2.1,3.52,3.53,2026-07-20T17:14:54.282422,,,,,,,,,,,,
2020/2021,eng.1,E0,29/11/2020,Arsenal,Wolves,1,2,A,M Oliver,2.05,3.4,3.75,2.13,3.28,3.72,2026-07-20T17:14:54.282438,,,,,,,,,,,,
2020/2021,eng.1,E0,30/11/2020,Leicester,Fulham,1,2,A,S Hooper,1.5,4.33,6.5,1.54,4.35,6.15,2026-07-20T17:14:54.282454,,,,,,,,,,,,
2020/2021,eng.1,E0,30/11/2020,West Ham,Aston Villa,2,1,H,P Bankes,2.25,3.6,3.0,2.32,3.57,3.01,2026-07-20T17:14:54.282470,,,,,,,,,,,,
2020/2021,eng.1,E0,05/12/2020,Burnley,Everton,1,1,D,A Taylor,4.0,3.5,1.9,4.02,3.5,1.97,2026-07-20T17:14:54.282487,,,,,,,,,,,,
2020/2021,eng.1,E0,05/12/2020,Man City,Fulham,2,0,H,J Moss,1.1,11.0,19.0,1.12,9.74,21.84,2026-07-20T17:14:54.282504,,,,,,,,,,,,
2020/2021,eng.1,E0,05/12/2020,West Ham,Man United,1,3,A,A Marriner,3.6,3.6,2.0,3.62,3.57,2.05,2026-07-20T17:14:54.282520,,,,,,,,,,,,
2020/2021,eng.1,E0,05/12/2020,Chelsea,Leeds,3,1,H,K Friend,1.5,4.5,6.0,1.54,4.5,5.82,2026-07-20T17:14:54.282537,,,,,,,,,,,,
2020/2021,eng.1,E0,06/12/2020,West Brom,Crystal Palace,1,5,A,P Tierney,2.87,3.2,2.55,2.9,3.21,2.58,2026-07-20T17:14:54.282553,,,,,,,,,,,,
2020/2021,eng.1,E0,06/12/2020,Sheffield United,Leicester,1,2,A,S Attwell,3.8,3.5,1.95,3.86,3.49,2.01,2026-07-20T17:14:54.282570,,,,,,,,,,,,
2020/2021,eng.1,E0,06/12/2020,Tottenham,Arsenal,2,0,H,M Atkinson,1.95,3.6,3.8,2.01,3.54,3.79,2026-07-20T17:14:54.282586,,,,,,,,,,,,
2020/2021,eng.1,E0,06/12/2020,Liverpool,Wolves,4,0,H,C Pawson,1.5,4.33,6.5,1.52,4.25,6.59,2026-07-20T17:14:54.282602,,,,,,,,,,,,
2020/2021,eng.1,E0,07/12/2020,Brighton,Southampton,1,2,A,D Coote,2.45,3.4,2.9,2.52,3.36,2.86,2026-07-20T17:14:54.282618,,,,,,,,,,,,
2020/2021,eng.1,E0,11/12/2020,Leeds,West Ham,1,2,A,M Oliver,2.15,3.7,3.1,2.18,3.67,3.2,2026-07-20T17:14:54.282634,,,,,,,,,,,,
2020/2021,eng.1,E0,12/12/2020,Wolves,Aston Villa,0,1,A,M Dean,2.25,3.25,3.25,2.34,3.27,3.21,2026-07-20T17:14:54.282651,,,,,,,,,,,,
2020/2021,eng.1,E0,12/12/2020,Newcastle,West Brom,2,1,H,D England,2.45,3.2,3.0,2.51,3.25,2.95,2026-07-20T17:14:54.282669,,,,,,,,,,,,
2020/2021,eng.1,E0,12/12/2020,Man United,Man City,0,0,D,C Kavanagh,4.33,4.2,1.72,4.39,4.16,1.74,2026-07-20T17:14:54.282685,,,,,,,,,,,,
2020/2021,eng.1,E0,12/12/2020,Everton,Chelsea,1,0,H,J Moss,4.33,4.2,1.7,4.36,4.12,1.75,2026-07-20T17:14:54.282701,,,,,,,,,,,,
2020/2021,eng.1,E0,13/12/2020,Southampton,Sheffield United,3,0,H,A Madley,1.7,3.75,5.0,1.72,3.83,4.95,2026-07-20T17:14:54.282732,,,,,,,,,,,,
2020/2021,eng.1,E0,13/12/2020,Crystal Palace,Tottenham,1,1,D,K Friend,4.5,3.9,1.72,4.71,3.75,1.76,2026-07-20T17:14:54.282755,,,,,,,,,,,,
2020/2021,eng.1,E0,13/12/2020,Fulham,Liverpool,1,1,D,A Marriner,9.0,5.5,1.3,8.44,5.66,1.34,2026-07-20T17:14:54.282771,,,,,,,,,,,,
2020/2021,eng.1,E0,13/12/2020,Arsenal,Burnley,0,1,A,G Scott,1.53,4.2,6.25,1.54,4.22,6.42,2026-07-20T17:14:54.282788,,,,,,,,,,,,
2020/2021,eng.1,E0,13/12/2020,Leicester,Brighton,3,0,H,M Atkinson,2.0,3.5,3.8,2.03,3.49,3.76,2026-07-20T17:14:54.282804,,,,,,,,,,,,
2020/2021,eng.1,E0,15/12/2020,Wolves,Chelsea,2,1,H,S Attwell,5.25,3.8,1.66,5.44,3.79,1.68,2026-07-20T17:14:54.282821,,,,,,,,,,,,
2020/2021,eng.1,E0,15/12/2020,Man City,West Brom,1,1,D,P Bankes,1.09,11.0,21.0,1.12,9.96,22.77,2026-07-20T17:14:54.282837,,,,,,,,,,,,
2020/2021,eng.1,E0,16/12/2020,Arsenal,Southampton,1,1,D,P Tierney,2.25,3.5,3.1,2.25,3.47,3.19,2026-07-20T17:14:54.282854,,,,,,,,,,,,
2020/2021,eng.1,E0,16/12/2020,Leeds,Newcastle,5,2,H,S Hooper,1.75,4.0,4.33,1.76,3.89,4.49,2026-07-20T17:14:54.282871,,,,,,,,,,,,
2020/2021,eng.1,E0,16/12/2020,Leicester,Everton,0,2,A,L Mason,2.15,3.6,3.25,2.2,3.55,3.22,2026-07-20T17:14:54.282887,,,,,,,,,,,,
2020/2021,eng.1,E0,16/12/2020,Fulham,Brighton,0,0,D,R Jones,2.87,3.3,2.5,2.9,3.28,2.51,2026-07-20T17:14:54.282903,,,,,,,,,,,,
2020/2021,eng.1,E0,16/12/2020,Liverpool,Tottenham,2,1,H,A Taylor,1.75,3.8,4.5,1.79,3.84,4.44,2026-07-20T17:14:54.282920,,,,,,,,,,,,
2020/2021,eng.1,E0,16/12/2020,West Ham,Crystal Palace,1,1,D,D Coote,2.05,3.4,3.6,2.1,3.4,3.64,2026-07-20T17:14:54.282936,,,,,,,,,,,,
2020/2021,eng.1,E0,17/12/2020,Aston Villa,Burnley,0,0,D,C Pawson,1.75,3.8,4.5,1.74,3.84,4.73,2026-07-20T17:14:54.282952,,,,,,,,,,,,
2020/2021,eng.1,E0,17/12/2020,Sheffield United,Man United,2,3,A,M Oliver,7.0,4.6,1.44,7.14,4.54,1.46,2026-07-20T17:14:54.282968,,,,,,,,,,,,
2020/2021,eng.1,E0,19/12/2020,Crystal Palace,Liverpool,0,7,A,J Moss,6.5,4.33,1.5,6.2,4.45,1.52,2026-07-20T17:14:54.282985,,,,,,,,,,,,
2020/2021,eng.1,E0,19/12/2020,Southampton,Man City,0,1,A,M Dean,7.0,4.5,1.44,6.48,4.63,1.48,2026-07-20T17:14:54.283001,,,,,,,,,,,,
2020/2021,eng.1,E0,19/12/2020,Everton,Arsenal,2,1,H,A Marriner,2.45,3.5,2.8,2.42,3.44,2.93,2026-07-20T17:14:54.283018,,,,,,,,,,,,
2020/2021,eng.1,E0,19/12/2020,Newcastle,Fulham,1,1,D,G Scott,2.5,3.25,2.9,2.58,3.25,2.87,2026-07-20T17:14:54.283034,,,,,,,,,,,,
2020/2021,eng.1,E0,20/12/2020,Brighton,Sheffield United,1,1,D,P Bankes,1.65,3.75,5.5,1.69,3.72,5.43,2026-07-20T17:14:54.283051,,,,,,,,,,,,
2020/2021,eng.1,E0,20/12/2020,Tottenham,Leicester,0,2,A,C Pawson,2.05,3.5,3.6,2.08,3.48,3.62,2026-07-20T17:14:54.283067,,,,,,,,,,,,
2020/2021,eng.1,E0,20/12/2020,Man United,Leeds,6,2,H,A Taylor,1.66,4.33,4.5,1.71,4.23,4.49,2026-07-20T17:14:54.283083,,,,,,,,,,,,
2020/2021,eng.1,E0,20/12/2020,West Brom,Aston Villa,0,3,A,M Atkinson,3.6,3.8,1.95,3.69,3.7,1.99,2026-07-20T17:14:54.283100,,,,,,,,,,,,
2020/2021,eng.1,E0,21/12/2020,Burnley,Wolves,2,1,H,L Mason,3.5,3.25,2.2,3.61,3.13,2.23,2026-07-20T17:14:54.283116,,,,,,,,,,,,
2020/2021,eng.1,E0,21/12/2020,Chelsea,West Ham,3,0,H,C Kavanagh,1.44,5.0,6.25,1.49,4.63,6.29,2026-07-20T17:14:54.283133,,,,,,,,,,,,
2020/2021,eng.1,E0,26/12/2020,Leicester,Man United,2,2,D,M Dean,2.9,3.6,2.3,3.01,3.55,2.32,2026-07-20T17:14:54.283150,,,,,,,,,,,,
2020/2021,eng.1,E0,26/12/2020,Aston Villa,Crystal Palace,3,0,H,A Taylor,1.9,3.75,3.8,1.94,3.75,3.8,2026-07-20T17:14:54.283167,,,,,,,,,,,,
2020/2021,eng.1,E0,26/12/2020,Fulham,Southampton,0,0,D,D England,3.2,3.3,2.3,3.19,3.32,2.32,2026-07-20T17:14:54.283183,,,,,,,,,,,,
2020/2021,eng.1,E0,26/12/2020,Arsenal,Chelsea,3,1,H,M Oliver,4.0,3.6,1.9,4.06,3.59,1.93,2026-07-20T17:14:54.283199,,,,,,,,,,,,
2020/2021,eng.1,E0,26/12/2020,Man City,Newcastle,2,0,H,A Marriner,1.11,10.0,19.0,1.12,9.31,23.28,2026-07-20T17:14:54.283216,,,,,,,,,,,,
2020/2021,eng.1,E0,26/12/2020,Sheffield United,Everton,0,1,A,D Coote,4.2,3.6,1.85,4.2,3.59,1.9,2026-07-20T17:14:54.283232,,,,,,,,,,,,
