referee_name,games_total,leagues_covered,avg_yellows_per_game,avg_reds_per_game,avg_total_yellows,avg_total_goals,avg_fouls_per_game,avg_home_corners,latest_game_date,fetched_at,referee_q_id,referee_birth_year,referee_country,referee_career_years
Gianluca Manganiello,8,ita.1,3.62,0.125,3.62,2.0,25.75,7.88,2026-05-17T18:45Z,2026-07-20T00:57:59.591191+00:00,Q24239733,198.0,Q38,1803.0
Alberto Arena,9,ita.1,3.0,0.111,3.0,1.78,22.33,9.33,2026-05-17T18:45Z,2026-07-20T00:57:59.591191+00:00,Q5662763,196.0,Q298,1805.0
Matteo Marcenaro,12,ita.1,4.33,0.167,4.33,2.33,25.08,9.92,2026-04-18T18:45Z,2026-07-20T00:57:59.591191+00:00,Q110205882,199.0,Q38,1802.0
Paride Tremolada,2,ita.1,7.0,0.0,7.0,1.5,25.0,8.5,2025-09-14T16:00Z,2026-07-20T00:57:59.591191+00:00,Q123191891,198.0,Q38,1803.0
Federico La Penna,12,ita.1,3.58,0.417,3.58,3.33,26.33,8.92,2026-05-17T18:45Z,2026-07-20T00:57:59.591191+00:00,Q23925113,198.0,Q38,1803.0
Marco Guida,22,"ita.1,uefa.champions,uefa.europa",3.59,0.182,3.59,2.55,23.59,9.14,2026-05-24T18:45Z,2026-07-20T00:57:59.591191+00:00,Q3846190,198.0,Q38,1803.0
Livio Marinelli,6,ita.1,3.5,0.5,3.5,2.5,26.5,8.83,2026-02-20T19:45Z,2026-07-20T00:57:59.591191+00:00,Q52419244,198.0,Q38,1803.0
Daniele Doveri,16,ita.1,3.88,0.125,3.88,2.0,24.25,8.88,2026-05-24T18:45Z,2026-07-20T00:57:59.591191+00:00,Q3701954,197.0,Q38,1804.0
Maurizio Mariani,21,"ita.1,uefa.champions,uefa.europa.conf",4.1,0.19,4.1,2.71,23.33,8.86,2026-05-27T19:00Z,2026-07-20T00:57:59.591191+00:00,Q16577239,198.0,Q38,1803.0
Kevin Bonacina,11,ita.1,3.64,0.091,3.64,3.55,26.64,8.64,2026-05-23T16:00Z,2026-07-20T00:57:59.591191+00:00,Q131442039,199.0,Q38,1802.0
Daniele Chiffi,15,"ita.1,uefa.europa.conf",2.53,0.133,2.53,2.47,23.07,6.4,2026-05-04T16:30Z,2026-07-20T00:57:59.591191+00:00,Q18644884,198.0,Q38,1803.0
Rosario Abisso,8,ita.1,3.38,0.625,3.38,2.0,25.5,9.88,2026-04-05T13:00Z,2026-07-20T00:57:59.591191+00:00,Q24239762,198.0,Q38,1803.0
Matteo Marchetti,12,ita.1,3.42,0.417,3.42,2.5,24.58,9.42,2026-04-17T18:45Z,2026-07-20T00:57:59.591191+00:00,Q57197845,198.0,Q38,1803.0
Valerio Crezzini,9,ita.1,3.44,0.0,3.44,2.78,26.33,8.78,2026-05-03T10:30Z,2026-07-20T00:57:59.591191+00:00,Q134469291,199.0,Q38,1802.0
Francesco Fourneau,12,ita.1,4.25,0.0,4.25,3.08,25.92,8.58,2026-05-17T10:00Z,2026-07-20T00:57:59.591191+00:00,Q52419194,198.0,Q38,1803.0
Andrea Colombo,15,"ita.1,uefa.europa.conf",4.87,0.133,4.87,2.93,27.53,8.33,2026-04-12T16:00Z,2026-07-20T00:57:59.591191+00:00,Q3615616,195.0,Q38,1806.0
Marco Piccinini,6,ita.1,3.67,0.5,3.67,2.67,27.0,10.17,2026-02-22T17:00Z,2026-07-20T00:57:59.591191+00:00,Q55281077,198.0,Q38,1803.0
Antonio Rapuano,5,ita.1,4.4,0.4,4.4,2.4,27.2,8.4,2026-04-12T10:30Z,2026-07-20T00:57:59.591191+00:00,Q52418988,198.0,Q38,1803.0
Marco Di Bello,10,ita.1,2.6,0.2,2.6,3.1,26.3,9.4,2026-04-12T13:00Z,2026-07-20T00:57:59.591191+00:00,Q16575809,198.0,Q38,1803.0
Daniele Perenzoni,2,ita.1,2.5,0.0,2.5,2.5,25.0,6.5,2026-05-17T16:00Z,2026-07-20T00:57:59.591191+00:00,Q114422628,198.0,Q38,1803.0
Ermanno Feliciani,12,ita.1,2.83,0.0,2.83,3.0,24.17,9.83,2026-04-10T18:45Z,2026-07-20T00:57:59.591191+00:00,Q57236663,199.0,Q38,1802.0
Michael Fabbri,14,ita.1,4.36,0.143,4.36,1.64,25.21,8.0,2026-05-02T16:00Z,2026-07-20T00:57:59.591191+00:00,Q21185145,198.0,Q38,1803.0
Federico Dionisi,1,ita.1,7.0,0.0,7.0,4.0,28.0,5.0,2025-10-26T14:00Z,2026-07-20T00:57:59.591191+00:00,Q62078931,198.0,Q38,1803.0
Luca Pairetto,11,"ita.1,uefa.europa.conf",5.18,0.364,5.18,2.45,25.82,8.18,2026-03-22T11:30Z,2026-07-20T00:57:59.591191+00:00,Q16917534,198.0,Q38,1803.0
Juan Luca Sacchi,10,ita.1,3.4,0.0,3.4,2.3,28.4,10.1,2026-04-27T16:30Z,2026-07-20T00:57:59.591191+00:00,Q24066878,198.0,Q38,1803.0
Davide Di Marco,3,ita.1,3.0,0.0,3.0,2.67,22.33,10.33,2026-04-18T13:00Z,2026-07-20T00:57:59.591191+00:00,Q125498981,199.0,Q38,1802.0
Giuseppe Mucera,2,ita.1,2.5,0.0,2.5,2.0,28.0,8.5,2026-05-02T13:00Z,2026-07-20T00:57:59.591191+00:00,Q137384899,199.0,Q38,1802.0
Fabio Maresca,11,ita.1,4.27,0.636,4.27,2.64,26.36,9.36,2026-05-24T18:45Z,2026-07-20T00:57:59.591191+00:00,Q16977566,198.0,Q38,1803.0
Andrea Calzavara,2,ita.1,3.0,0.0,3.0,1.5,26.5,9.0,2026-05-17T13:00Z,2026-07-20T00:57:59.591191+00:00,Q136149061,200.0,Q38,1801.0
Maria Ferrieri Caputi,2,ita.1,4.5,0.0,4.5,3.0,22.5,9.5,2026-05-23T18:45Z,2026-07-20T00:57:59.591191+00:00,,,,
Luca Massimi,1,ita.1,6.0,0.0,6.0,2.0,22.0,9.0,2026-02-27T19:45Z,2026-07-20T00:57:59.591191+00:00,Q61873413,198.0,Q38,1803.0
Ivano Pezzuto,1,ita.1,3.0,0.0,3.0,0.0,24.0,8.0,2026-05-02T18:45Z,2026-07-20T00:57:59.591191+00:00,Q23829611,198.0,Q38,1803.0
Mario Perri,1,ita.1,2.0,0.0,2.0,2.0,25.0,6.0,2026-05-22T18:45Z,2026-07-20T00:57:59.591191+00:00,Q139891657,199.0,Q38,1802.0
Niccolò Turrini,1,ita.1,4.0,0.0,4.0,1.0,24.0,2.0,2026-05-24T13:00Z,2026-07-20T00:57:59.591191+00:00,,,,
Andrea Zanotti,1,ita.1,3.0,1.0,3.0,1.0,16.0,6.0,2026-05-24T16:00Z,2026-07-20T00:57:59.591191+00:00,Q139891632,199.0,Q38,1802.0
Kristoffer Hagenes,11,nor.1,5.18,0.091,5.18,2.91,27.55,10.73,2026-07-17T17:15Z,2026-07-20T00:57:59.591191+00:00,Q30325674,199.0,Q20,1802.0
Ola Hobber Nilsen,14,nor.1,3.29,0.0,3.29,3.14,22.0,10.86,2026-07-18T16:00Z,2026-07-20T00:57:59.591191+00:00,Q17105968,198.0,Q20,1803.0
Svein Tore Sinnes,15,nor.1,3.0,0.2,3.0,3.2,23.2,9.87,2026-07-18T14:00Z,2026-07-20T00:57:59.591191+00:00,Q115011215,199.0,Q20,1802.0
Daniel Higraff,12,nor.1,3.25,0.083,3.25,3.92,21.42,11.0,2026-07-16T17:00Z,2026-07-20T00:57:59.591191+00:00,Q55606123,199.0,Q20,1802.0
Mathias Støfringshaug,7,nor.1,2.86,0.143,2.86,2.43,22.14,10.14,2026-07-12T15:00Z,2026-07-20T00:57:59.591191+00:00,,,,
Christian Moen,10,nor.1,2.8,0.0,2.8,2.7,19.7,8.9,2026-05-24T14:00Z,2026-07-20T00:57:59.591191+00:00,Q102416722,,,
Rohit Saggi,18,"nor.1,uefa.europa,uefa.europa.conf",2.89,0.056,2.89,2.78,23.56,11.28,2026-07-12T12:30Z,2026-07-20T00:57:59.591191+00:00,Q17107047,199.0,Q20,1802.0
Eivind Bodding,6,nor.1,3.0,0.0,3.0,3.0,24.5,10.83,2025-11-30T16:00Z,2026-07-20T00:57:59.591191+00:00,Q138292604,199.0,,1802.0
Marius Lien,16,nor.1,2.62,0.25,2.62,3.12,22.62,10.88,2026-07-18T16:00Z,2026-07-20T00:57:59.591191+00:00,Q114627557,199.0,Q20,1802.0
Sigurd Smehus Kringstad,16,"nor.1,uefa.europa.conf",4.44,0.062,4.44,2.62,23.75,11.56,2026-07-11T12:00Z,2026-07-20T00:57:59.591191+00:00,Q98549576,198.0,Q20,1803.0
Usman Aslam,15,"nor.1,uefa.europa.conf",3.47,0.133,3.47,3.93,25.13,8.53,2026-07-18T14:00Z,2026-07-20T00:57:59.591191+00:00,Q98549572,,Q20,
Espen Eskas,14,"nor.1,uefa.champions,uefa.europa,uefa.europa.conf",3.14,0.143,3.14,4.07,21.64,10.5,2026-05-25T15:00Z,2026-07-20T00:57:59.591191+00:00,Q10822753,198.0,Q20,1803.0
Tore Hansen,15,nor.1,3.73,0.133,3.73,2.87,21.87,10.73,2026-07-11T14:00Z,2026-07-20T00:57:59.591191+00:00,Q12006976,194.0,Q20,1807.0
Marius Hansen Grotta,16,nor.1,3.12,0.062,3.12,3.06,24.75,12.0,2026-07-12T17:15Z,2026-07-20T00:57:59.591191+00:00,Q98549553,,Q20,
Dejan Trifkovic,1,nor.1,3.0,0.0,3.0,4.0,18.0,3.0,2025-08-22T17:00Z,2026-07-20T00:57:59.591191+00:00,,,,
