id,team_name,player_name,position,fc26_ovr,fc26_pac,fc26_sho,fc26_pas,fc26_dri,fc26_def,fc26_phy,is_gk,gk_div,gk_han,gk_kic,gk_pos,gk_ref,gk_spd,category,position_impact,role_factor,fc26_player_impact,league_slug,source,fetched_at
114,FC Utrecht,Jaygo van Ommeren,midfielders,62,68,44,58,59,59,54,0,,,,,,,MID_both,58.7,0.3,17.6,ned.1,fc26_eafchub,2026-08-13T00:56:02.827886
115,FC Utrecht,Miliano Jonathans,attackers,66,75,63,62,66,23,55,0,,,,,,,ATT_attack,68.0,0.3,20.4,ned.1,fc26_eafchub,2026-08-13T00:56:02.827886
116,FC Utrecht,Noah Ohio,attackers,67,88,65,51,67,25,67,0,,,,,,,ATT_attack,73.3,0.3,22.0,ned.1,fc26_eafchub,2026-08-13T00:56:02.827886
117,St. Gallen,Cyrill May,defenders,59,64,24,40,40,60,63,0,,,,,,,DEF_defense,61.5,0.3,18.45,sui.1,fc26_eafchub,2026-08-13T00:56:02.827886
118,St. Gallen,Colin Kleine-Bekel,defenders,67,54,28,42,41,69,71,0,,,,,,,DEF_defense,70.0,0.3,21.0,sui.1,fc26_eafchub,2026-08-13T00:56:02.827886
119,St. Gallen,Stephan Ambrosius,defenders,68,64,31,44,52,67,77,0,,,,,,,DEF_defense,72.0,0.3,21.6,sui.1,fc26_eafchub,2026-08-13T00:56:02.827886
120,St. Gallen,Tom Gaal,defenders,67,54,36,50,58,67,72,0,,,,,,,DEF_defense,69.5,0.3,20.85,sui.1,fc26_eafchub,2026-08-13T00:56:02.827886
121,St. Gallen,Behar Neziri,midfielders,58,68,49,54,52,54,56,0,,,,,,,MID_both,53.3,0.3,16.0,sui.1,fc26_eafchub,2026-08-13T00:56:02.827886
122,St. Gallen,Malamine Efekele,attackers,63,85,62,54,67,19,52,0,,,,,,,ATT_attack,71.3,0.3,21.4,sui.1,fc26_eafchub,2026-08-13T00:56:02.827886
123,Tottenham Hotspur,Cristian Romero,defenders,82,66,48,62,65,83,81,0,,,,,,,DEF_defense,82.0,1.2,98.4,eng.1,fc26_eafchub,2026-08-13T00:56:02.827886
124,Tottenham Hotspur,Xavi Simons,midfielders,84,77,77,80,87,61,70,0,,,,,,,MID_both,76.0,1.2,91.2,eng.1,fc26_eafchub,2026-08-13T00:56:02.827886
125,Tottenham Hotspur,James Maddison,midfielders,84,67,81,86,85,58,64,0,,,,,,,MID_both,76.3,1.2,91.6,eng.1,fc26_eafchub,2026-08-13T00:56:02.827886
126,Tottenham Hotspur,Dejan Kulusevski,midfielders,83,74,79,84,85,62,81,0,,,,,,,MID_both,77.0,1.2,92.4,eng.1,fc26_eafchub,2026-08-13T00:56:02.827886
127,Tottenham Hotspur,Dominic Solanke,attackers,80,71,80,66,77,42,83,0,,,,,,,ATT_attack,76.0,1.0,76.0,eng.1,fc26_eafchub,2026-08-13T00:56:02.827886
128,Tottenham Hotspur,Mohammed Kudus,attackers,80,89,76,72,86,60,74,0,,,,,,,ATT_attack,83.7,1.0,83.67,eng.1,fc26_eafchub,2026-08-13T00:56:02.827886
129,Tottenham Hotspur,Wilson Odobert,attackers,75,86,70,68,78,30,49,0,,,,,,,ATT_attack,78.0,0.6,46.8,eng.1,fc26_eafchub,2026-08-13T00:56:02.827886
130,AFC Bournemouth,Julián Araujo,defenders,74,83,35,64,70,71,73,0,,,,,,,DEF_defense,72.0,0.6,43.2,eng.1,fc26_eafchub,2026-08-13T00:56:02.827886
131,AFC Bournemouth,Veljko Milosavljevic,defenders,70,53,39,54,55,69,75,0,,,,,,,DEF_defense,72.0,0.3,21.6,eng.1,fc26_eafchub,2026-08-13T00:56:02.827886
132,AFC Bournemouth,Tyler Adams,midfielders,79,79,56,71,75,79,75,0,,,,,,,MID_both,75.0,1.0,75.0,eng.1,fc26_eafchub,2026-08-13T00:56:02.827886
133,AFC Bournemouth,David Brooks,attackers,75,70,69,74,77,48,58,0,,,,,,,ATT_attack,72.0,0.6,43.2,eng.1,fc26_eafchub,2026-08-13T00:56:02.827886
134,AFC Bournemouth,Amine Adli,attackers,78,84,76,70,82,42,69,0,,,,,,,ATT_attack,80.7,1.0,80.67,eng.1,fc26_eafchub,2026-08-13T00:56:02.827886
135,Brighton & Hove Albion,Carlos Baleba,midfielders,81,74,70,75,80,79,79,0,,,,,,,MID_both,78.0,1.0,78.0,eng.1,fc26_eafchub,2026-08-13T00:56:02.827886
136,Brighton & Hove Albion,Matthew O'Riley,midfielders,78,68,78,79,76,67,73,0,,,,,,,MID_both,74.0,1.0,74.0,eng.1,fc26_eafchub,2026-08-13T00:56:02.827886
137,Brighton & Hove Albion,Evan Ferguson,attackers,73,66,75,60,71,20,71,0,,,,,,,ATT_attack,70.7,0.6,42.4,eng.1,fc26_eafchub,2026-08-13T00:56:02.827886
138,Brighton & Hove Albion,Stefanos Tzimas,attackers,72,76,70,52,69,31,72,0,,,,,,,ATT_attack,71.7,0.6,43.0,eng.1,fc26_eafchub,2026-08-13T00:56:02.827886
139,Brighton & Hove Albion,Yankuba Minteh,attackers,77,94,67,66,81,55,57,0,,,,,,,ATT_attack,80.7,0.6,48.4,eng.1,fc26_eafchub,2026-08-13T00:56:02.827886
140,Brighton & Hove Albion,Kaoru Mitoma,attackers,82,87,73,76,86,57,64,0,,,,,,,ATT_attack,82.0,1.2,98.4,eng.1,fc26_eafchub,2026-08-13T00:56:02.827886
141,Chelsea,Levi Colwill,defenders,80,70,43,71,72,81,80,0,,,,,,,DEF_defense,80.5,1.0,80.5,eng.1,fc26_eafchub,2026-08-13T00:56:02.827886
142,Chelsea,Mamadou Sarr,defenders,76,66,30,56,57,77,73,0,,,,,,,DEF_defense,75.0,0.6,45.0,eng.1,fc26_eafchub,2026-08-13T00:56:02.827886
143,Chelsea,Aaron Anselmino,defenders,70,67,45,62,63,70,72,0,,,,,,,DEF_defense,71.0,0.3,21.3,eng.1,fc26_eafchub,2026-08-13T00:56:02.827886
144,Chelsea,Caleb Wiley,midfielders,68,76,52,63,72,62,63,0,,,,,,,MID_both,65.7,0.3,19.7,eng.1,fc26_eafchub,2026-08-13T00:56:02.827886
145,Chelsea,Jordan Henderson,midfielders,79,65,71,80,74,75,77,0,,,,,,,MID_both,76.3,1.0,76.33,eng.1,fc26_eafchub,2026-08-13T00:56:02.827886
146,Chelsea,Emanuel Emegha,attackers,78,89,76,58,70,31,79,0,,,,,,,ATT_attack,78.3,1.0,78.33,eng.1,fc26_eafchub,2026-08-13T00:56:02.827886
147,Sparta Prague,Emmanuel Uchenna,defenders,70,68,44,56,55,69,75,0,,,,,,,DEF_defense,72.0,0.3,21.6,uefa.champions_qual,fc26_eafchub,2026-08-13T00:56:02.827886
148,Sparta Prague,Magnus Kofod Andersen,midfielders,70,72,59,68,72,61,76,0,,,,,,,MID_both,67.0,0.3,20.1,uefa.champions_qual,fc26_eafchub,2026-08-13T00:56:02.827886
149,Sparta Prague,Sivert Heggheim Mannsverk,midfielders,68,60,58,65,68,63,74,0,,,,,,,MID_both,65.3,0.3,19.6,uefa.champions_qual,fc26_eafchub,2026-08-13T00:56:02.827886
150,Sparta Prague,Patrik Vydra,midfielders,70,68,64,70,67,66,78,0,,,,,,,MID_both,67.7,0.3,20.3,uefa.champions_qual,fc26_eafchub,2026-08-13T00:56:02.827886
151,Rapid Wien,Jean Marcelin,defenders,69,64,39,52,53,69,75,0,,,,,,,DEF_defense,72.0,0.3,21.6,aut.1,fc26_eafchub,2026-08-13T00:56:02.827886
152,Rapid Wien,Martin Ndzie,midfielders,68,74,52,60,65,69,71,0,,,,,,,MID_both,64.7,0.3,19.4,aut.1,fc26_eafchub,2026-08-13T00:56:02.827886
153,Rapid Wien,Andrija Radulovic,attackers,67,80,64,63,69,29,64,0,,,,,,,ATT_attack,71.0,0.3,21.3,aut.1,fc26_eafchub,2026-08-13T00:56:02.827886
154,Rapid Wien,Claudy M'Buyi,attackers,67,83,66,53,64,30,69,0,,,,,,,ATT_attack,71.0,0.3,21.3,aut.1,fc26_eafchub,2026-08-13T00:56:02.827886
155,Newcastle United,Lewis Hall,defenders,80,77,62,78,79,77,64,0,,,,,,,DEF_defense,70.5,1.0,70.5,eng.1,fc26_eafchub,2026-08-13T00:56:02.827886
156,Newcastle United,Fabian Schär,defenders,82,51,68,76,73,84,80,0,,,,,,,DEF_defense,82.0,1.2,98.4,eng.1,fc26_eafchub,2026-08-13T00:56:02.827886
157,Newcastle United,Valentino Livramento,defenders,80,82,51,72,78,76,74,0,,,,,,,DEF_defense,75.0,1.0,75.0,eng.1,fc26_eafchub,2026-08-13T00:56:02.827886
158,Newcastle United,Lewis Miley,midfielders,72,65,61,72,73,64,66,0,,,,,,,MID_both,69.7,0.6,41.8,eng.1,fc26_eafchub,2026-08-13T00:56:02.827886
159,Newcastle United,Anthony Elanga,attackers,81,92,72,76,82,39,70,0,,,,,,,ATT_attack,82.0,1.0,82.0,eng.1,fc26_eafchub,2026-08-13T00:56:02.827886
160,KFUM,Emil Ødegaard,keepers,65,,,,,,,1,64,63,65,63,65,45,GK_defense,64.0,0.3,19.2,nor.1,fc26_eafchub,2026-08-13T00:56:02.827886
161,KFUM,Ayoub Aleesami,defenders,63,65,36,47,49,60,73,0,,,,,,,DEF_defense,66.5,0.3,19.95,nor.1,fc26_eafchub,2026-08-13T00:56:02.827886
162,KFUM,Fredrik Tobias Berglie,defenders,65,58,27,49,56,64,69,0,,,,,,,DEF_defense,66.5,0.3,19.95,nor.1,fc26_eafchub,2026-08-13T00:56:02.827886
163,KFUM,Robin Rasch,midfielders,68,37,60,66,60,64,70,0,,,,,,,MID_both,63.3,0.3,19.0,nor.1,fc26_eafchub,2026-08-13T00:56:02.827886
164,KFUM,Magnus Retsius Grødem,attackers,62,66,62,62,66,45,70,0,,,,,,,ATT_attack,64.7,0.3,19.4,nor.1,fc26_eafchub,2026-08-13T00:56:02.827886
165,Viking,Martin Roseth,defenders,66,67,32,51,58,65,72,0,,,,,,,DEF_defense,68.5,0.3,20.55,nor.1,fc26_eafchub,2026-08-13T00:56:02.827886
166,Viking,Anders Bærtelsen,defenders,67,68,47,47,59,65,75,0,,,,,,,DEF_defense,70.0,0.3,21.0,nor.1,fc26_eafchub,2026-08-13T00:56:02.827886
167,Viking,Henrik Falchener,defenders,65,64,46,54,57,62,73,0,,,,,,,DEF_defense,67.5,0.3,20.25,nor.1,fc26_eafchub,2026-08-13T00:56:02.827886
168,Viking,Joe Bell,midfielders,74,70,64,72,71,69,81,0,,,,,,,MID_both,70.7,0.6,42.4,nor.1,fc26_eafchub,2026-08-13T00:56:02.827886
169,Viking,Veton Berisha,attackers,68,81,67,61,66,37,81,0,,,,,,,ATT_attack,71.3,0.3,21.4,nor.1,fc26_eafchub,2026-08-13T00:56:02.827886
170,FC Porto,Cláudio Ramos,keepers,73,,,,,,,1,78,72,64,72,72,55,GK_defense,74.0,0.6,44.4,por.1,fc26_eafchub,2026-08-13T00:56:02.827886
171,FC Porto,Vasco Sousa,midfielders,69,70,58,68,73,49,45,0,,,,,,,MID_both,63.3,0.3,19.0,por.1,fc26_eafchub,2026-08-13T00:56:02.827886
172,FC Porto,Alan Varela,midfielders,79,70,65,74,73,75,78,0,,,,,,,MID_both,74.0,1.0,74.0,por.1,fc26_eafchub,2026-08-13T00:56:02.827886
173,FC Porto,Samuel Aghehowa,attackers,79,79,79,58,68,36,83,0,,,,,,,ATT_attack,75.3,1.0,75.33,por.1,fc26_eafchub,2026-08-13T00:56:02.827886
174,FC Porto,André Silva,attackers,76,72,76,70,75,46,74,0,,,,,,,ATT_attack,74.3,0.6,44.6,por.1,fc26_eafchub,2026-08-13T00:56:02.827886
175,Young Boys,Ryan Andrews,defenders,68,85,56,58,69,62,62,0,,,,,,,DEF_defense,62.0,0.3,18.6,sui.1,fc26_eafchub,2026-08-13T00:56:02.827886
176,Young Boys,Alan Virginius,attackers,68,90,59,59,70,27,42,0,,,,,,,ATT_attack,73.0,0.3,21.9,sui.1,fc26_eafchub,2026-08-13T00:56:02.827886
177,Young Boys,Facinet Conte,attackers,63,81,63,44,65,19,46,0,,,,,,,ATT_attack,69.7,0.3,20.9,sui.1,fc26_eafchub,2026-08-13T00:56:02.827886
178,Falkirk,Thomas Lang,defenders,56,58,25,33,41,59,59,0,,,,,,,DEF_defense,59.0,0.3,17.7,tur.1,fc26_eafchub,2026-08-13T00:56:02.827886
179,Falkirk,Keelan Adams,defenders,58,63,29,42,57,56,53,0,,,,,,,DEF_defense,54.5,0.3,16.35,tur.1,fc26_eafchub,2026-08-13T00:56:02.827886
180,Falkirk,Scott Tanser,midfielders,65,72,56,62,64,60,59,0,,,,,,,MID_both,62.0,0.3,18.6,tur.1,fc26_eafchub,2026-08-13T00:56:02.827886
181,Falkirk,Aidan Nesbitt,midfielders,60,70,49,54,65,33,45,0,,,,,,,MID_both,50.7,0.3,15.2,tur.1,fc26_eafchub,2026-08-13T00:56:02.827886
182,FC Midtjylland,Ousmane Diao,defenders,72,77,59,57,64,69,81,0,,,,,,,DEF_defense,75.0,0.6,45.0,uefa.champions_qual,fc26_eafchub,2026-08-13T00:56:02.827886
183,FC Midtjylland,Edward Chilufya,midfielders,69,88,65,63,70,34,61,0,,,,,,,MID_both,55.7,0.3,16.7,uefa.champions_qual,fc26_eafchub,2026-08-13T00:56:02.827886
184,FC Midtjylland,Victor Bak,midfielders,68,81,54,63,65,61,70,0,,,,,,,MID_both,63.0,0.3,18.9,uefa.champions_qual,fc26_eafchub,2026-08-13T00:56:02.827886
185,FC Midtjylland,Mikel Gogorza,attackers,67,76,63,63,67,32,55,0,,,,,,,ATT_attack,68.7,0.3,20.6,uefa.champions_qual,fc26_eafchub,2026-08-13T00:56:02.827886
186,Aston Villa,Johan Manzambi,midfielders,67,75,61,59,72,56,62,0,,,,,,,MID_both,62.3,0.3,18.7,eng.1,fc26_eafchub,2026-08-13T00:56:02.827886
187,Aston Villa,Amadou Onana,midfielders,79,74,62,72,73,78,81,0,,,,,,,MID_both,74.3,1.0,74.33,eng.1,fc26_eafchub,2026-08-13T00:56:02.827886
188,Aston Villa,John McGinn,attackers,81,69,77,78,80,77,83,0,,,,,,,ATT_attack,75.3,1.0,75.33,eng.1,fc26_eafchub,2026-08-13T00:56:02.827886
189,Aston Villa,Leon Bailey,attackers,79,87,74,73,84,38,61,0,,,,,,,ATT_attack,81.7,1.0,81.67,eng.1,fc26_eafchub,2026-08-13T00:56:02.827886
190,Nottingham Forest,Ola Aina,defenders,80,88,63,71,75,78,75,0,,,,,,,DEF_defense,76.5,1.0,76.5,eng.1,fc26_eafchub,2026-08-13T00:56:02.827886
191,Nottingham Forest,Nicolò Savona,defenders,71,68,44,58,63,70,69,0,,,,,,,DEF_defense,69.5,0.3,20.85,eng.1,fc26_eafchub,2026-08-13T00:56:02.827886
192,Nottingham Forest,Callum Hudson-Odoi,attackers,78,82,75,75,81,50,63,0,,,,,,,ATT_attack,79.3,1.0,79.33,eng.1,fc26_eafchub,2026-08-13T00:56:02.827886
193,Nottingham Forest,Chris Wood,attackers,82,53,83,68,72,40,81,0,,,,,,,ATT_attack,69.3,1.2,83.2,eng.1,fc26_eafchub,2026-08-13T00:56:02.827886
194,Real Betis,Diego Conde,keepers,77,,,,,,,1,75,75,68,76,79,43,GK_defense,76.7,0.6,46.0,esp.1,fc26_eafchub,2026-08-13T00:56:02.827886
195,Real Betis,Aitor Ruibal,defenders,77,82,74,73,76,72,69,0,,,,,,,DEF_defense,70.5,0.6,42.3,esp.1,fc26_eafchub,2026-08-13T00:56:02.827886
196,Real Betis,Ismael Barea,midfielders,65,64,52,64,65,62,68,0,,,,,,,MID_both,63.7,0.3,19.1,esp.1,fc26_eafchub,2026-08-13T00:56:02.827886
197,Real Madrid,Thibaut Courtois,keepers,89,,,,,,,1,85,89,76,88,90,46,GK_defense,87.7,1.5,131.5,esp.1,fc26_eafchub,2026-08-13T00:56:02.827886
198,Real Madrid,Raúl Asencio,defenders,77,74,37,55,71,78,76,0,,,,,,,DEF_defense,77.0,0.6,46.2,esp.1,fc26_eafchub,2026-08-13T00:56:02.827886
199,Real Madrid,Éder Militao,defenders,84,82,50,69,71,85,82,0,,,,,,,DEF_defense,83.5,1.2,100.2,esp.1,fc26_eafchub,2026-08-13T00:56:02.827886
200,Real Madrid,Rodrygo,attackers,85,88,80,79,87,31,64,0,,,,,,,ATT_attack,85.0,1.2,102.0,esp.1,fc26_eafchub,2026-08-13T00:56:02.827886
201,Borussia Dortmund,Nico Schlotterbeck,defenders,85,74,60,75,73,85,82,0,,,,,,,DEF_defense,83.5,1.2,100.2,ger.1,fc26_eafchub,2026-08-13T00:56:02.827886
202,Borussia Dortmund,Emre Can,defenders,82,77,76,72,74,82,84,0,,,,,,,DEF_defense,83.0,1.2,99.6,ger.1,fc26_eafchub,2026-08-13T00:56:02.827886
203,Borussia Dortmund,Konstantinos Karetsas,attackers,70,73,65,72,77,23,46,0,,,,,,,ATT_attack,71.7,0.3,21.5,ger.1,fc26_eafchub,2026-08-13T00:56:02.827886
204,VfB Stuttgart,Dennis Seimen,keepers,66,,,,,,,1,67,61,65,62,69,40,GK_defense,66.0,0.3,19.8,ger.1,fc26_eafchub,2026-08-13T00:56:02.827886
205,VfB Stuttgart,Lorenz Assignon,defenders,76,76,53,64,73,73,73,0,,,,,,,DEF_defense,73.0,0.6,43.8,ger.1,fc26_eafchub,2026-08-13T00:56:02.827886
206,VfB Stuttgart,Dan-Axel Zagadou,defenders,76,46,34,60,51,77,79,0,,,,,,,DEF_defense,78.0,0.6,46.8,ger.1,fc26_eafchub,2026-08-13T00:56:02.827886
207,VfB Stuttgart,Leo Sauer,attackers,72,88,63,64,76,39,60,0,,,,,,,ATT_attack,75.7,0.6,45.4,ger.1,fc26_eafchub,2026-08-13T00:56:02.827886
208,Sandefjord,Devon Koswal,defenders,63,69,33,42,41,63,69,0,,,,,,,DEF_defense,66.0,0.3,19.8,nor.1,fc26_eafchub,2026-08-13T00:56:02.827886
209,Sandefjord,Filip Loftesnes-Bjune,defenders,62,69,43,56,59,57,60,0,,,,,,,DEF_defense,58.5,0.3,17.55,nor.1,fc26_eafchub,2026-08-13T00:56:02.827886
210,Sandefjord,Marcus Melchior,midfielders,62,55,57,56,64,55,52,0,,,,,,,MID_both,58.3,0.3,17.5,nor.1,fc26_eafchub,2026-08-13T00:56:02.827886
211,Sandefjord,Nikolaj Möller,attackers,63,54,62,49,61,29,68,0,,,,,,,ATT_attack,59.0,0.3,17.7,nor.1,fc26_eafchub,2026-08-13T00:56:02.827886
212,Maccabi Haifa,Ali Muhammad,midfielders,66,75,51,58,62,60,67,0,,,,,,,MID_both,60.0,0.3,18.0,uefa.champions_qual,fc26_eafchub,2026-08-13T00:56:02.827886
213,Maccabi Haifa,Manuel Benson,attackers,73,82,70,69,78,35,44,0,,,,,,,ATT_attack,76.7,0.6,46.0,uefa.champions_qual,fc26_eafchub,2026-08-13T00:56:02.827886
214,Rangers,Ben Godfrey,defenders,73,79,43,60,60,72,75,0,,,,,,,DEF_defense,73.5,0.6,44.1,uefa.champions_qual,fc26_eafchub,2026-08-13T00:56:02.827886
215,Rangers,José Cifuentes,midfielders,72,71,61,68,73,71,78,0,,,,,,,MID_both,70.7,0.6,42.4,uefa.champions_qual,fc26_eafchub,2026-08-13T00:56:02.827886
216,Rangers,Connor Barron,midfielders,72,70,61,72,69,65,75,0,,,,,,,MID_both,68.7,0.6,41.2,uefa.champions_qual,fc26_eafchub,2026-08-13T00:56:02.827886
217,Rangers,Youssef Chermiti,attackers,71,65,68,55,69,33,70,0,,,,,,,ATT_attack,67.3,0.3,20.2,uefa.champions_qual,fc26_eafchub,2026-08-13T00:56:02.827886
218,Arsenal,William Saliba,defenders,87,77,39,68,72,87,83,0,,,,,,,DEF_defense,85.0,1.5,127.5,eng.1,fc26_eafchub,2026-08-13T00:56:02.827886
219,Arsenal,Jurriën Timber,defenders,82,76,48,72,77,82,80,0,,,,,,,DEF_defense,81.0,1.2,97.2,eng.1,fc26_eafchub,2026-08-13T00:56:02.827886
220,Lyon,Mads Bidstrup,midfielders,73,70,58,70,72,72,76,0,,,,,,,MID_both,71.3,0.6,42.8,fra.1,fc26_eafchub,2026-08-13T00:56:02.827886
221,Lyon,Khalis Merah,midfielders,66,64,51,66,72,56,42,0,,,,,,,MID_both,64.7,0.3,19.4,fra.1,fc26_eafchub,2026-08-13T00:56:02.827886
222,Lyon,Pavel Sulc,attackers,77,71,73,74,77,39,64,0,,,,,,,ATT_attack,73.7,0.6,44.2,fra.1,fc26_eafchub,2026-08-13T00:56:02.827886
223,Nice,Mohamed Abdelmonem,defenders,74,62,40,63,61,74,74,0,,,,,,,DEF_defense,74.0,0.6,44.4,fra.1,fc26_eafchub,2026-08-13T00:56:02.827886
224,Nice,Kojo Peprah Oppong,defenders,68,74,25,44,55,68,71,0,,,,,,,DEF_defense,69.5,0.3,20.85,fra.1,fc26_eafchub,2026-08-13T00:56:02.827886
225,Nice,Laurent Abergel,midfielders,75,60,50,69,72,71,75,0,,,,,,,MID_both,70.7,0.6,42.4,fra.1,fc26_eafchub,2026-08-13T00:56:02.827886
226,Feyenoord,Thomas Beelen,defenders,74,77,43,63,68,74,77,0,,,,,,,DEF_defense,75.5,0.6,45.3,ned.1,fc26_eafchub,2026-08-13T00:56:02.827886
227,Feyenoord,Jordan Bos,defenders,69,87,58,60,68,61,79,0,,,,,,,DEF_defense,70.0,0.3,21.0,ned.1,fc26_eafchub,2026-08-13T00:56:02.827886
228,Feyenoord,Jakub Moder,midfielders,75,64,70,74,73,71,78,0,,,,,,,MID_both,72.7,0.6,43.6,ned.1,fc26_eafchub,2026-08-13T00:56:02.827886
229,Sarpsborg 08,Sigurd Rosted,defenders,64,34,47,51,51,62,76,0,,,,,,,DEF_defense,69.0,0.3,20.7,nor.1,fc26_eafchub,2026-08-13T00:56:02.827886
230,Sarpsborg 08,Mathias Svenningsen-Grønn,midfielders,54,67,50,49,54,48,48,0,,,,,,,MID_both,50.3,0.3,15.1,nor.1,fc26_eafchub,2026-08-13T00:56:02.827886
231,Sarpsborg 08,Frederik Carstensen,attackers,64,67,59,60,66,22,50,0,,,,,,,ATT_attack,64.0,0.3,19.2,nor.1,fc26_eafchub,2026-08-13T00:56:02.827886
232,Basel,Jonas Omlin,keepers,76,,,,,,,1,77,76,68,73,78,52,GK_defense,76.0,0.6,45.6,sui.1,fc26_eafchub,2026-08-13T00:56:02.827886
233,Basel,Coleen Louis,defenders,61,61,28,48,50,68,56,0,,,,,,,DEF_defense,62.0,0.3,18.6,sui.1,fc26_eafchub,2026-08-13T00:56:02.827886
234,Basel,Gabriel Sigua,midfielders,60,65,57,53,63,53,67,0,,,,,,,MID_both,56.3,0.3,16.9,sui.1,fc26_eafchub,2026-08-13T00:56:02.827886
235,Lugano,Martim Marques,defenders,65,69,36,59,69,61,46,0,,,,,,,DEF_defense,53.5,0.3,16.05,sui.1,fc26_eafchub,2026-08-13T00:56:02.827886
236,Lugano,Daniel Dos Santos,midfielders,78,32,52,69,65,80,75,0,,,,,,,MID_both,71.3,1.0,71.33,sui.1,fc26_eafchub,2026-08-13T00:56:02.827886
237,Servette,Jérémy Frick,keepers,70,,,,,,,1,71,68,68,69,70,44,GK_defense,70.0,0.3,21.0,sui.1,fc26_eafchub,2026-08-13T00:56:02.827886
