team_name,team_name_en,team_name_cn,league,d82_total_value,d83_starter_value,d82_unit,data_source,fetched_at
AS Saint-Étienne,AS Saint-Étienne,AS Saint-Étienne,fra.2,60380000.0,12500000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
AVS Futebol SAD,AVS Futebol SAD,AVS Futebol SAD,por.1,38130000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Aarhus Gymnastikforening,Aarhus Gymnastikforening,Aarhus Gymnastikforening,den.1,30225000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Aberdeen,Aberdeen,Aberdeen,sco.1,38435000.0,6000000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Academia Puerto Cabello,Academia Puerto Cabello,Academia Puerto Cabello,Primera_Division,15310000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Accrington Stanley,Accrington Stanley,Accrington Stanley,eng.4,8095000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Adelaide United,Adelaide United,Adelaide United,aus.1,14430000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Ajax,Ajax,Ajax,ned.1,196250000.0,136625000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Al Ahli SFC,Al Ahli SFC,Al Ahli SFC,bel.1,201680000.0,180000000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Al Ain,Al Ain,Al Ain,bel.1,64365000.0,37500000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Al Akhdoud Saudi Club,Al Akhdoud Saudi Club,Al Akhdoud Saudi Club,bel.1,17459999.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Al Ettifaq,Al Ettifaq,Al Ettifaq,bel.1,45705000.0,20500000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Al Fateh,Al Fateh,Al Fateh,bel.1,44265000.0,28800000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Al Fayha,Al Fayha,Al Fayha,bel.1,27575000.0,11000000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Al Hazem FC,Al Hazem FC,Al Hazem FC,bel.1,20260000.0,10500000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Al Hilal,Al Hilal,Al Hilal,bel.1,314020000.0,287000000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Al Ittihad,Al Ittihad,Al Ittihad,bel.1,217015000.0,189500000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Al Khaleej,Al Khaleej,Al Khaleej,bel.1,35470000.0,17125000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Al Kholood,Al Kholood,Al Kholood,bel.1,21495000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Al Nassr,Al Nassr,Al Nassr,bel.1,203609999.0,174000000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Al Qadsiah FC,Al Qadsiah FC,Al Qadsiah FC,bel.1,172150000.0,153500000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Al Riyadh,Al Riyadh,Al Riyadh,bel.1,21305000.0,6000000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Al Shabab,Al Shabab,Al Shabab,bel.1,77445000.0,62125000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Al Taawoun FC,Al Taawoun FC,Al Taawoun FC,bel.1,60100000.0,40600000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Al-Najma SC,Al-Najma SC,Al-Najma SC,bel.1,17995000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Alanyaspor,Alanyaspor,Alanyaspor,tur.1,37835000.0,625000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Albacete Balompié,Albacete Balompié,Albacete Balompié,esp.2,29595000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Alemannia Aachen,Alemannia Aachen,Alemannia Aachen,ger.3,18775000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Alianza Lima,Alianza Lima,Alianza Lima,Liga_1,31675000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Alverca,Alverca,Alverca,por.1,41725000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Amiens SC,Amiens SC,Amiens SC,fra.2,23540000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
América de Cali,América de Cali,América de Cali,Categoría_Primera_A,37220000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Angers SCO,Angers SCO,Angers SCO,fra.1,53375000.0,10500000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Antalyaspor,Antalyaspor,Antalyaspor,tur.1,37409999.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Argentinos Juniors,Argentinos Juniors,Argentinos Juniors,arg.1,62200000.0,5000000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Arka Gdynia,Arka Gdynia,Arka Gdynia,pol.1,13965000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Arsenal,Arsenal,Arsenal,eng.1,1145000000.0,1145000000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Asociația Clubul Sportiv Petrolul 52,Asociația Clubul Sportiv Petrolul 52,Asociația Clubul Sportiv Petrolul 52,rou.1,17750000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Aston Villa,Aston Villa,Aston Villa,eng.1,504400000.0,492500000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Atalanta,Atalanta,Atalanta,ita.1,412770000.0,385900000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Athletic Club,Athletic Club,Athletic Club,esp.1,500900000.0,455900000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Atlanta United,Atlanta United,Atlanta United,usa.1,51579999.0,20000000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Atlético Bucaramanga,Atlético Bucaramanga,Atlético Bucaramanga,Categoría_Primera_A,21740000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Atlético Grau,Atlético Grau,Atlético Grau,Liga_1,15740000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Atlético Madrid,Atlético Madrid,Atlético Madrid,esp.1,757600000.0,745000000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Atlético Mineiro,Atlético Mineiro,Atlético Mineiro,bra.1,140750000.0,121300000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Atlético Nacional,Atlético Nacional,Atlético Nacional,Categoría_Primera_A,55050000.0,9825000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Atlético Tucumán,Atlético Tucumán,Atlético Tucumán,arg.1,34550000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Auckland FC,Auckland FC,Auckland FC,aus.1,15675000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Austin FC,Austin FC,Austin FC,usa.1,31120000.0,5500000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Avellino,Avellino,Avellino,ita.2,29830000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
BK Häcken,BK Häcken,BK Häcken,swe.1,31060000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
BSC Young Boys,BSC Young Boys,BSC Young Boys,sui.1,54540000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Bahia,Bahia,Bahia,bra.1,62500000.0,37200000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Barcelona de Guayaquil,Barcelona de Guayaquil,Barcelona de Guayaquil,ita.1,28850000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Barnet,Barnet,Barnet,eng.4,12275000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Barnsley,Barnsley,Barnsley,eng.3,20330000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Barracas Central,Barracas Central,Barracas Central,arg.1,36600000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Barrow,Barrow,Barrow,eng.4,9385000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Bayer 04 Leverkusen,Bayer 04 Leverkusen,Bayer 04 Leverkusen,ger.1,430150000.0,396400000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Beijing Guoan,Beijing Guoan,Beijing Guoan,sui.1,20985000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Belgrano de Córdoba,Belgrano de Córdoba,Belgrano de Córdoba,arg.1,54920000.0,16500000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Bengaluru FC,Bengaluru FC,Bengaluru FC,sui.1,4625000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Beşiktaş JK,Beşiktaş JK,Beşiktaş JK,tur.1,180999998.0,142900000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Birmingham City,Birmingham City,Birmingham City,eng.2,79830000.0,20000000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Blackburn Rovers,Blackburn Rovers,Blackburn Rovers,eng.2,39980000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Blackpool FC,Blackpool FC,Blackpool FC,eng.3,23625000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Blau-Weiß Linz,Blau-Weiß Linz,Blau-Weiß Linz,ger.1,23990000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Boca Juniors,Boca Juniors,Boca Juniors,arg.1,134150000.0,65600000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Bohemian FC,Bohemian FC,Bohemian FC,Premier_Division,7980000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Bologna,Bologna,Bologna,ita.1,211955000.0,157000000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Bolton Wanderers,Bolton Wanderers,Bolton Wanderers,eng.3,33665000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Bolívar,Bolívar,Bolívar,División_de_Fútbol_Profesional,20900000.0,1900000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Borussia Dortmund,Borussia Dortmund,Borussia Dortmund,ger.1,583350000.0,558450000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Borussia Mönchengladbach,Borussia Mönchengladbach,Borussia Mönchengladbach,ger.1,173940000.0,126500000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Boston River,Boston River,Boston River,Primera_División,25535000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Botafogo,Botafogo,Botafogo,bra.1,97299998.0,63525000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Bradford City,Bradford City,Bradford City,eng.3,13870000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Brentford,Brentford,Brentford,eng.1,238925000.0,187900000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Brighton & Hove Albion,Brighton & Hove Albion,Brighton & Hove Albion,eng.1,330450000.0,291600000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Brisbane Roar,Brisbane Roar,Brisbane Roar,aus.1,9865000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Bristol City,Bristol City,Bristol City,eng.2,58515000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Bristol Rovers,Bristol Rovers,Bristol Rovers,eng.4,15930000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Bromley,Bromley,Bromley,eng.4,9140000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Bruk-Bet Termalica Nieciecza,Bruk-Bet Termalica Nieciecza,Bruk-Bet Termalica Nieciecza,pol.1,14590000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Bryne FK,Bryne FK,Bryne FK,nor.1,14710000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Brøndby IF,Brøndby IF,Brøndby IF,den.1,37375000.0,4800000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Burgos CF,Burgos CF,Burgos CF,esp.2,36450000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Burnley,Burnley,Burnley,eng.1,170315000.0,87600000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Burton Albion,Burton Albion,Burton Albion,eng.3,17080000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
CA Aldosivi,CA Aldosivi,CA Aldosivi,arg.1,35820000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
CA Banfield,CA Banfield,CA Banfield,arg.1,42700000.0,2400000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
CA Osasuna,CA Osasuna,CA Osasuna,esp.1,193150000.0,157800000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
CD Castellón,CD Castellón,CD Castellón,esp.2,27975000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
CD Leganés,CD Leganés,CD Leganés,esp.2,52740000.0,15000000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
CD Mirandés,CD Mirandés,CD Mirandés,esp.2,38270000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
CD Nacional,CD Nacional,CD Nacional,por.1,38005000.0,4300000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
CD Palestino,CD Palestino,CD Palestino,Primera_Division,20545000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
CD Tondela,CD Tondela,CD Tondela,por.1,35700000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
CF Montréal,CF Montréal,CF Montréal,usa.1,23175000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
CFR Cluj,CFR Cluj,CFR Cluj,rou.1,43120000.0,4600000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Cagliari,Cagliari,Cagliari,ita.1,105875000.0,60500000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Cambridge United,Cambridge United,Cambridge United,eng.4,12900000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Carabobo FC,Carabobo FC,Carabobo FC,Primera_Division,21500000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Caracas FC,Caracas FC,Caracas FC,Primera_Division,20500000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Cardiff City,Cardiff City,Cardiff City,eng.3,37985000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Carrarese,Carrarese,Carrarese,ita.2,32835000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Casa Pia,Casa Pia,Casa Pia,por.1,43635000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Catanzaro,Catanzaro,Catanzaro,ita.2,31725000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Central Coast Mariners,Central Coast Mariners,Central Coast Mariners,aus.1,9805000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Central Cordoba SdE,Central Cordoba SdE,Central Cordoba SdE,arg.1,36270000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Cercle Brugge KSV,Cercle Brugge KSV,Cercle Brugge KSV,bel.1,45805000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Cerro Largo,Cerro Largo,Cerro Largo,Primera_División,16600000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Cerro Porteño,Cerro Porteño,Cerro Porteño,División_Profesional,34555000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Cesena FC,Cesena FC,Cesena FC,ita.2,26595000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Changchun Yatai,Changchun Yatai,Changchun Yatai,sui.1,8080000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Charlotte FC,Charlotte FC,Charlotte FC,usa.1,52655000.0,21800000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Charlton Athletic,Charlton Athletic,Charlton Athletic,eng.2,30425000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Chelsea,Chelsea,Chelsea,eng.1,801100000.0,786000000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Cheltenham Town,Cheltenham Town,Cheltenham Town,eng.4,10435000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Chengdu Rongcheng,Chengdu Rongcheng,Chengdu Rongcheng,sui.1,21625000.0,5500000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Chennaiyin FC,Chennaiyin FC,Chennaiyin FC,sui.1,2985000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Chesterfield,Chesterfield,Chesterfield,eng.4,11010000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Chicago Fire,Chicago Fire,Chicago Fire,usa.1,51165000.0,27000000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Cienciano,Cienciano,Cienciano,Liga_1,16015000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Clermont Foot 63,Clermont Foot 63,Clermont Foot 63,fra.2,18050000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Club Atlético San Martín,Club Atlético San Martín,Club Atlético San Martín,arg.1,23425000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Club Atlético Sarmiento,Club Atlético Sarmiento,Club Atlético Sarmiento,arg.1,32175000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Club Atlético Unión,Club Atlético Unión,Club Atlético Unión,arg.1,38000000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Club Nacional de Football,Club Nacional de Football,Club Nacional de Football,Primera_División,40225000.0,12000000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Club Olimpia,Club Olimpia,Club Olimpia,División_Profesional,22775000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Colchester United,Colchester United,Colchester United,eng.4,12405000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Colo-Colo,Colo-Colo,Colo-Colo,Primera_Division,47600000.0,6500000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Colorado Rapids,Colorado Rapids,Colorado Rapids,usa.1,41845000.0,11500000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Columbus Crew,Columbus Crew,Columbus Crew,usa.1,42744999.0,9100000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Como,Como,Como,ita.1,225384999.0,173200000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Corinthians,Corinthians,Corinthians,bra.1,92975000.0,65000000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Cork City,Cork City,Cork City,Premier_Division,6775000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Coventry City,Coventry City,Coventry City,eng.2,62100000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Cracovia,Cracovia,Cracovia,pol.1,31845000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Crawley Town,Crawley Town,Crawley Town,eng.4,12350000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Cremonese,Cremonese,Cremonese,ita.1,87175000.0,26600000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Crewe Alexandra,Crewe Alexandra,Crewe Alexandra,eng.4,12930000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Cruzeiro,Cruzeiro,Cruzeiro,bra.1,51049999.0,25600000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Crystal Palace,Crystal Palace,Crystal Palace,eng.1,353000000.0,324000000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Csíkszereda Miercurea Ciuc,Csíkszereda Miercurea Ciuc,Csíkszereda Miercurea Ciuc,rou.1,9790000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Cultural Leonesa,Cultural Leonesa,Cultural Leonesa,esp.2,28805000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Cádiz CF,Cádiz CF,Cádiz CF,esp.2,45100000.0,8500000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Córdoba CF,Córdoba CF,Córdoba CF,esp.2,33125000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
DC United,DC United,DC United,usa.1,26645000.0,2700000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
DSC Arminia Bielefeld,DSC Arminia Bielefeld,DSC Arminia Bielefeld,ger.2,34750000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Daegu FC,Daegu FC,Daegu FC,kor.1,18485000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Daejeon Citizen,Daejeon Citizen,Daejeon Citizen,kor.1,27770000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Dalian Yingbo,Dalian Yingbo,Dalian Yingbo,sui.1,12865000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Damac FC,Damac FC,Damac FC,bel.1,15480000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Defensa y Justicia,Defensa y Justicia,Defensa y Justicia,arg.1,44055000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Degerfors IF,Degerfors IF,Degerfors IF,swe.1,15395000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Deportes Iquique,Deportes Iquique,Deportes Iquique,Primera_Division,11500000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Deportivo Alavés,Deportivo Alavés,Deportivo Alavés,esp.1,98274999.0,37000000.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Deportivo Riestra,Deportivo Riestra,Deportivo Riestra,arg.1,16420000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Deportivo Táchira,Deportivo Táchira,Deportivo Táchira,Primera_Division,17990000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Derby County,Derby County,Derby County,eng.2,45475000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Derry City,Derry City,Derry City,Premier_Division,7125000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Dinamo Bucureşti,Dinamo Bucureşti,Dinamo Bucureşti,rou.1,28515000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Djurgårdens IF,Djurgårdens IF,Djurgårdens IF,swe.1,29450000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Doncaster Rovers,Doncaster Rovers,Doncaster Rovers,eng.3,14500000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Drogheda United,Drogheda United,Drogheda United,Premier_Division,6890000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Dundee FC,Dundee FC,Dundee FC,sco.1,14675000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Dundee United FC,Dundee United FC,Dundee United FC,sco.1,21065000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
Dynamo Dresden,Dynamo Dresden,Dynamo Dresden,ger.2,28590000.0,0.0,EUR,fc26_eafchub_player_aggregate_p29_336,2026-08-13
