player_id,espn_id,full_name,short_name,jersey_number,position,position_group,date_of_birth,age,height_cm,weight_kg,nationality,preferred_foot,current_team_id,created_at,updated_at,fc26_official_ea_id,fc26_official_ovr
16,387474,Ifechukwu Ogbus,I. Ogbus,43,RB,,,,,,,,126,2026-08-12 10:06:22,2026-08-12 10:09:56,279045,
17,238525,Lucas Höler,L. Höler,9,SUB,,,,,,,,126,2026-08-12 10:06:22,2026-08-12 10:09:56,234875,
18,224246,Jannik Huth,J. Huth,24,SUB,,,,,,,,126,2026-08-12 10:06:22,2026-08-12 10:09:43,229692,
19,367557,Max Rosenfelder,M. Rosenfelder,37,CD-L,,,,,,,,126,2026-08-12 10:06:22,2026-08-12 10:09:56,263022,
20,346619,Derry Scherhant,D. Scherhant,7,SUB,,,,,,,,126,2026-08-12 10:06:22,2026-08-12 10:09:56,269705,
21,202802,Maximilian Philipp,M. Philipp,26,SUB,,,,,,,,126,2026-08-12 10:06:22,2026-08-12 10:09:43,216497,
22,367558,Jordy Makengo,J. Makengo,33,SUB,,,,,,,,126,2026-08-12 10:06:22,2026-08-12 10:09:56,262668,
23,174618,Christian Günter,C. Günter,30,LB,,,,,,,,126,2026-08-12 10:06:22,2026-08-12 10:09:56,209846,
24,158626,Emiliano Martínez,E. Martínez,23,G,,,,,,,,362,2026-08-12 10:06:22,2026-08-12 10:09:55,202811,85
25,251100,Pau Torres,P. Torres,14,SUB,,,,,,,,362,2026-08-12 10:06:22,2026-08-12 10:10:28,241464,
26,231859,Ezri Konsa,E. Konsa,4,SUB,,,,,,,,362,2026-08-12 10:06:22,2026-08-12 10:10:28,227678,82
27,160115,Lucas Digne,L. Digne,12,LB,,,,,,,,362,2026-08-12 10:06:22,2026-08-12 10:10:28,200458,80
28,234698,Matty Cash,M. Cash,2,RB,,,,,,,,362,2026-08-12 10:06:22,2026-08-12 10:10:28,227174,79
29,265653,Morgan Rogers,M. Rogers,27,AM,,,,,,,,362,2026-08-12 10:06:22,2026-08-12 10:10:28,260247,82
30,193297,Youri Tielemans,Y. Tielemans,8,LM,,,,,,,,362,2026-08-12 10:06:22,2026-08-12 10:10:28,216393,85
31,204679,Victor Lindelöf,V. Lindelöf,3,CD-R,,,,,,,,362,2026-08-12 10:06:22,2026-08-12 10:10:28,221660,
32,198825,Ollie Watkins,O. Watkins,11,F,,,,,,,,362,2026-08-12 10:06:22,2026-08-12 10:10:28,221697,84
33,214375,Emiliano Buendía,E. Buendía,10,AM-L,,,,,,,,362,2026-08-12 10:06:22,2026-08-12 10:10:28,226162,77
34,162843,John McGinn,J. McGinn,7,AM-R,,,,,,,,362,2026-08-12 10:06:22,2026-08-12 10:09:55,210881,81
35,356080,Andrés García,A. García,16,SUB,,,,,,,,362,2026-08-12 10:06:22,2026-08-12 10:10:28,275468,73
36,259836,Jadon Sancho,J. Sancho,19,AM-R,,,,,,,,362,2026-08-12 10:06:22,2026-08-12 10:10:28,233049,80
37,236209,Tammy Abraham,T. Abraham,18,SUB,,,,,,,,362,2026-08-12 10:06:22,2026-08-12 10:09:55,231352,77
38,132233,Marco Bizot,M. Bizot,40,G,,,,,,,,362,2026-08-12 10:06:22,2026-08-12 10:10:28,200110,78
39,304799,Amadou Onana,A. Onana,24,SUB,,,,,,,,362,2026-08-12 10:06:22,2026-08-12 10:10:28,257057,79
40,281125,Ian Maatsen,I. Maatsen,22,SUB,,,,,,,,362,2026-08-12 10:06:22,2026-08-12 10:10:28,248465,79
41,181312,Tyrone Mings,T. Mings,5,CD-L,,,,,,,,362,2026-08-12 10:06:22,2026-08-12 10:10:28,212419,78
42,310607,Lamare Bogarde,L. Bogarde,26,RM,,,,,,,,362,2026-08-12 10:06:22,2026-08-12 10:10:28,264209,71
43,320074,Douglas Luiz,D. Luiz,21,SUB,,,,,,,,362,2026-08-12 10:06:22,2026-08-12 10:09:55,236499,
44,235319,James Wright,J. Wright,64,SUB,,,,,,,,362,2026-08-12 10:06:22,2026-08-12 10:10:28,70996,
45,280806,Harvey Elliott,H. Elliott,9,SUB,,,,,,,,362,2026-08-12 10:06:22,2026-08-12 10:09:55,246174,78
46,224809,Leon Bailey,L. Bailey,31,SUB,,,,,,,,362,2026-08-12 10:06:22,2026-08-12 10:09:55,229906,79
47,248699,Matvei Safonov,M. Safonov,39,G,,,,,,,,160,2026-08-12 10:06:49,2026-08-12 10:09:11,240225,
48,287005,Willian Pacho,W. Pacho,51,CD-L,,,,,,,,160,2026-08-12 10:06:49,2026-08-12 10:09:11,256196,86
49,159047,Marquinhos,Marquinhos,5,SUB,,,,,,,,160,2026-08-12 10:06:49,2026-08-12 10:09:11,207865,
50,290591,Nuno Mendes,N. Mendes,25,SUB,,,,,,,,160,2026-08-12 10:06:49,2026-08-12 10:09:11,252145,
51,240233,Achraf Hakimi,A. Hakimi,2,RB,,,,,,,,160,2026-08-12 10:06:49,2026-08-12 10:09:11,235212,89
52,288897,Vitinha,Vitinha,17,SUB,,,,,,,,160,2026-08-12 10:06:49,2026-08-12 10:09:11,255253,
53,214596,Fabián Ruiz,F. Ruiz,8,LM,,,,,,,,160,2026-08-12 10:06:49,2026-08-12 10:06:49,226271,85
54,355061,João Neves,J. Neves,87,SUB,,,,,,,,160,2026-08-12 10:06:49,2026-08-12 10:09:11,272834,77
55,229744,Ousmane Dembélé,O. Dembélé,10,F,,,,,,,,160,2026-08-12 10:06:49,2026-08-12 10:09:11,231443,90
56,274745,Khvicha Kvaratskhelia,K. Kvaratskhelia,7,LF,,,,,,,,160,2026-08-12 10:06:49,2026-08-12 10:09:11,247635,87
57,336388,Désiré Doué,D. Doué,14,LM,,,,,,,,160,2026-08-12 10:06:49,2026-08-12 10:09:11,271421,85
58,345581,Warren Zaïre-Emery,W. Zaïre-Emery,33,RM,,,,,,,,160,2026-08-12 10:06:49,2026-08-12 10:09:11,270673,80
59,304503,Illia Zabarnyi,I. Zabarnyi,6,CD-R,,,,,,,,160,2026-08-12 10:06:49,2026-08-12 10:09:11,258781,79
60,388522,Ibrahim Mbaye,I. Mbaye,49,SUB,,,,,,,,160,2026-08-12 10:06:49,2026-08-12 10:09:11,74449,
61,379088,Senny Mayulu,S. Mayulu,24,LM,,,,,,,,160,2026-08-12 10:06:49,2026-08-12 10:09:07,70004,
62,288896,Gonçalo Ramos,G. Ramos,9,SUB,,,,,,,,160,2026-08-12 10:06:49,2026-08-12 10:09:11,256903,80
63,316128,Lucas Beraldo,L. Beraldo,4,CM,,,,,,,,160,2026-08-12 10:06:49,2026-08-12 10:09:11,279709,
64,274197,Lee Kang-In,L. Kang-In,19,RF,,,,,,,,160,2026-08-12 10:06:49,2026-08-12 10:09:11,243780,
65,196200,Lucas Hernández,L. Hernández,21,LB,,,,,,,,160,2026-08-12 10:06:49,2026-08-12 10:09:11,220814,81
66,403578,Dro Fernández,D. Fernández,27,SUB,,,,,,,,160,2026-08-12 10:06:49,2026-08-12 10:09:11,222509,
67,288925,Lucas Chevalier,L. Chevalier,30,SUB,,,,,,,,160,2026-08-12 10:06:49,2026-08-12 10:09:11,251752,83
68,379089,Renato Marin,R. Marin,89,SUB,,,,,,,,160,2026-08-12 10:06:49,2026-08-12 10:09:11,279880,
69,328238,Bradley Barcola,B. Barcola,29,LF,,,,,,,,160,2026-08-12 10:06:49,2026-08-12 10:09:07,264652,84
70,196176,David Raya,D. Raya,1,G,,,,,,,,359,2026-08-12 10:06:49,2026-08-12 10:06:49,220901,87
71,236322,Gabriel Magalhães,G. Magalhães,6,CD-L,,,,,,,,359,2026-08-12 10:06:49,2026-08-12 10:06:49,232580,
72,277385,William Saliba,W. Saliba,2,CD-R,,,,,,,,359,2026-08-12 10:06:49,2026-08-12 10:06:49,243715,87
73,292062,Piero Hincapié,P. Hincapié,5,LB,,,,,,,,359,2026-08-12 10:06:49,2026-08-12 10:06:49,256197,83
74,328497,Cristhian Mosquera,C. Mosquera,3,RB,,,,,,,,359,2026-08-12 10:06:49,2026-08-12 10:06:49,264846,77
75,280555,Bukayo Saka,B. Saka,7,AM,,,,,,,,359,2026-08-12 10:06:49,2026-08-12 10:06:49,246669,88
76,238262,Declan Rice,D. Rice,41,LM,,,,,,,,359,2026-08-12 10:06:49,2026-08-12 10:06:49,234378,87
77,352758,Myles Lewis-Skelly,M. Lewis-Skelly,49,RM,,,,,,,,359,2026-08-12 10:06:49,2026-08-12 10:06:49,278773,78
78,231182,Kai Havertz,K. Havertz,29,F,,,,,,,,359,2026-08-12 10:06:49,2026-08-12 10:06:49,235790,82
79,174980,Leandro Trossard,L. Trossard,19,AM-L,,,,,,,,359,2026-08-12 10:06:49,2026-08-12 10:06:49,207421,83
80,203669,Martin Ødegaard,M. Ødegaard,8,AM-R,,,,,,,,359,2026-08-12 10:06:49,2026-08-12 10:06:49,222665,87
81,217289,Gabriel Jesus,G. Jesus,9,SUB,,,,,,,,359,2026-08-12 10:06:49,2026-08-12 10:06:49,230666,
82,282716,Jurriën Timber,J. Timber,12,SUB,,,,,,,,359,2026-08-12 10:06:49,2026-08-12 10:06:49,251805,82
83,178077,Christian Nørgaard,C. Nørgaard,16,SUB,,,,,,,,359,2026-08-12 10:06:49,2026-08-12 10:06:49,210697,80
84,209581,Mikel Merino,M. Merino,23,SUB,,,,,,,,359,2026-08-12 10:06:49,2026-08-12 10:06:49,225193,83
85,269844,Gabriel Martinelli,G. Martinelli,11,SUB,,,,,,,,359,2026-08-12 10:06:49,2026-08-12 10:06:49,251566,81
86,293236,Noni Madueke,N. Madueke,20,SUB,,,,,,,,359,2026-08-12 10:06:49,2026-08-12 10:06:49,254796,80
87,258906,Viktor Gyökeres,V. Gyökeres,14,SUB,,,,,,,,359,2026-08-12 10:06:49,2026-08-12 10:06:49,241651,87
88,251400,Eberechi Eze,E. Eze,10,SUB,,,,,,,,359,2026-08-12 10:06:49,2026-08-12 10:06:49,235794,83
89,397263,Max Dowman,M. Dowman,56,SUB,,,,,,,,359,2026-08-12 10:06:49,2026-08-12 10:06:49,,
90,298329,Riccardo Calafiori,R. Calafiori,33,SUB,,,,,,,,359,2026-08-12 10:06:49,2026-08-12 10:06:49,257711,78
91,169532,Kepa Arrizabalaga,K. Arrizabalaga,13,SUB,,,,,,,,359,2026-08-12 10:06:49,2026-08-12 10:06:49,206585,79
92,287266,Martín Zubimendi,M. Zubimendi,36,SUB,,,,,,,,359,2026-08-12 10:06:49,2026-08-12 10:06:49,248148,83
139,234172,Dean Henderson,D. Henderson,1,G,,,,,,,,384,2026-08-12 10:06:50,2026-08-12 10:10:14,233306,81
140,265918,Maxence Lacroix,M. Lacroix,5,CD,,,,,,,,384,2026-08-12 10:06:50,2026-08-12 10:10:14,244067,79
141,386252,Jaydee Canvot,J. Canvot,23,SUB,,,,,,,,384,2026-08-12 10:06:50,2026-08-12 10:10:14,74133,70
142,307870,Chadi Riad,C. Riad,34,CD-L,,,,,,,,384,2026-08-12 10:06:50,2026-08-12 10:10:14,258490,72
143,219362,Daichi Kamada,D. Kamada,18,CM-L,,,,,,,,384,2026-08-12 10:06:50,2026-08-12 10:10:14,232730,77
144,333419,Adam Wharton,A. Wharton,20,CM-R,,,,,,,,384,2026-08-12 10:06:50,2026-08-12 10:10:14,259240,79
145,300853,Tyrick Mitchell,T. Mitchell,3,SUB,,,,,,,,384,2026-08-12 10:06:50,2026-08-12 10:10:14,240947,78
146,146679,Daniel Muñoz,D. Muñoz,2,RM,,,,,,,,384,2026-08-12 10:06:50,2026-08-12 10:10:14,189513,81
147,241187,Jean-Philippe Mateta,J. Mateta,14,F,,,,,,,,384,2026-08-12 10:06:50,2026-08-12 10:09:12,236461,82
148,297370,Yéremy Pino,Y. Pino,10,SUB,,,,,,,,384,2026-08-12 10:06:50,2026-08-12 10:10:14,259377,
149,241012,Ismaïla Sarr,I. Sarr,7,CF-R,,,,,,,,384,2026-08-12 10:06:50,2026-08-12 10:10:14,235353,79
150,252747,Jørgen Strand Larsen,J. Larsen,22,F,,,,,,,,384,2026-08-12 10:06:50,2026-08-12 10:10:14,238756,78
151,228319,Borna Sosa,B. Sosa,24,LM,,,,,,,,384,2026-08-12 10:06:50,2026-08-12 10:10:14,243388,73
152,272585,Chris Richards,C. Richards,26,CD-R,,,,,,,,384,2026-08-12 10:06:50,2026-08-12 10:10:14,250954,77
153,205981,Remi Matthews,R. Matthews,31,SUB,,,,,,,,384,2026-08-12 10:06:50,2026-08-12 10:10:14,203824,63
154,197399,Jefferson Lerma,J. Lerma,8,CD-R,,,,,,,,384,2026-08-12 10:06:50,2026-08-12 10:09:12,213991,77
155,291307,Brennan Johnson,B. Johnson,11,CF-L,,,,,,,,384,2026-08-12 10:06:50,2026-08-12 10:10:14,251421,79
156,168421,Will Hughes,W. Hughes,19,SUB,,,,,,,,384,2026-08-12 10:06:50,2026-08-12 10:10:14,206516,77
157,288924,Evann Guessand,E. Guessand,29,SUB,,,,,,,,384,2026-08-12 10:06:50,2026-08-12 10:10:28,258444,79
158,291468,Justin Devenny,J. Devenny,55,SUB,,,,,,,,384,2026-08-12 10:06:50,2026-08-12 10:10:14,73895,71
159,127865,Nathaniel Clyne,N. Clyne,17,SUB,,,,,,,,384,2026-08-12 10:06:50,2026-08-12 10:10:14,190456,70
160,363444,Rio Cardines,R. Cardines,59,SUB,,,,,,,,384,2026-08-12 10:06:50,2026-08-12 10:10:14,,
161,195738,Walter Benítez,W. Benítez,44,SUB,,,,,,,,384,2026-08-12 10:06:50,2026-08-12 10:10:14,215223,79
162,195032,Augusto Batalla,A. Batalla,13,G,,,,,,,,101,2026-08-12 10:06:50,2026-08-12 10:09:53,227186,79
163,140754,Florian Lejeune,F. Lejeune,24,CD-R,,,,,,,,101,2026-08-12 10:06:50,2026-08-12 10:09:53,197948,
164,294228,Pathé Ciss,P. Ciss,6,LM,,,,,,,,101,2026-08-12 10:06:50,2026-08-12 10:09:53,250858,77
165,300331,Pep Chavarría,P. Chavarría,3,LB,,,,,,,,101,2026-08-12 10:06:50,2026-08-12 10:09:53,258371,
166,287224,Andrei Ratiu,A. Ratiu,2,RB,,,,,,,,101,2026-08-12 10:06:50,2026-08-12 10:09:53,248165,
167,264197,Isi Palazón,I. Palazón,7,SUB,,,,,,,,101,2026-08-12 10:06:50,2026-08-12 10:09:53,232498,
168,264217,Óscar Valentín,Óscar Valentín,23,SUB,,,,,,,,101,2026-08-12 10:06:50,2026-08-12 10:09:53,243558,
169,203711,Unai López,U. López,17,RM,,,,,,,,101,2026-08-12 10:06:50,2026-08-12 10:09:53,222390,
170,313024,Alexandre Alemão,Alexandre Alemão,9,SUB,,,,,,,,101,2026-08-12 10:06:50,2026-08-12 10:09:53,276895,
171,125200,Álvaro García,Á. García,18,AM-L,,,,,,,,101,2026-08-12 10:06:50,2026-08-12 10:09:53,216447,80
172,260740,Jorge de Frutos,J. de Frutos,19,F,,,,,,,,101,2026-08-12 10:06:50,2026-08-12 10:09:53,243559,
173,356212,Nobel Mendy,N. Mendy,32,SUB,,,,,,,,101,2026-08-12 10:06:50,2026-08-12 10:09:53,276633,
174,66410,Óscar Trejo,Ó. Trejo,8,SUB,,,,,,,,101,2026-08-12 10:06:50,2026-08-12 10:09:53,173030,
175,199790,Pacha Espino,P. Espino,22,SUB,,,,,,,,101,2026-08-12 10:06:50,2026-08-12 10:09:53,247131,
176,264078,Pedro Díaz,P. Díaz,4,AM,,,,,,,,101,2026-08-12 10:06:50,2026-08-12 10:09:53,236492,
177,192893,Daniel Cárdenas,D. Cárdenas,1,SUB,,,,,,,,101,2026-08-12 10:06:50,2026-08-12 10:09:53,236033,
178,276652,Sergio Camello,S. Camello,10,SUB,,,,,,,,101,2026-08-12 10:06:50,2026-08-12 10:09:53,248805,
179,158151,Iván Balliu,I. Balliu,20,SUB,,,,,,,,101,2026-08-12 10:06:50,2026-08-12 10:09:53,203581,
180,331047,Ilias Akhomach,I. Akhomach,12,AM-R,,,,,,,,101,2026-08-12 10:06:50,2026-08-12 10:09:53,265578,74
181,300878,Adrián Molina,A. Molina,40,SUB,,,,,,,,101,2026-08-12 10:06:50,2026-08-12 10:09:37,81393,
182,186181,Gerard Gumbau,G. Gumbau,15,SUB,,,,,,,,101,2026-08-12 10:06:50,2026-08-12 10:09:53,214944,
183,151649,Nicola Leali,N. Leali,1,SUB,,,,,,,,,2026-08-12 10:09:02,2026-08-12 10:09:56,201299,
184,281736,Leo Østigard,L. Østigard,5,CD,,,,,,,,,2026-08-12 10:09:02,2026-08-12 10:09:56,238516,
185,259975,Johan Vásquez,J. Vásquez,22,CD-L,,,,,,,,,2026-08-12 10:09:02,2026-08-12 10:09:56,244349,75
186,350205,Sebastian Otoa,S. Otoa,34,SUB,,,,,,,,,2026-08-12 10:09:02,2026-08-12 10:09:56,271882,
187,202686,Morten Thorsby,M. Thorsby,2,SUB,,,,,,,,,2026-08-12 10:09:02,2026-08-12 10:09:56,222475,72
188,208789,Ruslan Malinovskyi,R. Malinovskyi,17,CM-R,,,,,,,,,2026-08-12 10:09:02,2026-08-12 10:09:56,231969,76
189,270884,Morten Frendrup,M. Frendrup,32,AM,,,,,,,,,2026-08-12 10:09:02,2026-08-12 10:09:56,242633,76
190,242007,Aarón Martín,A. Martín,3,LM,,,,,,,,,2026-08-12 10:09:02,2026-08-12 10:09:56,236295,
191,311173,Brooke Norton-Cuffy,B. Norton-Cuffy,15,RM,,,,,,,,,2026-08-12 10:09:02,2026-08-12 10:09:56,260653,
192,403234,Vitinha,Vitinha,9,CF-L,,,,,,,,160,2026-08-12 10:09:02,2026-08-12 10:09:56,255253,
193,297220,Lorenzo Colombo,L. Colombo,29,CF-R,,,,,,,,,2026-08-12 10:09:02,2026-08-12 10:09:56,256899,
194,177862,Stefano Sabelli,S. Sabelli,20,SUB,,,,,,,,,2026-08-12 10:09:02,2026-08-12 10:09:56,206159,
195,324256,Mikael Ellertsson,M. Ellertsson,77,CM-L,,,,,,,,,2026-08-12 10:09:02,2026-08-12 10:09:56,264436,69
196,176678,Nicolae Stanciu,N. Stanciu,8,SUB,,,,,,,,,2026-08-12 10:09:02,2026-08-12 10:09:02,212207,77
197,388606,Jeff Ekhator,J. Ekhator,21,SUB,,,,,,,,,2026-08-12 10:09:02,2026-08-12 10:09:56,74485,
198,347409,Seydou Fini,S. Fini,40,SUB,,,,,,,,,2026-08-12 10:09:02,2026-08-12 10:09:02,278350,
199,389431,Lorenzo Venturino,L. Venturino,20,SUB,,,,,,,,,2026-08-12 10:09:02,2026-08-12 10:09:11,76172,
200,364761,Alessandro Marcandalli,A. Marcandalli,27,CD-R,,,,,,,,,2026-08-12 10:09:02,2026-08-12 10:09:56,276477,
201,346840,Patrizio Masini,P. Masini,73,SUB,,,,,,,,,2026-08-12 10:09:02,2026-08-12 10:09:56,276485,
202,182071,Caleb Ekuban,C. Ekuban,18,SUB,,,,,,,,,2026-08-12 10:09:02,2026-08-12 10:09:56,239795,71
203,365843,Hugo Cuenca,H. Cuenca,30,SUB,,,,,,,,,2026-08-12 10:09:02,2026-08-12 10:09:56,74930,
204,337972,Valentin Carboni,V. Carboni,23,SUB,,,,,,,,,2026-08-12 10:09:02,2026-08-12 10:09:02,272602,
205,210391,Daniele Sommariva,D. Sommariva,39,SUB,,,,,,,,,2026-08-12 10:09:02,2026-08-12 10:09:56,225432,
206,410399,Ernestas Lysionok,E. Lysionok,35,SUB,,,,,,,,,2026-08-12 10:09:02,2026-08-12 10:09:02,81467,
207,228326,Adrian Semper,A. Semper,1,G,,,,,,,,,2026-08-12 10:09:02,2026-08-12 10:09:02,244274,
208,41970,Raúl Albiol,R. Albiol,39,CD,,,,,,,,,2026-08-12 10:09:02,2026-08-12 10:09:02,157481,
209,335952,Giovanni Bonfanti,G. Bonfanti,94,CD-L,,,,,,,,,2026-08-12 10:09:02,2026-08-12 10:09:02,278354,
210,267942,Simone Canestrelli,S. Canestrelli,5,CD-R,,,,,,,,,2026-08-12 10:09:02,2026-08-12 10:09:02,264480,
211,296312,Malthe Hojholt,M. Hojholt,8,CM-L,,,,,,,,,2026-08-12 10:09:02,2026-08-12 10:09:02,,
212,256212,Mehdi Léris,M. Léris,7,CM-R,,,,,,,,,2026-08-12 10:09:02,2026-08-12 10:09:02,240660,68
213,245623,Michel Aebischer,M. Aebischer,20,AM,,,,,,,,,2026-08-12 10:09:02,2026-08-12 10:09:02,236898,74
214,324765,Samuele Angori,S. Angori,3,LM,,,,,,,,,2026-08-12 10:09:02,2026-08-12 10:09:02,270658,
215,234951,Idrissa Touré,I. Touré,15,RM,,,,,,,,,2026-08-12 10:09:02,2026-08-12 10:09:02,233396,
216,366395,Henrik Meister,H. Meister,9,CF-L,,,,,,,,,2026-08-12 10:09:02,2026-08-12 10:09:02,277309,
217,207874,Stefano Moreo,S. Moreo,32,CF-R,,,,,,,,,2026-08-12 10:09:02,2026-08-12 10:09:02,222959,
218,390613,Daniel Denoon,D. Denoon,44,SUB,,,,,,,,,2026-08-12 10:09:02,2026-08-12 10:09:02,74876,
219,409490,Jeremy Kandje Mbambi,J. Kandje Mbambi,76,SUB,,,,,,,,,2026-08-12 10:09:02,2026-08-12 10:09:02,80810,
220,250402,Marius Marin,M. Marin,6,SUB,,,,,,,,,2026-08-12 10:09:02,2026-08-12 10:09:02,252313,69
221,144600,Antonio Caracciolo,A. Caracciolo,4,SUB,,,,,,,,,2026-08-12 10:09:02,2026-08-12 10:09:02,199174,
222,411325,Brando Bettazzi,B. Bettazzi,42,SUB,,,,,,,,,2026-08-12 10:09:02,2026-08-12 10:09:02,,
223,261173,M'Bala Nzola,M. Nzola,18,SUB,,,,,,,,,2026-08-12 10:09:02,2026-08-12 10:09:02,240452,
224,324253,Gabriele Piccinini,G. Piccinini,36,SUB,,,,,,,,,2026-08-12 10:09:02,2026-08-12 10:09:02,268790,
225,260237,Matteo Tramoni,M. Tramoni,10,SUB,,,,,,,,,2026-08-12 10:09:02,2026-08-12 10:09:02,240797,
226,181784,Simone Scuffet,S. Scuffet,22,SUB,,,,,,,,,2026-08-12 10:09:02,2026-08-12 10:09:02,220048,
227,400332,Louis Buffon,L. Buffon,16,SUB,,,,,,,,,2026-08-12 10:09:02,2026-08-12 10:09:02,77379,
228,154425,Francesco Coppola,F. Coppola,26,SUB,,,,,,,,,2026-08-12 10:09:02,2026-08-12 10:09:02,,
229,357117,Lorran,Lorran,99,SUB,,,,,,,,,2026-08-12 10:09:02,2026-08-12 10:09:02,81307,
230,291045,Tomás Esteves,T. Esteves,19,SUB,,,,,,,,,2026-08-12 10:09:02,2026-08-12 10:09:02,252033,
231,194758,Arturo Calabresi,A. Calabresi,33,SUB,,,,,,,,,2026-08-12 10:09:02,2026-08-12 10:09:02,229574,
232,166333,Nícolas Andrade,N. Andrade,12,SUB,,,,,,,,,2026-08-12 10:09:02,2026-08-12 10:09:02,205496,
233,257267,Berke Özer,B. Özer,1,G,,,,,,,,166,2026-08-12 10:09:03,2026-08-12 10:09:25,239254,77
234,174322,Chancel Mbemba,C. Mbemba,18,SUB,,,,,,,,166,2026-08-12 10:09:03,2026-08-12 10:09:25,210897,
235,150451,Aïssa Mandi,A. Mandi,23,CD-L,,,,,,,,166,2026-08-12 10:09:03,2026-08-12 10:09:25,201143,75
236,318577,Nathan Ngoy,N. Ngoy,3,CD-R,,,,,,,,166,2026-08-12 10:09:03,2026-08-12 10:09:25,262071,
237,250853,Romain Perraud,R. Perraud,15,LB,,,,,,,,166,2026-08-12 10:09:03,2026-08-12 10:09:25,231318,
238,346844,Tiago Santos,Tiago Santos,22,RB,,,,,,,,166,2026-08-12 10:09:03,2026-08-12 10:09:25,270559,
239,373927,Ayyoub Bouaddi,A. Bouaddi,32,RM,,,,,,,,166,2026-08-12 10:09:03,2026-08-12 10:09:25,278901,
240,345988,Ngal'ayel Mukau,N. Mukau,17,AM-R,,,,,,,,166,2026-08-12 10:09:03,2026-08-12 10:09:25,274447,
241,359651,Matias Fernandez-Pardo,M. Fernandez-Pardo,7,F,,,,,,,,166,2026-08-12 10:09:03,2026-08-12 10:09:25,276048,
242,355971,Ethan Mbappé,E. Mbappé,8,RM,,,,,,,,166,2026-08-12 10:09:03,2026-08-12 10:09:03,278172,
243,88965,Olivier Giroud,O. Giroud,9,SUB,,,,,,,,166,2026-08-12 10:09:03,2026-08-12 10:09:25,178509,79
244,400352,Soriba Diaoune,S. Diaoune,35,SUB,,,,,,,,,2026-08-12 10:09:03,2026-08-12 10:09:25,,
245,323173,Marius Broholm,M. Broholm,14,SUB,,,,,,,,166,2026-08-12 10:09:03,2026-08-12 10:09:25,268738,
246,375316,Lilian Baret,L. Baret,33,SUB,,,,,,,,,2026-08-12 10:09:03,2026-08-12 10:09:25,,
247,417255,Saad Boussadia,S. Boussadia,42,SUB,,,,,,,,,2026-08-12 10:09:03,2026-08-12 10:09:25,,
248,340900,Alexsandro,Alexsandro,4,SUB,,,,,,,,166,2026-08-12 10:09:03,2026-08-12 10:09:25,269493,
249,288900,Felix Correia,F. Correia,27,AM-L,,,,,,,,166,2026-08-12 10:09:03,2026-08-12 10:09:25,253167,
250,255780,Arnaud Bodart,A. Bodart,16,SUB,,,,,,,,166,2026-08-12 10:09:03,2026-08-12 10:09:25,237525,73
251,217381,Calvin Verdonk,C. Verdonk,24,SUB,,,,,,,,166,2026-08-12 10:09:03,2026-08-12 10:09:25,227794,71
252,166473,Thomas Meunier,T. Meunier,12,SUB,,,,,,,,166,2026-08-12 10:09:03,2026-08-12 10:09:03,202371,76
253,332343,Mike Penders,M. Penders,39,G,,,,,,,,,2026-08-12 10:09:03,2026-08-12 10:09:23,270821,73
