id,league_slug,match_date,home_team,away_team,bookmaker,home_odds,draw_odds,away_odds,over_2_5_odds,under_2_5_odds,fetched_at
1791,eng.1,2025-08-17,Nott'm Forest,Brentford,Coral,2.15,3.4,3.4,,,2026-07-27 11:39:40
1792,eng.1,2025-08-17,Nott'm Forest,Brentford,Ladbrokes,2.15,3.4,3.3,,,2026-07-27 11:39:40
1793,eng.1,2025-08-17,Manchester United,Arsenal,B365,3.6,3.6,1.95,1.83,2.03,2026-07-27 11:39:40
1794,eng.1,2025-08-17,Manchester United,Arsenal,Pinnacle,3.74,3.72,2.01,1.84,2.06,2026-07-27 11:39:40
1795,eng.1,2025-08-17,Manchester United,Arsenal,Betway,3.4,3.5,2.1,,,2026-07-27 11:39:40
1796,eng.1,2025-08-17,Manchester United,Arsenal,Coral,3.4,3.5,2.1,,,2026-07-27 11:39:40
1797,eng.1,2025-08-17,Manchester United,Arsenal,Ladbrokes,3.4,3.5,2.05,,,2026-07-27 11:39:40
1798,eng.1,2025-08-18,Leeds United,Everton,B365,2.38,3.3,3.0,2.1,1.73,2026-07-27 11:39:40
1799,eng.1,2025-08-18,Leeds United,Everton,Pinnacle,2.37,3.52,3.06,2.11,1.79,2026-07-27 11:39:40
1800,eng.1,2025-08-18,Leeds United,Everton,Betway,2.4,3.25,2.95,,,2026-07-27 11:39:40
1801,eng.1,2025-08-18,Leeds United,Everton,Coral,2.4,3.25,3.0,,,2026-07-27 11:39:40
1802,eng.1,2025-08-18,Leeds United,Everton,Ladbrokes,2.4,3.25,2.9,,,2026-07-27 11:39:40
1803,eng.1,2025-08-22,West Ham United,Chelsea,B365,4.75,3.8,1.73,1.73,2.1,2026-07-27 11:39:40
1804,eng.1,2025-08-22,West Ham United,Chelsea,Pinnacle,4.94,3.95,1.74,1.75,2.17,2026-07-27 11:39:40
1805,eng.1,2025-08-22,West Ham United,Chelsea,Betway,4.6,3.9,1.72,,,2026-07-27 11:39:40
1806,eng.1,2025-08-22,West Ham United,Chelsea,Coral,4.6,3.9,1.73,,,2026-07-27 11:39:40
1807,eng.1,2025-08-22,West Ham United,Chelsea,Ladbrokes,4.5,3.8,1.73,,,2026-07-27 11:39:40
1808,eng.1,2025-08-23,Manchester City,Tottenham Hotspur,B365,1.48,4.5,6.25,1.44,2.75,2026-07-27 11:39:40
1809,eng.1,2025-08-23,Manchester City,Tottenham Hotspur,Pinnacle,1.49,5.0,6.01,1.48,2.73,2026-07-27 11:39:40
1810,eng.1,2025-08-23,Manchester City,Tottenham Hotspur,Betway,1.47,4.6,6.25,,,2026-07-27 11:39:40
1811,eng.1,2025-08-23,Manchester City,Tottenham Hotspur,Coral,1.48,4.6,6.0,,,2026-07-27 11:39:40
1812,eng.1,2025-08-23,Manchester City,Tottenham Hotspur,Ladbrokes,1.48,4.6,6.0,,,2026-07-27 11:39:40
1813,eng.1,2025-08-23,AFC Bournemouth,Wolverhampton Wanderers,B365,1.8,3.8,4.2,1.73,2.1,2026-07-27 11:39:40
1814,eng.1,2025-08-23,AFC Bournemouth,Wolverhampton Wanderers,Pinnacle,1.79,3.98,4.4,1.76,2.16,2026-07-27 11:39:40
1815,eng.1,2025-08-23,AFC Bournemouth,Wolverhampton Wanderers,Betway,1.78,3.9,4.2,,,2026-07-27 11:39:40
1816,eng.1,2025-08-23,AFC Bournemouth,Wolverhampton Wanderers,Coral,1.8,3.9,4.2,,,2026-07-27 11:39:40
1817,eng.1,2025-08-23,AFC Bournemouth,Wolverhampton Wanderers,Ladbrokes,1.8,3.8,4.2,,,2026-07-27 11:39:40
1818,eng.1,2025-08-23,Brentford,Aston Villa,B365,3.1,3.6,2.2,1.8,2.0,2026-07-27 11:39:40
1819,eng.1,2025-08-23,Brentford,Aston Villa,Pinnacle,3.26,3.49,2.27,1.83,2.06,2026-07-27 11:39:40
1820,eng.1,2025-08-23,Brentford,Aston Villa,Betway,3.1,3.5,2.2,,,2026-07-27 11:39:40
1821,eng.1,2025-08-23,Brentford,Aston Villa,Coral,3.1,3.5,2.2,,,2026-07-27 11:39:40
1822,eng.1,2025-08-23,Brentford,Aston Villa,Ladbrokes,3.1,3.5,2.2,,,2026-07-27 11:39:40
1823,eng.1,2025-08-23,Burnley,Sunderland,B365,2.2,3.2,3.5,2.3,1.62,2026-07-27 11:39:40
1824,eng.1,2025-08-23,Burnley,Sunderland,Pinnacle,2.21,3.26,3.63,2.4,1.62,2026-07-27 11:39:40
1825,eng.1,2025-08-23,Burnley,Sunderland,Betway,2.3,3.2,3.25,,,2026-07-27 11:39:40
1826,eng.1,2025-08-23,Burnley,Sunderland,Coral,2.3,3.2,3.25,,,2026-07-27 11:39:40
1827,eng.1,2025-08-23,Burnley,Sunderland,Ladbrokes,2.3,3.1,3.25,,,2026-07-27 11:39:40
1828,eng.1,2025-08-23,Arsenal,Leeds United,B365,1.27,6.25,9.5,1.53,2.5,2026-07-27 11:39:40
1829,eng.1,2025-08-23,Arsenal,Leeds United,Pinnacle,1.28,6.21,9.68,1.57,2.47,2026-07-27 11:39:40
1830,eng.1,2025-08-23,Arsenal,Leeds United,Betway,1.27,6.0,10.5,,,2026-07-27 11:39:40
1831,eng.1,2025-08-23,Arsenal,Leeds United,Coral,1.25,6.0,10.0,,,2026-07-27 11:39:40
1832,eng.1,2025-08-23,Arsenal,Leeds United,Ladbrokes,1.25,6.0,10.0,,,2026-07-27 11:39:40
1833,eng.1,2025-08-24,Crystal Palace,Nott'm Forest,B365,2.35,3.3,3.1,2.1,1.73,2026-07-27 11:39:40
1834,eng.1,2025-08-24,Crystal Palace,Nott'm Forest,Pinnacle,2.41,3.25,3.22,2.14,1.76,2026-07-27 11:39:40
1835,eng.1,2025-08-24,Crystal Palace,Nott'm Forest,Betway,2.35,3.3,3.0,,,2026-07-27 11:39:40
1836,eng.1,2025-08-24,Crystal Palace,Nott'm Forest,Coral,2.37,3.3,3.0,,,2026-07-27 11:39:40
1837,eng.1,2025-08-24,Crystal Palace,Nott'm Forest,Ladbrokes,2.37,3.25,3.0,,,2026-07-27 11:39:40
1838,eng.1,2025-08-24,Everton,Brighton & Hove Albion,B365,3.1,3.3,2.3,2.0,1.8,2026-07-27 11:39:40
1839,eng.1,2025-08-24,Everton,Brighton & Hove Albion,Pinnacle,3.16,3.36,2.38,2.09,1.82,2026-07-27 11:39:40
1840,eng.1,2025-08-24,Everton,Brighton & Hove Albion,Betway,2.95,3.3,2.4,,,2026-07-27 11:39:40
1841,eng.1,2025-08-24,Everton,Brighton & Hove Albion,Coral,2.9,3.3,2.4,,,2026-07-27 11:39:40
1842,eng.1,2025-08-24,Everton,Brighton & Hove Albion,Ladbrokes,2.9,3.25,2.4,,,2026-07-27 11:39:40
1843,eng.1,2025-08-24,Fulham,Manchester United,B365,3.25,3.5,2.15,1.8,2.0,2026-07-27 11:39:40
1844,eng.1,2025-08-24,Fulham,Manchester United,Pinnacle,3.3,3.54,2.23,1.85,2.04,2026-07-27 11:39:40
1845,eng.1,2025-08-24,Fulham,Manchester United,Betway,3.3,3.6,2.1,,,2026-07-27 11:39:40
1846,eng.1,2025-08-24,Fulham,Manchester United,Coral,3.3,3.6,2.1,,,2026-07-27 11:39:40
1847,eng.1,2025-08-24,Fulham,Manchester United,Ladbrokes,3.3,3.5,2.1,,,2026-07-27 11:39:40
1848,eng.1,2025-08-25,Newcastle United,Liverpool,B365,3.25,3.8,2.05,1.57,2.38,2026-07-27 11:39:40
1849,eng.1,2025-08-25,Newcastle United,Liverpool,Pinnacle,3.29,3.92,2.11,1.58,2.49,2026-07-27 11:39:40
1850,eng.1,2025-08-25,Newcastle United,Liverpool,Betway,3.4,3.9,1.98,,,2026-07-27 11:39:40
1851,eng.1,2025-08-25,Newcastle United,Liverpool,Coral,3.4,3.9,2.0,,,2026-07-27 11:39:40
1852,eng.1,2025-08-25,Newcastle United,Liverpool,Ladbrokes,3.3,3.8,2.0,,,2026-07-27 11:39:40
1853,eng.1,2025-08-30,Chelsea,Fulham,B365,1.55,4.33,5.25,1.67,2.2,2026-07-27 11:39:40
1854,eng.1,2025-08-30,Chelsea,Fulham,Pinnacle,1.57,4.37,5.75,1.71,2.22,2026-07-27 11:39:40
1855,eng.1,2025-08-30,Chelsea,Fulham,Betway,1.55,4.5,5.25,,,2026-07-27 11:39:40
1856,eng.1,2025-08-30,Chelsea,Fulham,Coral,1.53,4.5,5.5,,,2026-07-27 11:39:40
1857,eng.1,2025-08-30,Chelsea,Fulham,Ladbrokes,1.53,4.5,5.5,,,2026-07-27 11:39:40
1858,eng.1,2025-08-30,Manchester United,Burnley,B365,1.33,5.25,8.0,1.67,2.2,2026-07-27 11:39:40
1859,eng.1,2025-08-30,Manchester United,Burnley,Pinnacle,1.36,5.39,8.45,1.67,2.3,2026-07-27 11:39:40
1860,eng.1,2025-08-30,Manchester United,Burnley,Betway,1.36,5.25,8.25,,,2026-07-27 11:39:40
1861,eng.1,2025-08-30,Manchester United,Burnley,Coral,1.36,5.25,8.0,,,2026-07-27 11:39:40
1862,eng.1,2025-08-30,Manchester United,Burnley,Ladbrokes,1.35,5.0,8.0,,,2026-07-27 11:39:40
1863,eng.1,2025-08-30,Sunderland,Brentford,B365,3.0,3.3,2.4,2.1,1.73,2026-07-27 11:39:40
1864,eng.1,2025-08-30,Sunderland,Brentford,Pinnacle,3.03,3.24,2.53,2.14,1.77,2026-07-27 11:39:40
1865,eng.1,2025-08-30,Sunderland,Brentford,Betway,2.9,3.3,2.45,,,2026-07-27 11:39:40
1866,eng.1,2025-08-30,Sunderland,Brentford,Coral,2.9,3.3,2.45,,,2026-07-27 11:39:40
1867,eng.1,2025-08-30,Sunderland,Brentford,Ladbrokes,2.87,3.25,2.45,,,2026-07-27 11:39:40
1868,eng.1,2025-08-30,Tottenham Hotspur,AFC Bournemouth,B365,1.73,4.2,4.2,1.57,2.38,2026-07-27 11:39:40
1869,eng.1,2025-08-30,Tottenham Hotspur,AFC Bournemouth,Pinnacle,1.76,4.14,4.39,1.59,2.47,2026-07-27 11:39:40
1870,eng.1,2025-08-30,Tottenham Hotspur,AFC Bournemouth,Betway,1.72,4.0,4.5,,,2026-07-27 11:39:40
1871,eng.1,2025-08-30,Tottenham Hotspur,AFC Bournemouth,Coral,1.73,4.0,4.5,,,2026-07-27 11:39:40
1872,eng.1,2025-08-30,Tottenham Hotspur,AFC Bournemouth,Ladbrokes,1.73,3.9,4.4,,,2026-07-27 11:39:40
1873,eng.1,2025-08-30,Wolverhampton Wanderers,Everton,B365,2.7,3.2,2.75,2.2,1.67,2026-07-27 11:39:40
1874,eng.1,2025-08-30,Wolverhampton Wanderers,Everton,Pinnacle,2.74,3.23,2.79,2.27,1.68,2026-07-27 11:39:40
1875,eng.1,2025-08-30,Wolverhampton Wanderers,Everton,Betway,2.65,3.2,2.75,,,2026-07-27 11:39:40
1876,eng.1,2025-08-30,Wolverhampton Wanderers,Everton,Coral,2.62,3.2,2.75,,,2026-07-27 11:39:40
1877,eng.1,2025-08-30,Wolverhampton Wanderers,Everton,Ladbrokes,2.62,3.1,2.75,,,2026-07-27 11:39:40
1878,eng.1,2025-08-30,Leeds United,Newcastle United,B365,3.5,3.4,2.1,1.8,2.0,2026-07-27 11:39:40
1879,eng.1,2025-08-30,Leeds United,Newcastle United,Pinnacle,3.47,3.54,2.16,1.85,2.04,2026-07-27 11:39:40
1880,eng.1,2025-08-30,Leeds United,Newcastle United,Betway,3.25,3.5,2.15,,,2026-07-27 11:39:40
1881,eng.1,2025-08-30,Leeds United,Newcastle United,Coral,3.25,3.5,2.15,,,2026-07-27 11:39:40
1882,eng.1,2025-08-30,Leeds United,Newcastle United,Ladbrokes,3.25,3.5,2.15,,,2026-07-27 11:39:40
1883,eng.1,2025-08-31,Brighton & Hove Albion,Manchester City,B365,3.8,3.9,1.9,1.62,2.3,2026-07-27 11:39:40
1884,eng.1,2025-08-31,Brighton & Hove Albion,Manchester City,Pinnacle,3.92,3.89,1.91,1.63,2.37,2026-07-27 11:39:40
1885,eng.1,2025-08-31,Brighton & Hove Albion,Manchester City,Betway,3.9,3.9,1.83,,,2026-07-27 11:39:40
1886,eng.1,2025-08-31,Brighton & Hove Albion,Manchester City,Coral,3.6,3.6,1.75,,,2026-07-27 11:39:40
1887,eng.1,2025-08-31,Brighton & Hove Albion,Manchester City,Ladbrokes,3.6,3.6,1.75,,,2026-07-27 11:39:40
1888,eng.1,2025-08-31,Nott'm Forest,West Ham United,B365,1.67,3.75,5.25,1.98,1.88,2026-07-27 11:39:40
1889,eng.1,2025-08-31,Nott'm Forest,West Ham United,Pinnacle,1.69,3.98,5.13,1.98,1.91,2026-07-27 11:39:40
1890,eng.1,2025-08-31,Nott'm Forest,West Ham United,Betway,1.72,3.7,4.8,,,2026-07-27 11:39:40
1891,eng.1,2025-08-31,Nott'm Forest,West Ham United,Coral,1.73,3.7,4.8,,,2026-07-27 11:39:40
1892,eng.1,2025-08-31,Nott'm Forest,West Ham United,Ladbrokes,1.67,3.5,4.5,,,2026-07-27 11:39:40
1893,eng.1,2025-08-31,Liverpool,Arsenal,B365,2.2,3.5,3.2,1.73,2.1,2026-07-27 11:39:40
1894,eng.1,2025-08-31,Liverpool,Arsenal,Pinnacle,2.27,3.47,3.28,1.76,2.14,2026-07-27 11:39:40
1895,eng.1,2025-08-31,Liverpool,Arsenal,Betway,2.15,3.6,3.2,,,2026-07-27 11:39:40
1896,eng.1,2025-08-31,Liverpool,Arsenal,Coral,2.15,3.6,3.2,,,2026-07-27 11:39:40
1897,eng.1,2025-08-31,Liverpool,Arsenal,Ladbrokes,2.15,3.5,3.1,,,2026-07-27 11:39:40
1898,eng.1,2025-08-31,Aston Villa,Crystal Palace,B365,1.85,3.7,4.0,1.98,1.88,2026-07-27 11:39:40
1899,eng.1,2025-08-31,Aston Villa,Crystal Palace,Pinnacle,1.9,3.69,4.21,2.03,1.86,2026-07-27 11:39:40
1900,eng.1,2025-08-31,Aston Villa,Crystal Palace,Betway,1.93,3.5,4.0,,,2026-07-27 11:39:40
1901,eng.1,2025-08-31,Aston Villa,Crystal Palace,Coral,1.95,3.5,4.0,,,2026-07-27 11:39:40
1902,eng.1,2025-08-31,Aston Villa,Crystal Palace,Ladbrokes,1.91,3.4,3.9,,,2026-07-27 11:39:40
1903,eng.1,2025-09-13,Arsenal,Nott'm Forest,B365,1.38,5.0,8.0,1.73,2.1,2026-07-27 11:39:40
1904,eng.1,2025-09-13,Arsenal,Nott'm Forest,Pinnacle,1.38,5.25,8.14,1.71,2.22,2026-07-27 11:39:40
1905,eng.1,2025-09-13,Arsenal,Nott'm Forest,Betway,1.39,4.8,8.0,,,2026-07-27 11:39:40
1906,eng.1,2025-09-13,Arsenal,Nott'm Forest,Coral,1.4,4.8,8.0,,,2026-07-27 11:39:40
1907,eng.1,2025-09-13,Arsenal,Nott'm Forest,Ladbrokes,1.4,4.8,7.5,,,2026-07-27 11:39:40
1908,eng.1,2025-09-13,AFC Bournemouth,Brighton & Hove Albion,B365,2.35,3.5,2.9,1.67,2.2,2026-07-27 11:39:40
1909,eng.1,2025-09-13,AFC Bournemouth,Brighton & Hove Albion,Pinnacle,2.4,3.57,2.98,1.71,2.23,2026-07-27 11:39:40
1910,eng.1,2025-09-13,AFC Bournemouth,Brighton & Hove Albion,Betway,2.4,3.5,2.8,,,2026-07-27 11:39:40
1911,eng.1,2025-09-13,AFC Bournemouth,Brighton & Hove Albion,Coral,2.4,3.5,2.8,,,2026-07-27 11:39:40
1912,eng.1,2025-09-13,AFC Bournemouth,Brighton & Hove Albion,Ladbrokes,2.37,3.5,2.75,,,2026-07-27 11:39:40
1913,eng.1,2025-09-13,Crystal Palace,Sunderland,B365,1.65,3.75,5.75,2.1,1.73,2026-07-27 11:39:40
1914,eng.1,2025-09-13,Crystal Palace,Sunderland,Pinnacle,1.69,3.77,5.51,2.21,1.71,2026-07-27 11:39:40
1915,eng.1,2025-09-13,Crystal Palace,Sunderland,Betway,1.68,3.7,5.25,,,2026-07-27 11:39:40
1916,eng.1,2025-09-13,Crystal Palace,Sunderland,Coral,1.67,3.75,5.25,,,2026-07-27 11:39:40
1917,eng.1,2025-09-13,Crystal Palace,Sunderland,Ladbrokes,1.67,3.7,5.25,,,2026-07-27 11:39:40
1918,eng.1,2025-09-13,Everton,Aston Villa,B365,2.45,3.3,2.9,2.05,1.8,2026-07-27 11:39:40
1919,eng.1,2025-09-13,Everton,Aston Villa,Pinnacle,2.46,3.41,3.01,2.04,1.85,2026-07-27 11:39:40
1920,eng.1,2025-09-13,Everton,Aston Villa,Betway,2.45,3.25,2.87,,,2026-07-27 11:39:40
1921,eng.1,2025-09-13,Everton,Aston Villa,Coral,2.45,3.3,2.87,,,2026-07-27 11:39:40
1922,eng.1,2025-09-13,Everton,Aston Villa,Ladbrokes,2.45,3.25,2.87,,,2026-07-27 11:39:40
1923,eng.1,2025-09-13,Fulham,Leeds United,B365,1.91,3.5,4.0,2.03,1.83,2026-07-27 11:39:40
1924,eng.1,2025-09-13,Fulham,Leeds United,Pinnacle,1.99,3.56,3.99,2.06,1.84,2026-07-27 11:39:40
1925,eng.1,2025-09-13,Fulham,Leeds United,Betway,1.93,3.5,3.9,,,2026-07-27 11:39:40
1926,eng.1,2025-09-13,Fulham,Leeds United,Coral,1.95,3.5,3.9,,,2026-07-27 11:39:40
1927,eng.1,2025-09-13,Fulham,Leeds United,Ladbrokes,1.95,3.5,3.8,,,2026-07-27 11:39:40
1928,eng.1,2025-09-13,Newcastle United,Wolverhampton Wanderers,B365,1.42,4.75,7.0,1.8,2.0,2026-07-27 11:39:40
1929,eng.1,2025-09-13,Newcastle United,Wolverhampton Wanderers,Pinnacle,1.43,4.93,7.21,1.79,2.1,2026-07-27 11:39:40
1930,eng.1,2025-09-13,Newcastle United,Wolverhampton Wanderers,Betway,1.43,4.6,7.25,,,2026-07-27 11:39:40
1931,eng.1,2025-09-13,Newcastle United,Wolverhampton Wanderers,Coral,1.44,4.6,7.0,,,2026-07-27 11:39:40
1932,eng.1,2025-09-13,Newcastle United,Wolverhampton Wanderers,Ladbrokes,1.44,4.6,7.0,,,2026-07-27 11:39:40
1933,eng.1,2025-09-13,West Ham United,Tottenham Hotspur,B365,3.4,3.6,2.1,1.8,2.0,2026-07-27 11:39:40
1934,eng.1,2025-09-13,West Ham United,Tottenham Hotspur,Pinnacle,3.55,3.62,2.1,1.79,2.11,2026-07-27 11:39:40
1935,eng.1,2025-09-13,West Ham United,Tottenham Hotspur,Betway,3.3,3.5,2.1,,,2026-07-27 11:39:40
1936,eng.1,2025-09-13,West Ham United,Tottenham Hotspur,Coral,3.3,3.5,2.1,,,2026-07-27 11:39:40
1937,eng.1,2025-09-13,West Ham United,Tottenham Hotspur,Ladbrokes,3.3,3.5,2.1,,,2026-07-27 11:39:40
1938,eng.1,2025-09-13,Brentford,Chelsea,B365,4.5,3.9,1.73,1.73,2.1,2026-07-27 11:39:40
1939,eng.1,2025-09-13,Brentford,Chelsea,Pinnacle,4.63,3.95,1.76,1.75,2.15,2026-07-27 11:39:40
1940,eng.1,2025-09-13,Brentford,Chelsea,Betway,4.4,3.9,1.75,,,2026-07-27 11:39:40
1941,eng.1,2025-09-13,Brentford,Chelsea,Coral,4.4,3.9,1.75,,,2026-07-27 11:39:40
1942,eng.1,2025-09-13,Brentford,Chelsea,Ladbrokes,4.4,3.8,1.75,,,2026-07-27 11:39:40
1943,eng.1,2025-09-14,Burnley,Liverpool,B365,8.0,5.5,1.33,1.53,2.5,2026-07-27 11:39:40
1944,eng.1,2025-09-14,Burnley,Liverpool,Pinnacle,9.0,5.44,1.34,1.57,2.51,2026-07-27 11:39:40
1945,eng.1,2025-09-14,Burnley,Liverpool,Betway,8.25,5.5,1.33,,,2026-07-27 11:39:40
1946,eng.1,2025-09-14,Burnley,Liverpool,Coral,8.5,5.5,1.33,,,2026-07-27 11:39:40
1947,eng.1,2025-09-14,Burnley,Liverpool,Ladbrokes,8.0,5.5,1.33,,,2026-07-27 11:39:40
1948,eng.1,2025-09-14,Manchester City,Manchester United,B365,1.75,4.0,4.2,1.57,2.38,2026-07-27 11:39:40
1949,eng.1,2025-09-14,Manchester City,Manchester United,Pinnacle,1.8,4.0,4.33,1.59,2.46,2026-07-27 11:39:40
1950,eng.1,2025-09-14,Manchester City,Manchester United,Betway,1.77,4.0,4.1,,,2026-07-27 11:39:40
1951,eng.1,2025-09-14,Manchester City,Manchester United,Coral,1.75,4.0,4.0,,,2026-07-27 11:39:40
1952,eng.1,2025-09-14,Manchester City,Manchester United,Ladbrokes,1.75,4.0,4.0,,,2026-07-27 11:39:40
1953,eng.1,2025-09-20,Liverpool,Everton,B365,1.45,4.75,6.5,1.62,2.3,2026-07-27 11:39:40
1954,eng.1,2025-09-20,Liverpool,Everton,Pinnacle,1.45,4.7,7.25,1.63,2.37,2026-07-27 11:39:40
1955,eng.1,2025-09-20,Liverpool,Everton,Betway,1.47,4.6,6.25,,,2026-07-27 11:39:40
1956,eng.1,2025-09-20,Liverpool,Everton,Coral,1.48,4.6,6.5,,,2026-07-27 11:39:40
1957,eng.1,2025-09-20,Liverpool,Everton,Ladbrokes,1.44,4.2,5.75,,,2026-07-27 11:39:40
1958,eng.1,2025-09-20,Brighton & Hove Albion,Tottenham Hotspur,B365,2.25,3.7,3.0,1.67,2.2,2026-07-27 11:39:40
1959,eng.1,2025-09-20,Brighton & Hove Albion,Tottenham Hotspur,Pinnacle,2.28,3.67,3.1,1.71,2.23,2026-07-27 11:39:40
1960,eng.1,2025-09-20,Brighton & Hove Albion,Tottenham Hotspur,Betway,2.25,3.6,2.95,,,2026-07-27 11:39:40
1961,eng.1,2025-09-20,Brighton & Hove Albion,Tottenham Hotspur,Coral,2.25,3.6,3.0,,,2026-07-27 11:39:40
1962,eng.1,2025-09-20,Brighton & Hove Albion,Tottenham Hotspur,Ladbrokes,2.25,3.5,2.9,,,2026-07-27 11:39:40
1963,eng.1,2025-09-20,Burnley,Nott'm Forest,B365,3.4,3.3,2.2,2.0,1.85,2026-07-27 11:39:40
1964,eng.1,2025-09-20,Burnley,Nott'm Forest,Pinnacle,3.43,3.47,2.2,1.99,1.9,2026-07-27 11:39:40
1965,eng.1,2025-09-20,Burnley,Nott'm Forest,Betway,3.25,3.4,2.2,,,2026-07-27 11:39:40
1966,eng.1,2025-09-20,Burnley,Nott'm Forest,Coral,3.25,3.4,2.2,,,2026-07-27 11:39:40
1967,eng.1,2025-09-20,Burnley,Nott'm Forest,Ladbrokes,3.2,3.4,2.15,,,2026-07-27 11:39:40
1968,eng.1,2025-09-20,West Ham United,Crystal Palace,B365,2.88,3.5,2.38,2.05,1.8,2026-07-27 11:39:40
