ea_id,first_name,last_name,full_name,overall,pac,sho,pas,dri,def,phy,fetched_at
220814,Lucas,Hernández,Lucas Hernández,81,71,54,72,70,82,77,2026-08-12 11:55:15
237679,Randal,Kolo Muani,Randal Kolo Muani,81,90,79,71,80,38,65,2026-08-12 11:55:15
241546,Théa,Gréboval,Théa Gréboval,81,60,60,72,65,82,82,2026-08-12 11:55:15
232411,Christopher,Nkunku,Christopher Nkunku,81,77,79,80,82,40,59,2026-08-12 11:55:15
243854,Mohamed,Simakan,Mohamed Simakan,81,76,43,65,69,82,82,2026-08-12 11:55:15
251570,Rayan,Cherki,Rayan Cherki,81,75,75,80,88,21,65,2026-08-12 11:55:15
253469,Élisa,De Almeida,Élisa De Almeida,81,74,34,64,61,82,80,2026-08-12 11:55:15
270673,Warren,Zaïre-Emery,Warren Zaïre-Emery,80,79,68,76,79,75,79,2026-08-12 11:55:15
204883,Brice,Samba,Brice Samba,80,78,80,80,80,53,80,2026-08-12 11:55:15
239093,Jonathan,Clauss,Jonathan Clauss,80,85,69,76,78,73,69,2026-08-12 11:55:15
200458,Lucas,Digne,Lucas Digne,80,69,68,79,76,77,74,2026-08-12 11:55:15
231347,Marion,Torrent,Marion Torrent,80,75,58,75,76,82,75,2026-08-12 11:55:15
264969,Oriane,Jean-François,Oriane Jean-François,80,71,68,72,72,79,75,2026-08-12 11:55:15
220876,Franck,Honorat,Franck Honorat,80,84,78,79,78,53,63,2026-08-12 11:55:15
265900,Naomie,Feller,Naomie Feller,80,91,80,70,81,37,75,2026-08-12 11:55:15
264866,Océane,Deslandes,Océane Deslandes,80,69,55,75,74,80,79,2026-08-12 11:55:15
190674,Benjamin,André,Benjamin André,80,55,64,73,76,79,83,2026-08-12 11:55:15
255654,Pierre,Kalulu,Pierre Kalulu,80,80,53,68,70,81,76,2026-08-12 11:55:15
264905,Jade,Le Guilly,Jade Le Guilly,80,72,55,73,72,79,73,2026-08-12 11:55:15
243593,Armand,Laurienté,Armand Laurienté,80,91,77,74,83,36,57,2026-08-12 11:55:15
264862,Maghnes,Akliouche,Maghnes Akliouche,80,74,70,78,83,48,62,2026-08-12 11:55:15
262138,Castello,Lukeba,Castello Lukeba,80,72,43,68,73,81,75,2026-08-12 11:55:15
220440,Clément,Lenglet,Clément Lenglet,80,54,45,69,64,82,76,2026-08-12 11:55:15
227357,Annaïg,Butel,Annaïg Butel,80,60,42,65,64,82,77,2026-08-12 11:55:15
250723,Kouadio Manu,Koné,Kouadio Manu Koné,79,74,74,75,81,74,82,2026-08-12 11:55:15
195864,Paul,Pogba,Paul Pogba,79,64,76,81,83,60,78,2026-08-12 11:55:15
223874,Valentin,Rongier,Valentin Rongier,79,62,66,75,78,74,78,2026-08-12 11:55:15
259307,Malo,Gusto,Malo Gusto,79,84,45,75,78,73,74,2026-08-12 11:55:15
265905,Vicki,Becho,Vicki Becho,79,85,76,69,85,45,68,2026-08-12 11:55:15
225863,Olivier,Boscagli,Olivier Boscagli,79,65,50,77,77,79,76,2026-08-12 11:55:15
236786,Martin,Terrier,Martin Terrier,79,78,79,75,80,36,71,2026-08-12 11:55:15
193301,Alexandre,Lacazette,Alexandre Lacazette,79,65,82,75,80,44,72,2026-08-12 11:55:15
269972,Lou,Bogaert,Lou Bogaert,79,77,51,71,75,78,66,2026-08-12 11:55:15
226166,Nordi,Mukiele,Nordi Mukiele,79,72,49,67,71,80,77,2026-08-12 11:55:15
244067,Maxence,Lacroix,Maxence Lacroix,79,88,40,57,67,80,82,2026-08-12 11:55:15
246565,Bafodé,Diakité,Bafodé Diakité,79,72,46,65,71,79,80,2026-08-12 11:55:15
248695,Wesley,Fofana,Wesley Fofana,79,74,41,62,71,80,78,2026-08-12 11:55:15
178509,Olivier,Giroud,Olivier Giroud,79,48,80,71,73,41,79,2026-08-12 11:55:15
265893,Julie,Pasquereau,Julie Pasquereau,79,54,38,65,60,80,81,2026-08-12 11:55:15
243631,Mahdi,Camara,Mahdi Camara,78,74,68,74,77,77,76,2026-08-12 11:55:15
243627,Yacine,Adli,Yacine Adli,78,70,69,80,78,73,68,2026-08-12 11:55:15
265903,Sonia,Ouchene,Sonia Ouchene,78,80,68,77,79,62,70,2026-08-12 11:55:15
230020,Pierre,Lees-Melou,Pierre Lees-Melou,78,57,72,77,77,73,73,2026-08-12 11:55:15
265526,Guillaume,Restes,Guillaume Restes,78,78,74,80,80,40,77,2026-08-12 11:55:15
264865,Mylène,Chavas,Mylène Chavas,78,78,78,75,79,39,77,2026-08-12 11:55:15
254548,Melvin,Bard,Melvin Bard,78,78,52,69,74,75,76,2026-08-12 11:55:15
252371,Jude,Bellingham,Jude Bellingham,90,80,86,83,90,78,85,2026-08-12 11:55:15
258980,Alessia,Russo,Alessia Russo,89,82,88,70,87,39,73,2026-08-12 11:55:15
202126,Harry,Kane,Harry Kane,89,64,92,83,82,48,82,2026-08-12 11:55:15
246669,Bukayo,Saka,Bukayo Saka,88,84,82,85,88,60,73,2026-08-12 11:55:15
257534,Cole,Palmer,Cole Palmer,87,75,83,87,87,50,65,2026-08-12 11:55:15
257001,Chloe,Kelly,Chloe Kelly,87,88,84,85,84,43,69,2026-08-12 11:55:15
227246,Lucy,Bronze,Lucy Bronze,87,71,68,82,80,87,87,2026-08-12 11:55:15
234378,Declan,Rice,Declan Rice,87,72,73,84,80,83,83,2026-08-12 11:55:15
246426,Leah,Williamson,Leah Williamson,87,74,48,73,72,88,77,2026-08-12 11:55:15
245802,Beth,Mead,Beth Mead,87,82,84,84,87,67,73,2026-08-12 11:55:15
257008,Lauren,Hemp,Lauren Hemp,87,91,77,84,87,63,70,2026-08-12 11:55:15
238257,Millie,Bright,Millie Bright,87,57,51,70,62,87,88,2026-08-12 11:55:15
231281,Trent,Alexander-Arnold,Trent Alexander-Arnold,86,76,72,89,80,80,74,2026-08-12 11:55:15
243404,Georgia,Stanway,Georgia Stanway,85,80,79,80,86,77,77,2026-08-12 11:55:15
265249,Lauren,James,Lauren James,85,89,81,78,87,40,82,2026-08-12 11:55:15
237692,Phil,Foden,Phil Foden,85,81,81,82,89,57,57,2026-08-12 11:55:15
263011,Ella,Toone,Ella Toone,85,81,80,81,86,51,64,2026-08-12 11:55:15
242830,Keira,Walsh,Keira Walsh,85,64,46,81,79,79,74,2026-08-12 11:55:15
263009,Hannah,Hampton,Hannah Hampton,84,82,83,82,84,60,85,2026-08-12 11:55:15
204935,Jordan,Pickford,Jordan Pickford,84,84,78,88,87,53,81,2026-08-12 11:55:15
227254,Alex,Greenwood,Alex Greenwood,84,71,65,82,74,85,82,2026-08-12 11:55:15
247504,Mary,Earps,Mary Earps,84,81,80,83,82,41,84,2026-08-12 11:55:15
265293,Maya,Le Tissier,Maya Le Tissier,84,76,58,77,73,86,80,2026-08-12 11:55:15
221697,Ollie,Watkins,Ollie Watkins,84,77,83,73,80,50,80,2026-08-12 11:55:15
220697,James,Maddison,James Maddison,84,67,81,86,85,58,64,2026-08-12 11:55:15
242964,Anthony,Gordon,Anthony Gordon,83,91,79,78,83,50,71,2026-08-12 11:55:15
235794,Eberechi,Eze,Eberechi Eze,83,74,80,81,87,50,68,2026-08-12 11:55:15
224371,Jarrod,Bowen,Jarrod Bowen,83,76,81,78,82,46,70,2026-08-12 11:55:15
227255,Fran,Kirby,Fran Kirby,83,84,82,77,86,42,60,2026-08-12 11:55:15
231936,Benjamin,White,Benjamin White,83,70,35,75,75,83,78,2026-08-12 11:55:15
260247,Morgan,Rogers,Morgan Rogers,82,77,77,79,84,67,79,2026-08-12 11:55:15
265275,Leah,Galton,Leah Galton,82,73,82,81,80,62,79,2026-08-12 11:55:15
236015,Morgan,Gibbs-White,Morgan Gibbs-White,82,75,77,82,84,60,72,2026-08-12 11:55:15
235659,Nikita,Parris,Nikita Parris,82,90,82,77,83,47,67,2026-08-12 11:55:15
227678,Ezri,Konsa,Ezri Konsa,82,75,53,71,75,84,78,2026-08-12 11:55:15
203574,John,Stones,John Stones,82,64,58,74,75,84,72,2026-08-12 11:55:15
246147,Mason,Greenwood,Mason Greenwood,82,83,83,77,83,37,63,2026-08-12 11:55:15
241159,Marc,Guéhi,Marc Guéhi,82,69,39,69,73,83,78,2026-08-12 11:55:15
256489,Bethany,England,Bethany England,82,63,86,67,77,40,72,2026-08-12 11:55:15
263012,Millie,Turner,Millie Turner,82,53,50,65,66,84,77,2026-08-12 11:55:15
238216,Conor,Gallagher,Conor Gallagher,81,75,76,80,78,79,84,2026-08-12 11:55:15
238074,Reece,James,Reece James,81,76,71,82,77,81,81,2026-08-12 11:55:15
265273,Katie,Zelem,Katie Zelem,81,68,78,82,79,78,82,2026-08-12 11:55:15
265252,Ashleigh,Neville,Ashleigh Neville,81,76,70,76,78,81,83,2026-08-12 11:55:15
235657,Rachel,Daly,Rachel Daly,81,79,81,76,80,64,76,2026-08-12 11:55:15
233306,Dean,Henderson,Dean Henderson,81,82,78,77,82,55,80,2026-08-12 11:55:15
263007,Niamh,Charles,Niamh Charles,81,81,66,79,76,78,70,2026-08-12 11:55:15
206085,Jacob,Murphy,Jacob Murphy,81,82,77,78,80,61,70,2026-08-12 11:55:15
265340,Jess,Park,Jess Park,81,83,73,77,86,59,63,2026-08-12 11:55:15
203841,Nick,Pope,Nick Pope,81,81,81,68,82,49,78,2026-08-12 11:55:15
212228,Ivan,Toney,Ivan Toney,81,78,82,71,75,51,81,2026-08-12 11:55:15
265856,Anna,Moorhouse,Anna Moorhouse,81,78,78,75,82,41,83,2026-08-12 11:55:15
247797,Hannah,Blundell,Hannah Blundell,81,69,54,71,73,82,70,2026-08-12 11:55:15
232756,Fikayo,Tomori,Fikayo Tomori,81,81,40,60,67,82,78,2026-08-12 11:55:15
213666,Ruben,Loftus-Cheek,Ruben Loftus-Cheek,80,81,76,79,80,76,80,2026-08-12 11:55:15
242434,Curtis,Jones,Curtis Jones,80,74,74,76,82,72,76,2026-08-12 11:55:15
254243,Elliot,Anderson,Elliot Anderson,80,71,68,79,81,77,78,2026-08-12 11:55:15
186345,Kieran,Trippier,Kieran Trippier,80,66,65,83,77,80,71,2026-08-12 11:55:15
266127,Lewis,Hall,Lewis Hall,80,77,62,78,79,77,64,2026-08-12 11:55:15
254796,Noni,Madueke,Noni Madueke,80,88,75,74,83,45,69,2026-08-12 11:55:15
206517,Jack,Grealish,Jack Grealish,80,72,76,80,85,53,67,2026-08-12 11:55:15
262118,Tino,Livramento,Tino Livramento,80,82,51,72,78,76,74,2026-08-12 11:55:15
234742,Harvey,Barnes,Harvey Barnes,80,83,80,75,81,43,68,2026-08-12 11:55:15
266568,Khiara,Keating,Khiara Keating,80,78,79,81,80,31,78,2026-08-12 11:55:15
231677,Marcus,Rashford,Marcus Rashford,80,87,82,77,80,33,63,2026-08-12 11:55:15
225539,Dominic,Solanke,Dominic Solanke,80,71,80,66,77,42,83,2026-08-12 11:55:15
262859,Levi,Colwill,Levi Colwill,80,70,43,71,72,81,80,2026-08-12 11:55:15
233049,Jadon,Sancho,Jadon Sancho,80,79,73,77,87,35,58,2026-08-12 11:55:15
203263,Harry,Maguire,Harry Maguire,80,35,57,70,65,80,82,2026-08-12 11:55:15
263013,Lotte,Wubben-Moy,Lotte Wubben-Moy,80,58,42,62,65,83,76,2026-08-12 11:55:15
202695,James,Tarkowski,James Tarkowski,80,45,47,64,59,81,82,2026-08-12 11:55:15
189881,Chris,Smalling,Chris Smalling,80,45,47,57,59,83,77,2026-08-12 11:55:15
188377,Kyle,Walker,Kyle Walker,79,80,64,75,76,77,78,2026-08-12 11:55:15
183711,Jordan,Henderson,Jordan Henderson,79,65,71,80,74,75,77,2026-08-12 11:55:15
224294,Lewis,Cook,Lewis Cook,79,69,63,77,77,75,73,2026-08-12 11:55:15
205988,Luke,Shaw,Luke Shaw,79,69,57,78,75,79,72,2026-08-12 11:55:15
259240,Adam,Wharton,Adam Wharton,79,62,62,81,77,75,69,2026-08-12 11:55:15
265326,Sarah,Mayling,Sarah Mayling,79,70,59,71,71,78,76,2026-08-12 11:55:15
230918,Trevoh,Chalobah,Trevoh Chalobah,79,66,53,69,70,80,78,2026-08-12 11:55:15
202335,Eric,Dier,Eric Dier,79,54,62,67,62,80,82,2026-08-12 11:55:15
225100,Joe,Gomez,Joe Gomez,79,74,29,70,71,79,73,2026-08-12 11:55:15
265247,Jess,Carter,Jess Carter,79,58,46,67,65,82,78,2026-08-12 11:55:15
247649,Jarrad,Branthwaite,Jarrad Branthwaite,79,71,39,58,60,80,78,2026-08-12 11:55:15
198032,Dan,Burn,Dan Burn,79,42,36,67,64,79,85,2026-08-12 11:55:15
247796,Ellie,Roebuck,Ellie Roebuck,78,81,77,76,78,59,76,2026-08-12 11:55:15
246923,Jacob,Ramsey,Jacob Ramsey,78,77,75,73,80,68,72,2026-08-12 11:55:15
265333,Grace,Clinton,Grace Clinton,78,75,75,74,77,65,75,2026-08-12 11:55:15
278773,Myles,Lewis-Skelly,Myles Lewis-Skelly,78,76,60,74,77,75,78,2026-08-12 11:55:15
243702,Djed,Spence,Djed Spence,78,88,44,71,79,74,72,2026-08-12 11:55:15
240740,Callum,Hudson-Odoi,Callum Hudson-Odoi,78,82,75,75,81,50,63,2026-08-12 11:55:15
267328,Ebony,Salmon,Ebony Salmon,78,88,79,75,76,41,67,2026-08-12 11:55:15
243282,Dwight,McNeil,Dwight McNeil,78,67,76,79,79,55,68,2026-08-12 11:55:15
265258,Jessica,Naz,Jessica Naz,78,83,77,69,82,43,66,2026-08-12 11:55:15
265262,Molly,Bartrip,Molly Bartrip,78,70,56,69,68,79,77,2026-08-12 11:55:15
266551,Gabrielle,George,Gabrielle George,78,60,57,71,68,80,82,2026-08-12 11:55:15
186146,Danny,Welbeck,Danny Welbeck,78,60,78,74,77,45,77,2026-08-12 11:55:15
259031,Liam,Delap,Liam Delap,78,79,80,60,76,30,81,2026-08-12 11:55:15
240947,Tyrick,Mitchell,Tyrick Mitchell,78,75,41,68,73,76,70,2026-08-12 11:55:15
246174,Harvey,Elliott,Harvey Elliott,78,72,70,77,81,53,50,2026-08-12 11:55:15
196978,Callum,Wilson,Callum Wilson,78,73,79,67,76,42,65,2026-08-12 11:55:15
233419,Raphael,Dias Belloli,Raphael Dias Belloli,89,91,84,85,87,53,75,2026-08-12 11:55:15
212831,Alisson,Ramses Becker,Alisson Ramses Becker,89,86,85,86,89,56,90,2026-08-12 11:55:15
238794,Vinícius José,de Oliveira Júnior,Vinícius José de Oliveira Júnior,89,95,84,81,91,29,69,2026-08-12 11:55:15
232580,Gabriel,dos S. Magalhães,Gabriel dos S. Magalhães,88,64,44,64,65,88,84,2026-08-12 11:55:15
226893,Débora C.,de Oliveira,Débora C. de Oliveira,88,85,79,86,91,46,75,2026-08-12 11:55:15
207865,Marcos,Aoás Corrêa,Marcos Aoás Corrêa,87,78,56,75,74,89,80,2026-08-12 11:55:15
247851,Bruno,Guimarães Moura,Bruno Guimarães Moura,86,66,75,84,84,79,81,2026-08-12 11:55:15
210257,Ederson,Santana de Moraes,Ederson Santana de Moraes,85,83,82,91,83,64,83,2026-08-12 11:55:15
226890,Marta,Vieira da Silva,Marta Vieira da Silva,85,70,83,84,88,44,75,2026-08-12 11:55:15
243812,Rodrygo,Silva de Goes,Rodrygo Silva de Goes,85,88,80,79,87,31,64,2026-08-12 11:55:15
239580,Gleison Bremer,Silva Nascimento,Gleison Bremer Silva Nascimento,85,82,50,58,66,86,80,2026-08-12 11:55:15
240130,Éder,Gabriel Militão,Éder Gabriel Militão,84,82,50,69,71,85,82,2026-08-12 11:55:15
240243,Matheus Santos,Carneiro da Cunha,Matheus Santos Carneiro da Cunha,83,77,85,79,84,44,75,2026-08-12 11:55:15
278016,Murillo,Costa dos Santos,Murillo Costa dos Santos,83,80,48,67,71,83,83,2026-08-12 11:55:15
223334,Joelinton,Apolinário de Lira,Joelinton Apolinário de Lira,82,74,73,77,81,82,90,2026-08-12 11:55:15
266866,Éderson José,dos Santos,Éderson José dos Santos,82,78,72,77,80,80,81,2026-08-12 11:55:15
222737,Malcom Filipe,Silva de Oliveira,Malcom Filipe Silva de Oliveira,82,89,78,79,84,43,73,2026-08-12 11:55:15
226897,Beatriz,Zaneratto João,Beatriz Zaneratto João,82,72,81,73,83,50,83,2026-08-12 11:55:15
209499,Fábio,Henrique Tavares,Fábio Henrique Tavares,82,53,69,78,77,81,80,2026-08-12 11:55:15
273136,Lorena,da Silva Leite,Lorena da Silva Leite,82,79,81,78,82,29,80,2026-08-12 11:55:15
270409,Sávio,Moreira de Oliveira,Sávio Moreira de Oliveira,82,87,71,78,86,30,53,2026-08-12 11:55:15
247257,Roger,Ibañez da Silva,Roger Ibañez da Silva,82,87,32,47,61,83,85,2026-08-12 11:55:15
258648,Carlos Augusto,Zopolato Neves,Carlos Augusto Zopolato Neves,81,78,72,77,79,79,76,2026-08-12 11:55:15
248794,Geyse,da Silva Ferreira,Geyse da Silva Ferreira,81,91,78,73,85,34,87,2026-08-12 11:55:15
251566,Gabriel Teodoro,Martinelli Silva,Gabriel Teodoro Martinelli Silva,81,90,77,75,83,46,72,2026-08-12 11:55:15
212523,Anderson,Souza Conceição,Anderson Souza Conceição,81,76,86,80,81,45,74,2026-08-12 11:55:15
272009,Antônia,da Costa Silva,Antônia da Costa Silva,81,80,50,71,79,80,80,2026-08-12 11:55:15
239482,Wenderson,Nascimento Galeno,Wenderson Nascimento Galeno,81,93,75,71,83,45,69,2026-08-12 11:55:15
255475,Antony,Matheus dos Santos,Antony Matheus dos Santos,81,84,78,78,83,43,70,2026-08-12 11:55:15
230670,Lucas,Estella Perri,Lucas Estella Perri,81,80,79,79,82,35,80,2026-08-12 11:55:15
236632,David,Neres Campos,David Neres Campos,81,86,76,75,86,46,61,2026-08-12 11:55:15
272084,Lauren,Eduarda Leal Costa,Lauren Eduarda Leal Costa,81,72,33,58,64,82,83,2026-08-12 11:55:15
209297,Frederico,de Paula Santos,Frederico de Paula Santos,80,77,71,78,82,76,75,2026-08-12 11:55:15
270571,Gabriel Davi,Gomes Sara,Gabriel Davi Gomes Sara,80,74,74,83,79,68,78,2026-08-12 11:55:15
233927,Lucas Tolentino,Coelho de Lima,Lucas Tolentino Coelho de Lima,80,68,78,78,84,69,75,2026-08-12 11:55:15
273018,Andrey,N. dos Santos,Andrey N. dos Santos,80,74,69,74,78,77,80,2026-08-12 11:55:15
236499,Douglas Luiz,Soares de Paulo,Douglas Luiz Soares de Paulo,80,67,75,82,80,75,70,2026-08-12 11:55:15
238422,Gabriela,Nunes da Silva,Gabriela Nunes da Silva,80,85,79,74,81,39,83,2026-08-12 11:55:15
73562,Bento Matheus,Krepski,Bento Matheus Krepski,80,79,76,77,83,39,81,2026-08-12 11:55:15
230666,Gabriel,Fernando de Jesus,Gabriel Fernando de Jesus,80,81,79,74,86,39,71,2026-08-12 11:55:15
267234,Kerolin Nicoli,Israel Ferraz,Kerolin Nicoli Israel Ferraz,80,81,74,76,81,42,75,2026-08-12 11:55:15
271400,Igor Guilherme,Barbosa da Paixão,Igor Guilherme Barbosa da Paixão,80,83,80,75,81,32,70,2026-08-12 11:55:15
200145,Carlos Henrique,Venancio Casimiro,Carlos Henrique Venancio Casimiro,80,36,74,76,69,80,76,2026-08-12 11:55:15
256612,F. Evanilson,de Lima Barbosa,F. Evanilson de Lima Barbosa,80,76,79,66,77,37,76,2026-08-12 11:55:15
269493,Alexsandro,de Souza Ribeiro,Alexsandro de Souza Ribeiro,80,66,40,63,59,80,81,2026-08-12 11:55:15
212091,Rodinei Marcelo,de Almeida,Rodinei Marcelo de Almeida,79,81,66,73,79,74,77,2026-08-12 11:55:15
234505,Evander,da Silva Ferreira,Evander da Silva Ferreira,79,72,77,78,81,66,69,2026-08-12 11:55:15
241509,Mauro Jaqueson,J. Ferreira Santos,Mauro Jaqueson J. Ferreira Santos,79,83,66,76,81,73,59,2026-08-12 11:55:15
267199,Angelina,Alonso Costantino,Angelina Alonso Costantino,79,72,69,78,80,59,65,2026-08-12 11:55:15
252042,João Pedro,Junqueira de Jesus,João Pedro Junqueira de Jesus,79,78,78,72,81,37,70,2026-08-12 11:55:15
253175,Luana,Bertolucci Paixão,Luana Bertolucci Paixão,79,50,72,78,81,66,65,2026-08-12 11:55:15
277797,Marcos Leonardo,Santos Almeida,Marcos Leonardo Santos Almeida,79,78,78,63,75,27,67,2026-08-12 11:55:15
227421,Rafaelle Leone,Carvalho Souza,Rafaelle Leone Carvalho Souza,79,55,39,68,65,81,79,2026-08-12 11:55:15
256632,Luis Henrique,Tomaz de Lima,Luis Henrique Tomaz de Lima,78,90,73,71,77,54,77,2026-08-12 11:55:15
251573,Renan Augusto,Lodi dos Santos,Renan Augusto Lodi dos Santos,78,75,69,76,77,73,71,2026-08-12 11:55:15
234112,Domilson,Cordeiro dos Santos,Domilson Cordeiro dos Santos,78,86,59,74,79,72,69,2026-08-12 11:55:15
231943,Richarlison,de Andrade,Richarlison de Andrade,78,76,78,72,78,53,75,2026-08-12 11:55:15
238896,Eduardo Gabriel,Aquino Cossa,Eduardo Gabriel Aquino Cossa,78,85,70,72,83,52,58,2026-08-12 11:55:15
273463,João Victor,Gomes da Silva,João Victor Gomes da Silva,78,54,68,72,75,77,74,2026-08-12 11:55:15
74866,André,Trindade,André Trindade,78,58,58,74,77,75,72,2026-08-12 11:55:15
76687,Estêvão Willian,Almeida,Estêvão Willian Almeida,78,90,74,73,82,33,57,2026-08-12 11:55:15
219693,Diego Carlos,Santos Silva,Diego Carlos Santos Silva,78,63,47,62,67,78,76,2026-08-12 11:55:15
279709,Lucas,Lopes Beraldo,Lucas Lopes Beraldo,78,66,38,66,68,79,75,2026-08-12 11:55:15
235949,Gabriel Tadeu,Strefezza Rebelato,Gabriel Tadeu Strefezza Rebelato,78,87,68,73,79,31,49,2026-08-12 11:55:15
158625,Dante Bonfim,Costa Santos,Dante Bonfim Costa Santos,78,32,52,69,65,80,75,2026-08-12 11:55:15
277537,Bernardo,de Souza,Bernardo de Souza,78,56,33,55,66,79,77,2026-08-12 11:55:15
80170,Wesley Vinícius,França Lima,Wesley Vinícius França Lima,77,89,62,70,78,73,76,2026-08-12 11:55:15
263781,Vanderson,de Oliveira Campos,Vanderson de Oliveira Campos,77,78,62,74,77,72,71,2026-08-12 11:55:15
